"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_8hLOsa1rgNYHrC9Dn",7988092,"new_entry","correction","NA",NA,"The Syrian government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-08-11,"2020-08-11 09:27:47"
"2","R_8hLOsa1rgNYHrC9Dp",7988092,"new_entry","correction","NA",NA,"The Syrian government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-08-11,"2020-08-11 09:27:47"
"3","R_8hLOsa1rgNYHrC9En",7988092,"new_entry","correction","NA",NA,"The Syrian government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-08-11,"2020-08-11 09:27:47"
"4","R_8hLOsa1rgNYHrC9By",7988092,"new_entry","correction","NA",NA,"The Syrian government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-08-11,"2020-08-11 09:27:47"
"5","R_1OlVmoSll2CujCGDn",7988092,"update","original","End of Policy",NA,"The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but has decided to extend this on May 6 and reopen universities and institutions as of May 31, 2020.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-05-08,"2020-05-08 08:08:27"
"6","R_1OlVmoSll2CujCGDp",7988092,"update","original","End of Policy",NA,"The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but has decided to extend this on May 6 and reopen universities and institutions as of May 31, 2020.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-05-08,"2020-05-08 08:08:27"
"7","R_1OlVmoSll2CujCGEn",7988092,"update","original","End of Policy",NA,"The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but has decided to extend this on May 6 and reopen universities and institutions as of May 31, 2020.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-05-08,"2020-05-08 08:08:27"
"8","R_1OlVmoSll2CujCGBy",7988092,"update","original","End of Policy",NA,"The Syrian government originally ordered the closure of universities, schools and institutions from March 14 to April 2 but has decided to extend this on May 6 and reopen universities and institutions as of May 31, 2020.",2020-05-06,2020-05-06,2020-05-31,"Syria","SYR","SY","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Syria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html",2020-05-08,"2020-05-08 08:08:27"
"9","R_3PnVnQMMrcsbbHyDg",9774266,"new_entry","original","NA",NA,"On March 20, the government banned entry for foreigners, after the first coronavirus victim reached Syria by road from Lebanon after returning from Europe.",2020-03-20,2020-03-20,NA,"Syria","SYR","SY","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",50.4099965432891,48.6338889685466,46.8254541456461,18,"https://www.washingtonpost.com/politics/2020/04/02/syrias-civil-war-will-make-fighting-coronavirus-particularly-difficult/",2020-04-04,"2020-04-04 12:15:10"
"10","R_3CIYhM2j9Kxdh6WCm",3307582,"new_entry","original","NA",NA,"Health officials have deployed medical teams at the national level and to 1,864 health clinics across the country.",2020-03-20,2020-03-20,NA,"Syria","SYR","SY","National",0,NA,NA,"Health Resources","Masks",NA,"","All countries","All countries",NA,NA,NA,NA,"Health Staff","Inbound",NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",50.4099965432891,48.6338889685466,46.8254541456461,18,"https://www.washingtonpost.com/politics/2020/04/02/syrias-civil-war-will-make-fighting-coronavirus-particularly-difficult/#comments-wrapper",2020-04-04,"2020-04-04 12:26:18"
