record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3pg3fz2DUvFkur4NA,3746259,new_entry,original,,,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,,Timor Leste,TLS,TL,National,1,,,Anti-Disinformation Measures,,,"",Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1,2020-06-05,2020-06-05T12:35:30Z
R_3R3DI60g1AGrUJHDh,2203320,new_entry,original,,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",53.5501496316532,52.5624877504369,51.6237778273609,101,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_3R3DI60g1AGrUJHDj,2203320,new_entry,original,,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",53.5501496316532,52.5624877504369,51.6237778273609,101,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_3R3DI60g1AGrUJHEi,2203320,new_entry,original,,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",53.5501496316532,52.5624877504369,51.6237778273609,101,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_3R3DI60g1AGrUJHBq,2203320,new_entry,original,,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",53.5501496316532,52.5624877504369,51.6237778273609,101,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_2aWQ4ruG3w8sZ40Dh,2203320,update,original,End of Policy,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA,2020-05-29,2020-05-29T16:17:47Z
R_2aWQ4ruG3w8sZ40Dj,2203320,update,original,End of Policy,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA,2020-05-29,2020-05-29T16:17:47Z
R_2aWQ4ruG3w8sZ40Ei,2203320,update,original,End of Policy,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA,2020-05-29,2020-05-29T16:17:47Z
R_2aWQ4ruG3w8sZ40Bq,2203320,update,original,End of Policy,,"During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-06-15,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA,2020-05-29,2020-05-29T16:17:47Z
R_3jZf75Fx8y839RpDh,9959317,new_entry,original,,,"Schools and universities in Timor-Leste reopened on June 15 after being closed for more than two months due to the Covid-19 coronavirus (SARS-CoV-2) pandemic. 

Students have to wear a mask. Each school has to prepare hand-washing facilities and ensure physical distancing

Youth and sports minister, Dulce de Jesus Soares, said more than 940 elementary and junior high schools needed masks and that the ministry was trying to address the shortfall.",2020-06-12,2020-06-15,,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,http://www.examiner.org.hk/2020/06/12/schools-to-reopen-in-timor-leste/news/asia-news/region/,2020-07-25,2020-07-25T03:14:42Z
R_3jZf75Fx8y839RpDj,9959317,new_entry,original,,,"Schools and universities in Timor-Leste reopened on June 15 after being closed for more than two months due to the Covid-19 coronavirus (SARS-CoV-2) pandemic. 

Students have to wear a mask. Each school has to prepare hand-washing facilities and ensure physical distancing

Youth and sports minister, Dulce de Jesus Soares, said more than 940 elementary and junior high schools needed masks and that the ministry was trying to address the shortfall.",2020-06-12,2020-06-15,,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,http://www.examiner.org.hk/2020/06/12/schools-to-reopen-in-timor-leste/news/asia-news/region/,2020-07-25,2020-07-25T03:14:42Z
R_3jZf75Fx8y839RpEi,9959317,new_entry,original,,,"Schools and universities in Timor-Leste reopened on June 15 after being closed for more than two months due to the Covid-19 coronavirus (SARS-CoV-2) pandemic. 

Students have to wear a mask. Each school has to prepare hand-washing facilities and ensure physical distancing

Youth and sports minister, Dulce de Jesus Soares, said more than 940 elementary and junior high schools needed masks and that the ministry was trying to address the shortfall.",2020-06-12,2020-06-15,,Timor Leste,TLS,TL,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Timor Leste,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,http://www.examiner.org.hk/2020/06/12/schools-to-reopen-in-timor-leste/news/asia-news/region/,2020-07-25,2020-07-25T03:14:42Z
