"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_238AalGdTxKf8c2Cv","584021","new_entry","original",NA,NA,"Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-09-05,"Tunisia","TUN","TN","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Tunisia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.4944933596313,51.7171697055869,50.8360696693297,161,"http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf",2020-04-13,2020-04-13 15:07:30
"2","R_238AalGdTxKf8c2Cw","584021","new_entry","original",NA,NA,"Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-09-05,"Tunisia","TUN","TN","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Tunisia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.4944933596313,51.7171697055869,50.8360696693297,161,"http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf",2020-04-13,2020-04-13 15:07:30
"3","R_238AalGdTxKf8c2Dr","584021","new_entry","original",NA,NA,"Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-09-05,"Tunisia","TUN","TN","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Tunisia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.4944933596313,51.7171697055869,50.8360696693297,161,"http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf",2020-04-13,2020-04-13 15:07:30
"4","R_238AalGdTxKf8c2Bg","584021","new_entry","original",NA,NA,"Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-09-05,"Tunisia","TUN","TN","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Tunisia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.4944933596313,51.7171697055869,50.8360696693297,161,"http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf",2020-04-13,2020-04-13 15:07:30
"5","R_1Cg13iMAfxvR9IMDr","7802113","new_entry","original",NA,NA,"Tunisian Minister of Education has declared that baccalaureat examinations will still take place as scheduled, despite the fact that schools have been ordered to close due to COVID-19. This exam enables students to seek higher education [college degrees]. Its suspension would also lead to colleges and universities delaying their decision-making timeline.",2020-04-13,2020-04-13,NA,"Tunisia","TUN","TN","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Tunisia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",56.6999576211732,53.002783527243,49.3775714073111,98,"https://www.universityworldnews.com/post.php?story=20200413141836352",2020-06-29,2020-06-29 15:30:23
"6","R_27I3EQzxCSUMPV6Cv","584021","update","original","Change of Policy","Relaxing","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. 

*Update - The original closure of schools applied to all private and public schools. On June 18th, Tunisia announced that Public school institutions [Kindergartens, nurseries, computer clubs and childhood clubs] are to resume normal operational hours and capacity. These institutions are also allowed to reopen their public cafeterias and serve meals regularly.",2020-06-18,2020-06-18,2020-09-05,"Tunisia","TUN","TN","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Tunisia",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"NA",2020-06-18,2020-06-18 17:53:59
"7","R_27I3EQzxCSUMPV6Cw","584021","update","original","Change of Policy","Relaxing","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. 

*Update - The original closure of schools applied to all private and public schools. On June 18th, Tunisia announced that Public school institutions [Kindergartens, nurseries, computer clubs and childhood clubs] are to resume normal operational hours and capacity. These institutions are also allowed to reopen their public cafeterias and serve meals regularly.",2020-06-18,2020-06-18,2020-09-05,"Tunisia","TUN","TN","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Tunisia",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"NA",2020-06-18,2020-06-18 17:53:59
"8","R_27I3EQzxCSUMPV6Dr","584021","update","original","Change of Policy","Relaxing","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. 

*Update - The original closure of schools applied to all private and public schools. On June 18th, Tunisia announced that Public school institutions [Kindergartens, nurseries, computer clubs and childhood clubs] are to resume normal operational hours and capacity. These institutions are also allowed to reopen their public cafeterias and serve meals regularly.",2020-06-18,2020-06-18,2020-09-05,"Tunisia","TUN","TN","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Tunisia",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"NA",2020-06-18,2020-06-18 17:53:59
"9","R_27I3EQzxCSUMPV6Bg","584021","update","original","Change of Policy","Relaxing","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. 

*Update - The original closure of schools applied to all private and public schools. On June 18th, Tunisia announced that Public school institutions [Kindergartens, nurseries, computer clubs and childhood clubs] are to resume normal operational hours and capacity. These institutions are also allowed to reopen their public cafeterias and serve meals regularly.",2020-06-18,2020-06-18,2020-09-05,"Tunisia","TUN","TN","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Tunisia",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"NA",2020-06-18,2020-06-18 17:53:59
"10","R_2VCLxFzCj5BckYWCv","584021","update","original","End of Policy","Relaxing","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. 
*Update - Tunisia's Minister of Higher Education and Scientific Research has announced that entrance exams for the 2020 university school year will resume in August 24 to September 5. Exams were previously suspended but now they will resume according to schedule.",2020-06-22,2020-08-24,2020-09-05,"Tunisia","TUN","TN","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Tunisia",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"NA",2020-06-22,2020-06-22 19:21:32
