record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1rrEOmyrqWJMqTzNA,4433821,new_entry,original,,,"With an alarming amount of disinformation about the new coronavirus circulating on social media, Turkish police have decided to start investigating people spreading hoaxes or fake news about the deadly COVID-19, authorities said Saturday( March 7)",2020-03-07,2020-03-09,,Turkey,TUR,TR,National,0,,,Anti-Disinformation Measures,,,"",,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.2505606557646,49.321311797569,45.4576427419593,60,https://www.dailysabah.com/turkey/turkish-cyber-police-to-curb-fake-news-on-coronavirus/news,2020-05-02,2020-05-02T15:46:33Z
R_2Tu5uH9pHjcnTvuNA,366008,new_entry,original,,,"On March 13, 2020, several local journalists have been arrested and charged after publishing information about infection cases in their region. The judicial authorities accused them of “sowing panic and fear” in Antalya, Turkey.",2020-03-13,2020-03-13,2020-03-13,Turkey,TUR,TR,Municipal,0,Antalya,,Anti-Disinformation Measures,,,"",Turkey,,,Antalya,,,,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",52.0753694723537,49.5674062395471,45.8524296284816,58,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T22:31:44Z
R_2SH3MOqL4fjoCABNA,7187823,new_entry,original,,,"On March 18, 2020, several local journalists have been arrested and charged after publishing information about infection cases in their region. The judicial authorities accused them of “sowing panic and fear” in Bartin, Turkey.
",2020-03-18,2020-03-18,2020-03-18,Turkey,TUR,TR,Municipal,0,Bartin,,Anti-Disinformation Measures,,,"",Turkey,,,Bartin,,,,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",51.7483752220283,49.7425586742891,46.5659022694077,42,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T23:00:51Z
R_2BsbhMP6wEJn8kzNA,5981330,new_entry,original,,,"On March 21, the news director of the news website Kocaeli Ses (Kocaeli Voices), was arrested at his home in Kocaeli, a city near Istanbul, after publishing an article headlined, “Two coronavirus-linked deaths in Derince hospital.The judicial authorities accused journalists of “sowing panic and fear” under article 213 of the penal code.
",2020-03-21,2020-03-21,2020-03-21,Turkey,TUR,TR,Municipal,0,Kocaeli,,Anti-Disinformation Measures,,,"",Turkey,,,Kocaeli,,,,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",51.5456150878886,49.9214918675382,46.7389764720634,38,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T23:08:21Z
R_CdJ8lsoLLDzz0kxNA,8140213,new_entry,original,,,"In the western city of Izmir, Turkey a reporter for the Iz Gazete website, was summoned by the local security directorate’s cyber-crime section on 26 March for reporting two new cases of Covid-19 among the city’s medical personnel. The judicial authorities accused journalists of “sowing panic and fear” under article 213 of the penal code.
",2020-03-26,2020-03-26,2020-03-26,Turkey,TUR,TR,Municipal,0,Izmir,,Anti-Disinformation Measures,,,"",Turkey,,,Izmir,,,,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",51.6423958079466,50.1779323540219,48.2894041685343,34,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T23:17:05Z
R_3Dj41SuSucov3YfNA,2563749,new_entry,original,,,"Since March 28, 2020, the Turkish authorities have targeted doctors in senior positions in professional bodies, known as medical chambers. They were summoned to police stations in their cities and interrogated on suspicion of issuing threats regarding health with an aim to create panic and fear among the public (Article 213 of the Turkish Penal Code).",2020-03-28,2020-03-28,,Turkey,TUR,TR,National,0,,,Anti-Disinformation Measures,,,"",Turkey,,,,,,,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Ministry/Department of Justice,Police,Other (Please specify in the text box)",51.9086428481935,50.2399988538916,48.4480980768402,32,https://www.hrw.org/news/2020/06/10/turkey-probes-over-doctors-covid-19-comments,2020-11-29,2020-11-29T23:46:03Z
R_1INoAK1le5j24jWNA,3158581,new_entry,original,,,"Two journalists in the eastern province of Van, Turkey were summoned for questioning by the police for sharing Covid-19 information on social media. The judicial authorities accused journalists of “sowing panic and fear” under article 213 of the penal code.
",2020-04-02,2020-04-02,2020-04-02,Turkey,TUR,TR,Municipal,0,Van,,Anti-Disinformation Measures,,,"",Turkey,,,Van,,,,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",51.6647475072597,50.3963283894353,49.1096354457713,29,https://expressioninterrupted.com/tr/koronavirus-haber-ve-paylasimlari-nedeniyle-cok-sayida-sorusturma-acildi/,2020-11-29,2020-11-29T23:29:07Z
R_1F9AkVfieMk7XloDo,23116,new_entry,correction,,,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,,Turkey,TUR,TR,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Turkey,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),51.7681393974317,49.6107605294785,46.247508078603,46,https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463,2020-08-02,2020-08-02T08:04:03Z
R_1F9AkVfieMk7XloDq,23116,new_entry,correction,,,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,,Turkey,TUR,TR,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Turkey,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),51.7681393974317,49.6107605294785,46.247508078603,46,https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463,2020-08-02,2020-08-02T08:04:03Z
R_1F9AkVfieMk7XloEp,23116,new_entry,correction,,,"In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,,Turkey,TUR,TR,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Turkey,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),51.7681393974317,49.6107605294785,46.247508078603,46,https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463,2020-08-02,2020-08-02T08:04:03Z
