"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3hfgpt5g3flWFgWDp",1621547,"new_entry","original","NA",NA,"Turkmenistan extends school holidays in response to the coronavirus on March 30.",2020-03-30,2020-03-30,2020-04-06,"Turkmenistan","TKM","TM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Turkmenistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3193201531889,51.2380818712448,50.4213615868866,42,"https://turkmenportal.com/en/blog/26387/turkmenistan-extends-school-holidays-until-april-6",2020-04-03,"2020-04-03 12:46:51"
"2","R_3hfgpt5g3flWFgWEn",1621547,"new_entry","original","NA",NA,"Turkmenistan extends school holidays in response to the coronavirus on March 30.",2020-03-30,2020-03-30,2020-04-06,"Turkmenistan","TKM","TM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Turkmenistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3193201531889,51.2380818712448,50.4213615868866,42,"https://turkmenportal.com/en/blog/26387/turkmenistan-extends-school-holidays-until-april-6",2020-04-03,"2020-04-03 12:46:51"
"3","R_2UXFKf1prvnc9VIDp",5851966,"new_entry","original","NA",NA,"In Turkmenistan, on March 30, it was announced that spring break in schools is going to be extended for one week, until April 6. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,"Turkmenistan","TKM","TM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Turkmenistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3193201531889,51.2380818712448,50.4213615868866,42,"https://fergana.agency/news/116586/",2020-09-27,"2020-09-27 15:56:08"
"4","R_2UXFKf1prvnc9VIEn",5851966,"new_entry","original","NA",NA,"In Turkmenistan, on March 30, it was announced that spring break in schools is going to be extended for one week, until April 6. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,"Turkmenistan","TKM","TM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Turkmenistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3193201531889,51.2380818712448,50.4213615868866,42,"https://fergana.agency/news/116586/",2020-09-27,"2020-09-27 15:56:08"
"5","R_30oWatZyWCVjVkTFh",678086,"new_entry","original","NA",NA,"Turkmenistan has """"recommended the country’s citizens to refrain from traveling to China due to the coronavirus"""" on January 30.",2020-01-30,2020-01-30,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China","One or more countries, but not all countries",NA,NA,NA,NA,"Citizen Travelers","Outbound","Flights","Voluntary/Recommended but No Penalties","National Government",49.2884271555945,47.6472714843879,45.400713924875,111,"https://en.trend.az/casia/turkmenistan/3184545.html",2020-04-03,"2020-04-03 12:16:34"
"6","R_2aWW1iu8F4b4kCxFh",4163441,"new_entry","original","NA",NA,"""""Turkmenistan suspends flights from February 6 to Bangkok and from February 7 to Beijing because of the coronavirus outbreak in China""""",2020-01-31,2020-01-31,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Thailand","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",49.33634566709,47.7553406405924,45.5814010956782,118,"https://turkmenportal.com/en/blog/24802/turkmenistan-suspends-flights-to-bangkok-and-beijing-due-to-coronavirus-outbreak-in-china",2020-04-03,"2020-04-03 12:56:27"
"7","R_3kpmbPO3SuHv3G7Fh",5126736,"new_entry","original","NA",NA,"The border with Iran was closed by Turkmenistan on Feb. 24.",2020-02-24,2020-02-24,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Iran","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Land Border","Mandatory (Unspecified/Implied)","National Government",50.433206430639,48.9043486909562,46.7427427012179,102,"https://eurasianet.org/turkmenistan-going-viral",2020-04-18,"2020-04-18 09:55:02"
"8","R_TvzS1DHbBb5BgYxFh",260633,"new_entry","original","NA",NA,"On March 2, Turkmenistan authorities recommended citizens to refrain from traveling abroad.",2020-03-02,2020-03-02,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Turkmenistan","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","Ministry/Department of Health",51.0318843862832,49.2826465999332,47.2080404350019,91,"https://www.hronikatm.com/2020/03/no-travel/",2020-09-27,"2020-09-27 11:12:17"
"9","R_2dubTUsCrN6bbj7Fh",6028302,"new_entry","original","NA",NA,"On March 2, the authorities of Turkmenistan recommended its citizens to refrain from traveling abroad.",2020-05-02,2020-03-02,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Turkmenistan","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","Ministry/Department of Health",51.0318843862832,49.2826465999332,47.2080404350019,91,"https://www.hronikatm.com/2020/03/no-travel/",2020-09-20,"2020-09-20 11:56:57"
"10","R_3ELr0huSeIbT7a5Fh",4896732,"new_entry","original","NA",NA,"Starting from March 6, Turkmenistan's authorities decided that all international flights coming to Ashgabat's airport are transferred to Turkmenabat. There passengers will have to go through medical checks (and test for coronavirus) and if necessary will stay for quarantine in medical facilities in Turkmenabat.
",2020-03-06,2020-03-06,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",50.9183015031806,49.5664372273272,47.4932586860334,87,"https://www.hronikatm.com/2020/03/stop-virus/",2020-09-20,"2020-09-20 11:37:25"
