"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3fAEQatAQ5WfN8kDg",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Other Quarantine",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"2","R_3fAEQatAQ5WfN8kCi",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown applies to all people",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"3","R_3fAEQatAQ5WfN8kDc",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Other mass gatherings not specified above restricted",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"4","R_3fAEQatAQ5WfN8kCh",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"5","R_3fAEQatAQ5WfN8kEi",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions on ridership of buses",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"6","R_3fAEQatAQ5WfN8kEl",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions ridership of other forms of public transportation (please include details in the text entry)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"7","R_3fAEQatAQ5WfN8kAq",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"8","R_3fAEQatAQ5WfN8kAd",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"9","R_3fAEQatAQ5WfN8kDn",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
"10","R_3fAEQatAQ5WfN8kDp",2730006,"new_entry","original","NA",NA,"Tuvalu (specifically the Tuvalu Government) convened a COVID-19 Health Taskforce in late January (Januar 28th 2020), during a separate national emergency declared in response to Cyclone Tino.",2020-03-20,2020-03-20,NA,"Tuvalu","TUV","TV","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",50.2111373045983,47.9643817566576,45.3604504075725,10,"https://devpolicy.org/how-is-tuvalu-securing-against-covid-19-20200406/",2020-05-06,"2020-05-06 08:36:03"
