"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_56KcwXoc9kBzddvNA","6946763","new_entry","correction",NA,NA,"On March 15, the ""prime minister also noted that media outlets which spread false information might be prosecuted in line with the current legislation.""",2020-03-15,2020-03-16,NA,"Uzbekistan","UZB","UZ","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://advance.lexis.com/api/permalink/545cd6c3-f0be-4c32-aeb6-ce36ecb10075/?context=1516831",2020-09-06,2020-09-06 10:37:14
"2","R_3fHpsPcN5nOIdTtCv","3639540","new_entry","correction",NA,NA,"In Uzbekistan, ""the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum. To prepare video lessons, working groups will be created with the participation of representatives of relevant fields,"" announced on March 15.",2020-03-15,2020-03-16,NA,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://advance.lexis.com/api/permalink/a56ab9b7-41b3-4d9a-afd9-97140fd0fba7/?context=1516831",2020-09-06,2020-09-06 11:30:20
"3","R_3fHpsPcN5nOIdTtCw","3639540","new_entry","correction",NA,NA,"In Uzbekistan, ""the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum. To prepare video lessons, working groups will be created with the participation of representatives of relevant fields,"" announced on March 15.",2020-03-15,2020-03-16,NA,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://advance.lexis.com/api/permalink/a56ab9b7-41b3-4d9a-afd9-97140fd0fba7/?context=1516831",2020-09-06,2020-09-06 11:30:20
"4","R_3fHpsPcN5nOIdTtDr","3639540","new_entry","correction",NA,NA,"In Uzbekistan, ""the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum. To prepare video lessons, working groups will be created with the participation of representatives of relevant fields,"" announced on March 15.",2020-03-15,2020-03-16,NA,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://advance.lexis.com/api/permalink/a56ab9b7-41b3-4d9a-afd9-97140fd0fba7/?context=1516831",2020-09-06,2020-09-06 11:30:20
"5","R_pSEiMKbRb5pVwqZDr","4501757","new_entry","original",NA,NA,"Starting from 16 March 2020, vacations are announced in all secondary schools of Uzbekistan. A special commission to prevent the spread of coronavirus infection and ensure the sanitary and epidemiological situation in educational institutions, headed by the Prime Minister of Uzbekistan Abdulla Aripov, made such a decision on 15 March 2020. Children can receive knowledge during the holidays, the National Television and Radio Company of Uzbekistan will prepare and organize the broadcasting of video lessons in accordance with the curriculum.",2020-03-15,2020-03-16,NA,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,New (COVID-19 specific) Task Force",53.940054729675,53.0351454589641,52.1593715056489,167,"https://uzdaily.uz/en/post/55383",2020-09-21,2020-09-21 18:37:57
"6","R_24pbwTEuEY33z5zCv","9800051","new_entry","original",NA,NA,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://uzdaily.uz/en/post/55382",2020-09-21,2020-09-21 18:44:16
"7","R_24pbwTEuEY33z5zCw","9800051","new_entry","original",NA,NA,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://uzdaily.uz/en/post/55382",2020-09-21,2020-09-21 18:44:16
"8","R_24pbwTEuEY33z5zDr","9800051","new_entry","original",NA,NA,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://uzdaily.uz/en/post/55382",2020-09-21,2020-09-21 18:44:16
"9","R_24pbwTEuEY33z5zBg","9800051","new_entry","original",NA,NA,"On16 March, Uzbekistan closes universities, schools and kindergartens  for three weeks because of the coronavirus, Prime Minister Abdulla Aripov said at a meeting on Sunday.
",2020-03-15,2020-03-16,2020-04-06,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.940054729675,53.0351454589641,52.1593715056489,167,"https://uzdaily.uz/en/post/55382",2020-09-21,2020-09-21 18:44:16
"10","R_1IWxqqYUF707J9sDr","861368","new_entry","original",NA,NA,"On Mar. 30, Uzbek Public Education Ministry launches video lessons through public and cable television, along with a special Telegram channel aimed at distance learning of the secondary school students.",2020-03-30,2020-03-30,NA,"Uzbekistan","UZB","UZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Uzbekistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",56.137484467066,54.0537218771928,52.6782507136193,167,"https://uzdaily.uz/en/post/55707 ; https://uzdaily.uz/en/post/55716",2020-04-27,2020-04-27 23:37:34
