"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2wjkCzzLvc99GApBo","539360","new_entry","original",NA,NA,"On May 6, the Congregatio de Institutione Catolica announced that Ecclesiastical Universities should finish the year using videoconferencing and other distance learning technologies.",2020-05-06,2020-05-06,NA,"Vatican","VAT","VA","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions allowed to open with conditions","Vatican","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"http://www.educatio.va/content/dam/cec/Documenti/Norme%20transitorie%206%20maggio%202020%20EN.pdf",2020-08-16,2020-08-16 17:22:17
"2","R_1DNC4L2FjdbyNVaNA","2483870","new_entry","original",NA,NA,"The Vatican announced May 23 that all visitors to the Vatican museums will be subject to temperature checks. ""A medical and health team from Italy’s Misericordie volunteer group and the Vatican’s Health and Hygiene Department will ensure every need during the opening hours.""",2020-05-23,2020-06-01,NA,"Vatican","VAT","VA","National",0,NA,NA,"Health Monitoring",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Not Applicable","Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.vaticannews.va/en/vatican-city/news/2020-05/vatican-museums-reopen-june1-castel-gandolfo-coronavirus-restric.html",2020-08-15,2020-08-15 14:45:51
"3","R_3OcTSyNyYEDaucHEy","1173396","new_entry","original",NA,NA,"The Vatican has donated 35 ventilators to 13 different countries, ""especially those with poor health care systems.""",2020-06-26,2020-06-26,2020-06-27,"Vatican","VAT","VA","National",0,NA,NA,"Health Resources","Ventilators",NA,"","Bangladesh,Bolivia,Brazil,Cameroon,Colombia,Dominican Republic,Ecuador,Haiti,Honduras,Mexico,Ukraine,Venezuela,Zimbabwe","One or more countries and one or more regional groupings",NA,NA,NA,NA,"Health-Related Supplies",NA,"Not Applicable","Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.vaticannews.va/en/pope/news/2020-06/covid-19-pope-franciss-many-gestures-of-closeness.html",2020-06-30,2020-06-30 22:19:19
"4","R_2tKyXsBQOjG56iHCp","5285636","new_entry","original",NA,NA,"On June 3, the Dicastery for the Promotion of Integral Human Development announced that Pope Francis ""has donated 25,000 Euros to the World Food Programme (WFP)."" ""It is 'an immediate expression of the Holy Father’s closeness' to people affected by the pandemic and those 'engaged in essential services in favour of the poor.""",2020-07-03,2020-07-03,2020-07-04,"Vatican","VAT","VA","National",0,NA,NA,"Health Resources","Other Health Materials",NA,"",NA,"An international organization (e.g. World Health Organization)",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.vaticannews.va/en/pope/news/2020-07/covid-19-pope-francis-continues-his-gestures-of-closeness.html",2020-07-05,2020-07-05 20:37:32
"5","R_vOeG9xyHWPGqFCFNA","8951340","new_entry","original",NA,NA,"The Vatican announced on August 3 that ""Vatican employees and workers who have contact with the public are being tested for the antibodies for COVID-19.""",2020-08-03,2020-08-03,NA,"Vatican","VAT","VA","National",0,NA,NA,"Health Testing",NA,NA,"","Vatican",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",NA,NA,NA,NA,"https://cruxnow.com/vatican/2020/08/vatican-workers-who-meet-public-tested-for-covid-19-antibodies/",2020-08-13,2020-08-13 00:54:45
"6","R_2tlOWWqdWGOmrUwCg","5743126","new_entry","original",NA,NA,"The Dicastery for Promoting Integral Human Development at the direction of Pope Francis ""has established a Vatican COVID-19 Commission to take up the Pope’s concern through the activities of five Working Groups, which are: acting now for the future; looking to the future with creativity; communicating hope; seeking common dialogue and reflections; supporting to care.""",2020-03-20,2020-03-20,NA,"Vatican","VAT","VA","National",1,NA,NA,"New Task Force, Bureau or Administrative Configuration","New Task Force or Bureau (i.e. establishment of a temporary body)",NA,"","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://www.humandevelopment.va/en/vatican-covid-19.html",2020-05-27,2020-05-27 15:38:50
"7","R_1JWwPMBwIcTGECXDo","3281148","new_entry","original",NA,NA,"On March 10, the Vatican announced the closure of the office of ""the Photographic Service of L’Osservatore Romano, which will remain accessible online."" The office will reopen on April 3.",2020-03-10,2020-03-10,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Businesses","Publishing activities",NA,"This type of business  (""Publishing activities"") is closed/locked down","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html",2020-05-29,2020-05-29 14:04:19
"8","R_3CQ1K6j4Kj5doD6Eb","5848070","new_entry","original",NA,NA,"Beginning on March 10 the Vatican will close the ""clothing warehouse"" (another English translation might be ""mall""). These stores will remained closed until April 3.",2020-03-10,2020-03-10,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Businesses","Retail Businesses",NA,"This type of business  (""Retail Businesses"") is closed/locked down","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html",2020-05-29,2020-05-29 13:42:06
"9","R_3CQ1K6j4Kj5doD6Ef","5848070","new_entry","original",NA,NA,"Beginning on March 10 the Vatican will close the ""clothing warehouse"" (another English translation might be ""mall""). These stores will remained closed until April 3.",2020-03-10,2020-03-10,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Businesses","Shopping Centers",NA,"This type of business  (""Shopping Centers"") is closed/locked down","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html",2020-05-29,2020-05-29 13:42:06
"10","R_1CjQzKFBwOZuImvEg","9598640","new_entry","original",NA,NA,"As of March 10 in Vatican City ""the pharmacy and the Annona supermarket remain open, but with restricted entry."" 
At the pharmacy, entrance is limited and shields have been put up to protect employees and shoppers. Similar measures have been put in place at the supermarket. ""These measures will remain in force, unless further indications are given, until 3 April 2020.""",2020-03-10,2020-03-10,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Businesses","Supermarkets/grocery stores",NA,"This type of business  (""Supermarkets/grocery stores"") is allowed to open with conditions","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html ; https://www.vaticannews.va/it/vaticano/news/2020-03/cov19-un-solo-caso-in-vaticano.html",2020-05-28,2020-05-28 14:51:38
"11","R_1CjQzKFBwOZuImvDb","9598640","new_entry","original",NA,NA,"As of March 10 in Vatican City ""the pharmacy and the Annona supermarket remain open, but with restricted entry."" 
At the pharmacy, entrance is limited and shields have been put up to protect employees and shoppers. Similar measures have been put in place at the supermarket. ""These measures will remain in force, unless further indications are given, until 3 April 2020.""",2020-03-10,2020-03-10,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Businesses","Pharmacies",NA,"This type of business  (""Pharmacies"") is allowed to open with conditions","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html ; https://www.vaticannews.va/it/vaticano/news/2020-03/cov19-un-solo-caso-in-vaticano.html",2020-05-28,2020-05-28 14:51:38
"12","R_3F2Lqfu29vBeTV7Eo","3930124","new_entry","original",NA,NA,"In coordination with the measures launched by the Italian authorities, a number of measures were adopted March 8, 2020 to prevent the spread of COVID-19, to be observed in the Dicasteries and other entities of or related to the Holy See, and in the Governorate of Vatican City State. These measures include the precautionary closure, until 3 April 2020, of the Vatican Museums, the Excavation Office, the Museum of the Pontifical Villas and the museum centres of the Pontifical Basilicas.
These measures will remain in force, unless further indications are given, until 3 April 2020.",2020-03-08,2020-03-08,2020-06-01,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Tourist Sites",NA,"This service is no longer provided by the government","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/08/200308b.html",2020-05-16,2020-05-16 16:09:32
"13","R_3F2Lqfu29vBeTV7Dm","3930124","new_entry","original",NA,NA,"In coordination with the measures launched by the Italian authorities, a number of measures were adopted March 8, 2020 to prevent the spread of COVID-19, to be observed in the Dicasteries and other entities of or related to the Holy See, and in the Governorate of Vatican City State. These measures include the precautionary closure, until 3 April 2020, of the Vatican Museums, the Excavation Office, the Museum of the Pontifical Villas and the museum centres of the Pontifical Basilicas.
These measures will remain in force, unless further indications are given, until 3 April 2020.",2020-03-08,2020-03-08,2020-06-01,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Public museums/galleries",NA,"This service is no longer provided by the government","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/08/200308b.html",2020-05-16,2020-05-16 16:09:32
"14","R_11iQuWe0OEfxVkMDl","7322786","new_entry","original",NA,NA,"The Vatican Apostolic Archive closed to visitors on March 6.",2020-03-06,2020-03-09,2020-06-26,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Public libraries",NA,"This service is no longer provided by the government","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://globalnews.ca/news/6639716/coronavirus-vatican-covid19/",2020-06-09,2020-06-09 13:56:19
"15","R_3MEX9zEBqzVcholCu","7287264","new_entry","original",NA,NA,"On March 10, the Vatican closed ""the mobile unit of the Vatican Post Office in Saint Peter’s Square."" The unit will reopen on April 3.",2020-03-10,2020-03-10,2020-05-03,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Other public facilities",NA,"This service is no longer provided by the government","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html",2020-05-29,2020-05-29 14:07:53
"16","R_RJknxaJMMIF0HYJEo","8889802","new_entry","original",NA,NA,"As of March 10 the Vatican has closed St. Peter's Square and Basilica to guided tours and tourists. This policy will remain in force until April 3.",2020-03-10,2020-03-10,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Tourist Sites",NA,"This service is no longer provided by the government","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html",2020-06-01,2020-06-01 14:27:10
"17","R_3h09fdZFxIiw2YGBv","929732","new_entry","original",NA,NA,"As of March 10, Vatican City will close the two sale points of the Libreria Editrice Vaticana, the publishing house of the state. One of these sale points is located in the city, in Piazza San Pietro and the other is located in Rome in Piazza Pio XII. These two sale points will reopen on April 3.",2020-03-10,2020-03-10,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Issuing of permits/certificates and/or processing of government documents",NA,"This service is no longer provided by the government","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html",2020-05-29,2020-05-29 13:52:55
"18","R_10wIUHBscbd3dSMCu","2453977","new_entry","original",NA,NA,"Vatican City has announced that ""the canteen for employees will be closed to the public from tomorrow, March 11, when a meal delivery service will be activated at the request of the various bodies and entities of the Holy See and Vatican City State."" This policy will remain in force until April 3.",2020-03-10,2020-03-11,2020-05-12,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Other public facilities",NA,"This service provided by the government is provided with conditions atttached","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html",2020-05-28,2020-05-28 18:24:15
"19","R_2R4dMUNK1TWLK7MDk","6282806","new_entry","original",NA,NA,"On March 19, 2020, the Vatican announced the ""the suspension until 3 April 2020 of all court activities in progress at the judicial offices of the Vatican City State, as well as the related forfeiture and limitation periods.""",2020-03-19,2020-03-19,2020-05-04,"Vatican","VAT","VA","National",1,NA,NA,"Restriction and Regulation of Government Services","Public courts",NA,"This service is no longer provided by the government","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/19/200319d.html",2020-06-01,2020-06-01 13:29:07
"20","R_2DSO9E7nUKg5sp8Bx","4645636","new_entry","original",NA,NA,"To enforce social distancing in the Vatican museums, visitors must wear a mask and ticket sales will be limited to reduce the number of people permitted inside the buildings at any given time.",2020-05-23,2020-06-01,NA,"Vatican","VAT","VA","National",1,NA,NA,"Social Distancing","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.vaticannews.va/en/vatican-city/news/2020-05/vatican-museums-reopen-june1-castel-gandolfo-coronavirus-restric.html",2020-08-16,2020-08-16 17:04:39
"21","R_2DSO9E7nUKg5sp8Fl","4645636","new_entry","original",NA,NA,"To enforce social distancing in the Vatican museums, visitors must wear a mask and ticket sales will be limited to reduce the number of people permitted inside the buildings at any given time.",2020-05-23,2020-06-01,NA,"Vatican","VAT","VA","National",1,NA,NA,"Social Distancing","Wearing Masks inside public or commercial building",NA,"","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.vaticannews.va/en/vatican-city/news/2020-05/vatican-museums-reopen-june1-castel-gandolfo-coronavirus-restric.html",2020-08-16,2020-08-16 17:04:39
"22","R_1r9u5cOxfz1j47FCs","7586459","new_entry","original",NA,NA,"In Vatican City, in keeping with the norms of hygiene and physical distance, visitors to the Vatican Museums will be allowed in only with a facemask. Facemasks will also be required for visitors at the Pontifical Villas. This will take effect upon the opening of the Museums, June 1, and the Villas, June 6.",2020-05-23,2020-06-01,NA,"Vatican","VAT","VA","National",1,NA,NA,"Social Distancing","Other Mask Wearing Policy",NA,"","Vatican",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.vaticannews.va/en/vatican-city/news/2020-05/vatican-museums-reopen-june1-castel-gandolfo-coronavirus-restric.html",2020-05-23,2020-05-23 18:40:45
