"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2wS3E88Q2rMCAntCu","8903667","new_entry","original",NA,NA,"In Zambia, as of 23rd March 2020, ""All learning institutions to be closed for 30 days.""",2020-03-18,2020-03-23,2020-04-21,"Zambia","ZMB","ZM","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Zambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",53.3791916905345,52.4805843003787,51.4686345565218,114,"https://www.nation.co.ke/news/africa/Coronavirus-Zambia-joins-list-of-affected-states-/1066-5496770-s732pez/index.html",2020-03-30,2020-03-30 07:18:08
"2","R_2wS3E88Q2rMCAntCw","8903667","new_entry","original",NA,NA,"In Zambia, as of 23rd March 2020, ""All learning institutions to be closed for 30 days.""",2020-03-18,2020-03-23,2020-04-21,"Zambia","ZMB","ZM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Zambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",53.3791916905345,52.4805843003787,51.4686345565218,114,"https://www.nation.co.ke/news/africa/Coronavirus-Zambia-joins-list-of-affected-states-/1066-5496770-s732pez/index.html",2020-03-30,2020-03-30 07:18:08
"3","R_2wS3E88Q2rMCAntDr","8903667","new_entry","original",NA,NA,"In Zambia, as of 23rd March 2020, ""All learning institutions to be closed for 30 days.""",2020-03-18,2020-03-23,2020-04-21,"Zambia","ZMB","ZM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Zambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",53.3791916905345,52.4805843003787,51.4686345565218,114,"https://www.nation.co.ke/news/africa/Coronavirus-Zambia-joins-list-of-affected-states-/1066-5496770-s732pez/index.html",2020-03-30,2020-03-30 07:18:08
"4","R_2wS3E88Q2rMCAntBh","8903667","new_entry","original",NA,NA,"In Zambia, as of 23rd March 2020, ""All learning institutions to be closed for 30 days.""",2020-03-18,2020-03-23,2020-04-21,"Zambia","ZMB","ZM","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Zambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",53.3791916905345,52.4805843003787,51.4686345565218,114,"https://www.nation.co.ke/news/africa/Coronavirus-Zambia-joins-list-of-affected-states-/1066-5496770-s732pez/index.html",2020-03-30,2020-03-30 07:18:08
"5","R_25MeQFAnAKywHQbNA","5525026","new_entry","original",NA,NA,"On 17 March 2020, in Zambia, ""A restriction has been imposed on all foreign travel, with the public being advised to reschedule all avoidable travel. Hygiene practices to promote infection prevention in all passenger vehicles, airplanes, marine transport, and other conveyances, and points of entry such as airports, harbors, railway stations, and ground crossings is emphasized.""",2020-03-17,2020-03-17,NA,"Zambia","ZMB","ZM","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Police",52.4643508627968,51.3180080402481,50.4436676201958,92,"https://www.moh.gov.zm/?wpfb_dl=145",2020-03-30,2020-03-30 12:25:02
"6","R_sI1iltc6I3GpYoVNA","8214084","new_entry","original",NA,NA,"13 March 2020: The Government of Zambia is enforcing ""Closure of Simon Mwansa Kapwepwe (Copperbelt province), Harry Mwanga Nkumbula (Southern Province) and Mfuwe (Eastern province) International Airports. All international flights have been rerouted to Kenneth Kaunda International Airport (KKIA), Lusaka.""",2020-03-13,2020-03-17,NA,"Zambia","ZMB","ZM","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Provincial/State Government,Police",52.4643508627968,51.3180080402481,50.4436676201958,92,"http://znphi.co.zm/news/wp-content/uploads/2020/04/Zambia_COVID-Situational-Report-No-14_010420_Final.pdf",2020-04-02,2020-04-02 17:23:43
"7","R_3n2Hw28E6tbdaeIEm","8941964","new_entry","original",NA,NA,"Zambia ""Zambia will Monday( on May 11th) be shutting its border with Tanzania after the country witnessed the highest spike of Covid-19 infections on Saturday.""",2020-05-11,2020-05-11,NA,"Zambia","ZMB","ZM","National",0,NA,NA,"External Border Restrictions","Visa restrictions (e.g. suspend issuance of visa)",NA,"","Tanzania","One or more countries and one or more regional groupings","Other Regions (please specify below)",NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.aa.com.tr/en/africa/zambia-shuts-border-with-tanzania-to-curb-covid-19/1836623",2020-05-29,2020-05-29 15:31:18
"8","R_2vdMDp9EH0pDqxRNA","3218524","new_entry","original",NA,NA,"14 March 2020: With immediate effect, the Government of The Republic of Zambia is enforcing ""Mandatory reporting of all individuals suspected to have COVID-19 to health officials.""",2020-03-14,2020-03-14,NA,"Zambia","ZMB","ZM","National",1,NA,NA,"Health Monitoring",NA,NA,"","Zambia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Police",51.9831670448648,50.8498285184523,49.8607025558839,94,"http://znphi.co.zm/news/wp-content/uploads/2020/03/Ministerial-statement_COVID-19-SI_14Mar2020_min.pdf",2020-03-30,2020-03-30 11:55:56
"9","R_22V17YfPmRWDJaSNA","5296263","new_entry","correction",NA,NA,"Zambia has ""Active surveillance ongoing at all points of entry and in health facilities. All international passengers are being screened and those from high risk countries followed up for 14 days.""",2020-03-14,2020-03-14,NA,"Zambia","ZMB","ZM","National",0,NA,NA,"Health Monitoring",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights,Land Border","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.9831670448648,50.8498285184523,49.8607025558839,94,"http://znphi.co.zm/news/press-statement-on-covid-19-and-additional-preventive-and-control-measures-introduced-by-the-government-of-the-republic-of-zambia/",2020-08-06,2020-08-06 12:25:58
"10","R_x9RhKhcdoFGxlBLNA","5787077","new_entry","correction",NA,NA,"Zambia has ""Active surveillance ongoing at all points of entry and in health facilities. All international passengers are being screened and those from high risk countries followed up for 14 days.""",2020-03-14,2020-03-14,NA,"Zambia","ZMB","ZM","National",0,NA,NA,"Health Monitoring",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights,Land Border",NA,"National Government,Ministry/Department of Health",51.9831670448648,50.8498285184523,49.8607025558839,94,"https://zm.usembassy.gov/covid-19-information/",2020-03-30,2020-03-30 10:06:27
