"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2YDKqKvI0IWUSwTEd",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"2","R_2YDKqKvI0IWUSwTBy",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"3","R_2YDKqKvI0IWUSwTEw",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"4","R_2YDKqKvI0IWUSwTDb",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Postponement of an annually recurring event",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"5","R_2YDKqKvI0IWUSwTBw",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"6","R_2YDKqKvI0IWUSwTFb",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"7","R_2YDKqKvI0IWUSwTAf",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","77400",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"8","R_2YDKqKvI0IWUSwTAa",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","18000",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"9","R_2YDKqKvI0IWUSwTDe",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"10","R_2YDKqKvI0IWUSwTEc",7108173,"new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
