"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2zec1IjegnxndJcEd",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"2","R_2zec1IjegnxndJcBy",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"3","R_2zec1IjegnxndJcEw",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"4","R_2zec1IjegnxndJcDb",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of an annually recurring event",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"5","R_2zec1IjegnxndJcBw",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"6","R_2zec1IjegnxndJcFb",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"7","R_2zec1IjegnxndJcAf",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","77400",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"8","R_2zec1IjegnxndJcAa",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","18000",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"9","R_2zec1IjegnxndJcDe",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
"10","R_2zec1IjegnxndJcEc",7106716,"new_entry","original",NA,NA,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,NA,"Bhutan","BTN","BT","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.facebook.com/MoHBhutan/posts/3397283126999946",2020-08-19,2020-08-19 22:50:53
