"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3e8KNgmaEsKGNXODe",3360208,"new_entry","original",NA,NA,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.",2020-03-13,2020-03-09,2020-05-11,"Liechtenstein","LIE","LI","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.675910888746,51.4330371755647,50.3851451749957,156,"https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827",2020-03-29,2020-03-29 13:08:28
"2","R_3e8KNgmaEsKGNXOEc",3360208,"new_entry","original",NA,NA,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.",2020-03-13,2020-03-09,2020-05-11,"Liechtenstein","LIE","LI","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.675910888746,51.4330371755647,50.3851451749957,156,"https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827",2020-03-29,2020-03-29 13:08:28
"3","R_3MxtAa91zk7BuiODe",3360208,"update","original","End of Policy",NA,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.
On April 30 the gov of Liechtenstein announced that schools, educational and childcare establishments are going to reopen on May 11 under age-appropriate conditions. UPDATE: On April 30, the gov of Liechtenstein announced that all grades are starting in-person instructions under age-appropriate security measures again from May 11 on.",2020-03-13,2020-03-09,2020-05-11,"Liechtenstein","LIE","LI","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.675910888746,51.4330371755647,50.3851451749957,156,"https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827",2020-07-08,2020-07-08 23:22:12
"4","R_3MxtAa91zk7BuiOEc",3360208,"update","original","End of Policy",NA,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.
On April 30 the gov of Liechtenstein announced that schools, educational and childcare establishments are going to reopen on May 11 under age-appropriate conditions. UPDATE: On April 30, the gov of Liechtenstein announced that all grades are starting in-person instructions under age-appropriate security measures again from May 11 on.",2020-03-13,2020-03-09,2020-05-11,"Liechtenstein","LIE","LI","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.675910888746,51.4330371755647,50.3851451749957,156,"https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827",2020-07-08,2020-07-08 23:22:12
"5","R_W2Lg5niEZc68IbTDe",3360208,"update","original","End of Policy",NA,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down. From May 11, 2020, kindergartens, primary and secondary schools are allowed to reopen. UPDATE: From May 11, 2020, kindergartens, primary and secondary schools are allowed to reopen.",2020-03-13,2020-03-09,2020-05-11,"Liechtenstein","LIE","LI","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.675910888746,51.4330371755647,50.3851451749957,156,"https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827",2020-05-07,2020-05-07 12:35:42
"6","R_W2Lg5niEZc68IbTEc",3360208,"update","original","End of Policy",NA,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down. From May 11, 2020, kindergartens, primary and secondary schools are allowed to reopen. UPDATE: From May 11, 2020, kindergartens, primary and secondary schools are allowed to reopen.",2020-03-13,2020-03-09,2020-05-11,"Liechtenstein","LIE","LI","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.675910888746,51.4330371755647,50.3851451749957,156,"https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827",2020-05-07,2020-05-07 12:35:42
"7","R_2P5US6jDO0douixDe",8988229,"new_entry","original",NA,NA,"On May 4, the gov of Liechtenstein announced the framework under which schools, educational and childcare institutions are going to reopen from 11 May on. This encompasses age-appropriate hygiene measures and a combination of in-person and remote instructions for classes above class 5. In addition to this, classes are split into small groups.",2020-04-30,2020-05-11,2020-06-08,"Liechtenstein","LIE","LI","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.regierung.li/media/attachments/229-corona-massnahmen-0430.pdf?t=637292483624293392",2020-07-01,2020-07-01 23:53:36
"8","R_2P5US6jDO0douixEc",8988229,"new_entry","original",NA,NA,"On May 4, the gov of Liechtenstein announced the framework under which schools, educational and childcare institutions are going to reopen from 11 May on. This encompasses age-appropriate hygiene measures and a combination of in-person and remote instructions for classes above class 5. In addition to this, classes are split into small groups.",2020-04-30,2020-05-11,2020-06-08,"Liechtenstein","LIE","LI","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.regierung.li/media/attachments/229-corona-massnahmen-0430.pdf?t=637292483624293392",2020-07-01,2020-07-01 23:53:36
"9","R_2n6SjHT1IXOLIgpDe",8988229,"update","original","End of Policy",NA,"On May 4, the gov of Liechtenstein announced the framework under which schools, educational and childcare institutions are going to reopen from 11 May on. This encompasses age-appropriate hygiene measures and a combination of in-person and remote instructions for classes above class 5. In addition to this, classes are split into small groups.
On June 2, the gov of Liechtenstein announced that from June 8 on, in-person instructions are the new normal for all grades. In addition to this, classes aren't split up in groups anymore but taught together. UPDATE: On June 2, the gov of Liechtenstein announced that from June 8 on, in-person instructions are the new normal for all grades. In addition to this, classes aren't split up in groups anymore but taught together.",2020-04-30,2020-05-11,2020-06-08,"Liechtenstein","LIE","LI","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.regierung.li/media/attachments/229-corona-massnahmen-0430.pdf?t=637292483624293392",2020-07-02,2020-07-02 00:04:14
"10","R_2n6SjHT1IXOLIgpEc",8988229,"update","original","End of Policy",NA,"On May 4, the gov of Liechtenstein announced the framework under which schools, educational and childcare institutions are going to reopen from 11 May on. This encompasses age-appropriate hygiene measures and a combination of in-person and remote instructions for classes above class 5. In addition to this, classes are split into small groups.
On June 2, the gov of Liechtenstein announced that from June 8 on, in-person instructions are the new normal for all grades. In addition to this, classes aren't split up in groups anymore but taught together. UPDATE: On June 2, the gov of Liechtenstein announced that from June 8 on, in-person instructions are the new normal for all grades. In addition to this, classes aren't split up in groups anymore but taught together.",2020-04-30,2020-05-11,2020-06-08,"Liechtenstein","LIE","LI","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Liechtenstein",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.regierung.li/media/attachments/229-corona-massnahmen-0430.pdf?t=637292483624293392",2020-07-02,2020-07-02 00:04:14
