"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2qeLzuxUAQU8EVyDe",1722483,"new_entry","original",NA,NA,"North Macedonia closed schools for two weeks.",2020-03-10,2020-03-10,2020-03-24,"Macedonia","MKD","MK","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.0686597783035,52.1590409142862,51.0548358642132,178,"https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/",2020-04-02,2020-04-02 09:59:18
"2","R_2qeLzuxUAQU8EVyEc",1722483,"new_entry","original",NA,NA,"North Macedonia closed schools for two weeks.",2020-03-10,2020-03-10,2020-03-24,"Macedonia","MKD","MK","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.0686597783035,52.1590409142862,51.0548358642132,178,"https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/",2020-04-02,2020-04-02 09:59:18
"3","R_3JD8u9Q0FxDtZRbEd",5751313,"new_entry","correction",NA,NA,"North Macedonia changed the hours of curfew for different segments of society. Adults over age 67 are allowed out between 5AM and 11AM. Individuals under 18 years old are allowed out from 12PM to 8PM. Everyone is restricted from movement outside their homes from 9PM to 5AM starting on March 24th.",2020-03-24,2020-03-24,2020-05-03,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0630629124655,53.3216795575724,51.8565093258179,155,"https://mk.usembassy.gov/covid-19-information/",2020-09-11,2020-09-11 21:05:14
"4","R_WDxt0FmeS0BnVyVEd",5751313,"update","original",NA,NA,"North Macedonia changed the hours of curfew for different segments of society. Adults over age 67 are allowed out between 5AM and 11AM. Individuals under 18 years old are allowed out from 12PM to 8PM. Everyone is restricted from movement outside their homes from 9PM to 5AM starting on March 24th. UPDATE: Curfew hours were changed. Individuals over 67 years old are allowed outside their houses between 5AM and 11AM. Individuals under 18 years old are allowed outside their houses between 12PM and 9PM only. No one is allowed outside their houses from 9PM to 5AM.",2020-03-24,2020-03-24,2020-05-03,"Macedonia","MKD","MK","National",1,NA,NA,"Curfew",NA,NA,NA,"Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","Police",55.0630629124655,53.3216795575724,51.8565093258179,155,"https://mk.usembassy.gov/covid-19-information/",2020-04-02,2020-04-02 17:32:21
"5","R_3Jgsy3qRZVB88LXEd",5751313,"new_entry","correction",NA,NA,"North Macedonia changed curfew times for Saturday and Sunday from 9PM to 5AM to 4PM to 5AM starting on March 28th.",2020-03-25,2020-03-28,2020-05-03,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","Police",55.8028707459342,53.5049829940655,51.2390669751737,152,"https://mk.usembassy.gov/covid-19-information/",2020-09-11,2020-09-11 21:17:13
"6","R_2UXkUtwjZbgoQbtEd",5751313,"update","original",NA,NA,"North Macedonia changed curfew times for Saturday and Sunday from 9PM to 5AM to 4PM to 5AM starting on March 28th. UPDATE: Quarantine will be 4PM to 5AM on Saturdays and Sundays starting on March 28th.",2020-03-25,2020-03-28,2020-05-03,"Macedonia","MKD","MK","National",1,NA,NA,"Curfew",NA,NA,NA,"Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","Police",55.8028707459342,53.5049829940655,51.2390669751737,152,"https://mk.usembassy.gov/covid-19-information/",2020-04-02,2020-04-02 17:41:13
"7","R_3RsaAwy1rZj3NpJEd",73397,"new_entry","correction",NA,NA,"On April 8, curfew hours were extended in the municipality of Kumanovo in North Macedonia and the surrounding villages to limit the spread of the coronavirus in the region. From Monday to Friday, individuals are prohibited from leaving their homes between 16:00 and 05:00 (local time). Over the weekend, a complete ban on movement will be implemented from 21:00 on Friday through 05:00 on Monday.",2020-04-07,2020-04-08,2020-04-10,"Macedonia","MKD","MK","Municipal",0,NA,"Kumanovo Municipality","Curfew",NA,NA,NA,"Macedonia","A geographical or administrative unit within a country",NA,NA,"Kumanovo Municipality",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.0794117526866,53.2671195262629,50.1073329955422,119,"https://www.garda.com/crisis24/news-alerts/330296/north-macedonia-curfew-hours-extended-in-kumanovo-municipality-april-8-update-4",2020-09-11,2020-09-11 21:14:29
"8","R_3EHap0CTyrbnonsEd",5751313,"update","correction",NA,"Relaxing","North Macedonia is changing weekly curfew hours starting on April 8th. Individuals over 67 years of age can leave their houses from 10AM to 12PM. Individuals under 18 years of age, will be aloud outside their houses from 1PM to 3PM. All other adults will have a curfew of 4PM to 5AM.",2020-04-07,2020-04-08,2020-05-03,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia","One or more regional groupings","Europe",NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.0794117526866,53.2671195262629,50.1073329955422,119,"https://vlada.mk/node/20900?ln=sq",2020-09-11,2020-09-11 21:11:29
"9","R_2rvJSD2LGSaDbdZEd",5751313,"update","correction",NA,"Relaxing","North Macedonia is changing weekly curfew hours starting on April 8th. Individuals over 67 years of age can leave their houses from 10AM to 12PM. Individuals under 18 years of age, will be aloud outside their houses from 1PM to 3PM. All other adults will have a curfew of 4PM to 5AM.",2020-04-07,2020-04-10,2020-05-03,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia","One or more regional groupings","Europe",NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.1900930789595,53.3234070023095,50.15136126941,119,"https://vlada.mk/node/20900?ln=sq",2020-07-20,2020-07-20 07:41:06
"10","R_2a7T7JkfDVzlLFvEd",5751313,"update","original",NA,NA,"North Macedonia is enforcing a weekend curfew starting on Friday April 10th. Curfew will extend from Fridays at 4PM until Monday mornings at 5AM. UPDATE: A weekend curfew has been set from Fridays at 4PM until Mondays at 5AM.",2020-04-07,2020-04-10,2020-05-03,"Macedonia","MKD","MK","National",1,NA,NA,"Curfew",NA,NA,NA,"Macedonia","One or more regional groupings","Europe",NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",56.1900930789595,53.3234070023095,50.15136126941,119,"https://vlada.mk/node/20900?ln=sq",2020-04-07,2020-04-07 16:42:27
"11","R_3G3XydYsE57p6zxEd",5751313,"update","original","Change of Policy","Relaxing","North Macedonia will be relaxing curfew restrictions from May 1st through 3rd. New curfew hours will be from 2PM until 5AM on the next day. Adults over 67 years old can move from 5AM to 11AM. Children up to age 18 can leave their houses from 12PM to 2PM. UPDATE: North Macedonia will be relaxing curfew hours during the May 1st holidays.",2020-04-29,2020-05-01,2020-05-03,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia","One or more regional groupings","Europe",NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",NA,NA,NA,NA,"https://translate.googleusercontent.com/translate_c?depth=1&hl=en&pto=aue&rurl=translate.google.com&sl=mk&sp=nmt4&tl=en&u=https://vesti.mk/read/article/https%253A%252F%252Fa1on.mk%252Fmacedonia%252Fza-prvomajskite-praznici-posebni-merki-zashtitnite-maski-ostanuvaat-zadolzhitelni%252F&usg=ALkJrhgm0GaAEm8moBQZFJ3YCxDpBZQORA",2020-04-29,2020-04-29 07:51:14
"12","R_21dlqQ12XSuImbsEd",2852149,"new_entry","correction",NA,NA,"North Macedonian authorities have issued a daily nationwide curfew which is now in place between the hours of 19:00 and 05:00 on May 15.",2020-05-15,2020-05-15,2020-05-23,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.garda.com/crisis24/news-alerts/342751/north-macedonia-new-state-of-emergency-and-additional-curfew-hours-announced-amid-covid-19-pandemic-may-15-update-8",2020-09-11,2020-09-11 21:09:09
"13","R_udFqHyuPdGduqDTEd",8383308,"new_entry","correction",NA,NA,"During the public holiday weekend from 23-25 May, in North Macedonia, curfew will face modifications: on 24 May, curfew hours will begin at 11.00 and will end on 26 May at 05.00.",2020-05-23,2020-05-23,2020-05-25,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-09-09,2020-09-09 23:51:04
"14","R_ONyD88I3pIqS5hfEd",221647,"new_entry","correction",NA,NA,"From March 26, North Macedonia will resume to regular curfews: A curfew is in place from 19.00 to 05.00. On Saturdays and Sundays, those older than 67 can only move between 05.00 and 12.00 and those younger than 18 from 13.00 to 19.00.",2020-05-23,2020-05-25,2020-06-04,"Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,NA,"Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://pandemic.internationalsos.com/login?returnUrl=/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-09-11,2020-09-11 21:07:29
