"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3Oi8AjesiJgypJlDe",9170222,"new_entry","original",NA,NA,"
Rwanda closes schools an initial two weeks as from March 16,2020.",2020-03-14,2020-03-16,NA,"Rwanda","RWA","RW","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.5340733058206,51.6620926343804,50.7057534324305,111,"http://anglican.ink/2020/03/17/15036/",2020-03-28,2020-03-28 17:56:10
"2","R_3Oi8AjesiJgypJlEc",9170222,"new_entry","original",NA,NA,"
Rwanda closes schools an initial two weeks as from March 16,2020.",2020-03-14,2020-03-16,NA,"Rwanda","RWA","RW","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.5340733058206,51.6620926343804,50.7057534324305,111,"http://anglican.ink/2020/03/17/15036/",2020-03-28,2020-03-28 17:56:10
"3","R_DhFMBPHsdYISBRTDe",3813940,"new_entry","original",NA,NA,"Schools in Rwanda to remain closed till September 2020.",2020-06-02,2020-06-02,2020-09-01,"Rwanda","RWA","RW","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.newtimes.co.rw/news/govt-okays-inter-provincial-travel-taxi-moto-operations",2020-06-03,2020-06-03 06:11:59
"4","R_DhFMBPHsdYISBRTEc",3813940,"new_entry","original",NA,NA,"Schools in Rwanda to remain closed till September 2020.",2020-06-02,2020-06-02,2020-09-01,"Rwanda","RWA","RW","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.newtimes.co.rw/news/govt-okays-inter-provincial-travel-taxi-moto-operations",2020-06-03,2020-06-03 06:11:59
"5","R_2rNkrJnVl43NyyEEd",1769963,"new_entry","original",NA,NA,"Rwanda imposes a curfew of between 8pm to 5am",2020-04-30,2020-05-04,NA,"Rwanda","RWA","RW","National",1,NA,NA,"Curfew",NA,NA,NA,"Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",NA,NA,NA,NA,"https://www.newtimes.co.rw/covid-19/rwanda-eases-covid-19-lockdown-here-are-10-guidelines-follow",2020-05-01,2020-05-01 13:49:51
"6","R_2YED9YmAfu3MghkEd",7630450,"new_entry","original",NA,NA,"Movement prohibited from 9pm to 5pm as from 03-06-2020 in Rwanda",2020-06-02,2020-06-02,2020-06-18,"Rwanda","RWA","RW","National",1,NA,NA,"Curfew",NA,NA,NA,"Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.newtimes.co.rw/news/govt-okays-inter-provincial-travel-taxi-moto-operations",2020-06-03,2020-06-03 05:35:29
"7","R_1K2pLaUJamzQ7dcEd",8933559,"new_entry","original",NA,NA,"The Night curfews in Rwanda to continue as per Cabinet Directive of 15/07/2020",2020-07-15,2020-07-15,NA,"Rwanda","RWA","RW","National",1,NA,NA,"Curfew",NA,NA,NA,"Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government,Police",NA,NA,NA,NA,"https://www.newtimes.co.rw/news/govt-okays-reopening-places-worship-restrictions",2020-07-18,2020-07-18 01:20:43
"8","R_1LMut6xty2CcwZcEd",1494173,"new_entry","original",NA,NA,"Night curfew in Rwanda to start as from 7pm, 2hrs earlier as previously going as from 27 August 2020",2020-08-27,2020-08-27,NA,"Rwanda","RWA","RW","National",1,NA,NA,"Curfew",NA,NA,NA,"Rwanda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government,Provincial/State Government,Police",NA,NA,NA,NA,"https://www.ktpress.rw/2020/08/public-transport-between-kigali-and-other-districts-prohibited-curfew-from-7pm/",2020-09-08,2020-09-08 03:48:52
"9","R_01edRrOXgh0MrShEw",945744,"new_entry","original",NA,NA,"Rwanda imposes shutdown as infections jump across Africa.",2020-03-22,2020-03-22,NA,"Rwanda","RWA","RW","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","Flights,Land Border,Trains,Buses","Mandatory with Legal Penalties (Jail Time)","National Government",53.1296414318448,52.2385582304022,51.4168732444489,108,"https://www.france24.com/en/20200322-rwanda-imposes-shutdown-as-infections-jump-across-africa",2020-03-30,2020-03-30 12:09:30
"10","R_3h6DyiIAUlll0PQEw",6651079,"new_entry","original",NA,NA,"Rwandan borders to remain closed till further notice",2020-06-02,2020-06-02,NA,"Rwanda","RWA","RW","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights,Land Border,Trains,Buses","Mandatory (Unspecified/Implied)","National Government,Military",NA,NA,NA,NA,"https://www.newtimes.co.rw/news/govt-okays-inter-provincial-travel-taxi-moto-operations",2020-06-03,2020-06-03 06:21:39
"11","R_viYIHTDmcxOsjctEw",4426520,"new_entry","original",NA,NA,"International tourists to enter Rwanda with charter flights as it reopened tourism activities.",2020-06-18,2020-06-18,NA,"Rwanda","RWA","RW","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Rwanda","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government,Police",NA,NA,NA,NA,"http://www.xinhuanet.com/english/2020-06/20/c_139152386.htm",2020-07-18,2020-07-18 01:32:04
