"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3hfgpt5g3flWFgWDe",1621547,"new_entry","original",NA,NA,"Turkmenistan extends school holidays in response to the coronavirus on March 30.",2020-03-30,2020-03-30,2020-04-06,"Turkmenistan","TKM","TM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Turkmenistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3193201531889,51.2380818712448,50.4213615868866,42,"https://turkmenportal.com/en/blog/26387/turkmenistan-extends-school-holidays-until-april-6",2020-04-03,2020-04-03 12:46:51
"2","R_3hfgpt5g3flWFgWEc",1621547,"new_entry","original",NA,NA,"Turkmenistan extends school holidays in response to the coronavirus on March 30.",2020-03-30,2020-03-30,2020-04-06,"Turkmenistan","TKM","TM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Turkmenistan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3193201531889,51.2380818712448,50.4213615868866,42,"https://turkmenportal.com/en/blog/26387/turkmenistan-extends-school-holidays-until-april-6",2020-04-03,2020-04-03 12:46:51
"3","R_30oWatZyWCVjVkTEw",678086,"new_entry","original",NA,NA,"Turkmenistan has ""recommended the country’s citizens to refrain from traveling to China due to the coronavirus"" on January 30.",2020-01-30,2020-01-30,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"China","One or more countries, but not all countries",NA,NA,NA,NA,"Citizen Travelers","Outbound","Flights","Voluntary/Recommended but No Penalties","National Government",49.2884271555945,47.6472714843879,45.400713924875,111,"https://en.trend.az/casia/turkmenistan/3184545.html",2020-04-03,2020-04-03 12:16:34
"4","R_2aWW1iu8F4b4kCxEw",4163441,"new_entry","original",NA,NA,"""Turkmenistan suspends flights from February 6 to Bangkok and from February 7 to Beijing because of the coronavirus outbreak in China""",2020-01-31,2020-01-31,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"China,Thailand","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",49.33634566709,47.7553406405924,45.5814010956782,118,"https://turkmenportal.com/en/blog/24802/turkmenistan-suspends-flights-to-bangkok-and-beijing-due-to-coronavirus-outbreak-in-china",2020-04-03,2020-04-03 12:56:27
"5","R_3kpmbPO3SuHv3G7Ew",5126736,"new_entry","original",NA,NA,"The border with Iran was closed by Turkmenistan on Feb. 24.",2020-02-24,2020-02-24,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Iran","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Land Border","Mandatory (Unspecified/Implied)","National Government",50.433206430639,48.9043486909562,46.7427427012179,102,"https://eurasianet.org/turkmenistan-going-viral",2020-04-18,2020-04-18 09:55:02
"6","R_3Kr2Lq83Q1Q0Dm2Ew",1056531,"new_entry","original",NA,NA,"""From March 19 to April 30, 2020, Turkmenistan temporarily suspended all international flights.""",2020-03-19,2020-03-19,2020-04-30,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",51.3528953168124,50.3604363688516,49.2792110026304,52,"https://turkmenportal.com/en/blog/26387/turkmenistan-extends-school-holidays-until-april-6",2020-04-03,2020-04-03 12:49:21
"7","R_1Ij9Ka8ONYmMg70Ew",5126736,"update","original",NA,"Relaxing","""Turkmenistan has relaunched imports of Iranian food products and other basic goods...on April 12."" UPDATE: The border with Iran was originally closed. It has reopened for the importation of food on April 12.",2020-04-12,2020-04-12,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Iran","One or more countries, but not all countries",NA,NA,NA,NA,"Other","Inbound","Land Border","Mandatory (Unspecified/Implied)","National Government",53.2104067294602,51.4992627626497,50.0387895418517,41,"https://advance.lexis.com/api/permalink/499072b4-358d-411d-a851-6866a719f2c6/?context=1516831",2020-04-18,2020-04-18 09:59:14
"8","R_a9o7tAfAOFL0KuBEd",935586,"new_entry","original",NA,NA,"Turkmenistan announced that ""Citizens arriving from abroad undergo medical check-up"" on February 26.",2020-02-26,2020-02-26,NA,"Turkmenistan","TKM","TM","National",0,NA,NA,"Health Monitoring",NA,NA,NA,"All countries","All countries",NA,NA,NA,NA,"Citizen Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",50.4534948679973,49.0319158375772,47.3586666572821,99,"https://en.trend.az/casia/turkmenistan/3197784.html",2020-04-03,2020-04-03 12:20:50
"9","R_yUb1zzwQo6v2pAREd",5604036,"update","original",NA,NA,"On March 23, people entering the Ashgabat, Turkmenistan are ""required to have their temperature taken."" UPDATE: The restricted access into Ashgabt was lifted on March 23. Now they have changed to health screening (i.e. revised the way of restricting)",2020-03-23,2020-03-23,NA,"Turkmenistan","TKM","TM","National",1,NA,NA,"Health Monitoring",NA,NA,NA,"Turkmenistan","A geographical or administrative unit within a country",NA,NA,"Ashgabat",NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government,Municipal Government",52.1148517039035,50.6919623798599,49.3674119041055,43,"https://eurasianet.org/turkmenistan-unjust-deserts",2020-04-03,2020-04-03 15:32:57
"10","R_2f6Z9iwZ4j8v2iiCn",250598,"new_entry","original",NA,NA,"On April 3 it was announced that Turkmenistan bought 2,000 packages containing 20 capsules each of the anti flu drug. This drug is being tested in China in regards to coronavirus treatment. It was developed in Russia.",2020-04-03,2020-04-03,NA,"Turkmenistan","TKM","TM","National",1,NA,NA,"Health Resources","Other Health Infrastructure",NA,NA,"Turkmenistan","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government",52.4555901079162,51.4109559561589,50.6732744334782,42,"https://advance.lexis.com/api/permalink/fe14178b-efd3-4530-8e45-51aca5af3716/?context=1516831",2020-04-18,2020-04-18 06:31:13
