"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2Ebr26zp3d0TdEFDe",789011,"new_entry","original",NA,NA,"The Ministry of Education, Science and Technology of Antigua and Barbuda closed the schools early on the 16th of march. School staff and teachers had to prepare the closing on the 16th and the 17th of March.",2020-03-15,2020-03-16,2020-03-27,"Antigua and Barbuda","ATG","AG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Antigua and Barbuda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",52.8732944551803,51.7064532863824,50.5696690177085,115,"https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf",2020-04-03,2020-04-03 20:00:30
"2","R_2Ebr26zp3d0TdEFEc",789011,"new_entry","original",NA,NA,"The Ministry of Education, Science and Technology of Antigua and Barbuda closed the schools early on the 16th of march. School staff and teachers had to prepare the closing on the 16th and the 17th of March.",2020-03-15,2020-03-16,2020-03-27,"Antigua and Barbuda","ATG","AG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Antigua and Barbuda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",52.8732944551803,51.7064532863824,50.5696690177085,115,"https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf",2020-04-03,2020-04-03 20:00:30
"3","R_2c1TkiqVv58EsxYEd",9521409,"update","original",NA,"Both Strengthening and Relaxing","The government of Antigua and Barbuda imposes a nationwide 24 hour curfew on the 2nd of April until April the 9th. A curfew from 8PM to 6AM had been imposed earlier on the 27th of March and should have lasted until the 11th of April. UPDATE: The original night curfew from the 28th of March has been extended to a 24 hour curfew starting at the 2nd of April. The new curfew is set for one week, while the prior one should be in place for two weeks.",2020-04-01,2020-04-02,2020-06-12,"Antigua and Barbuda","ATG","AG","National",1,NA,NA,"Curfew",NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",55.2880126999842,54.1949762840487,53.2556683124787,169,"http://abma.ag/wp-content/uploads/2020/03/stateofemergencyguidelines-apr2020.pdf",2020-04-03,2020-04-03 17:29:22
"4","R_1d6WDBi9RV0UjoCEd",9521409,"update","original","Change of Policy","Both Strengthening and Relaxing","The government of Antigua and Barbuda is enforcing a nationwide curfew with few exceptions from 28th of March for two weeks. The curfew will be in place from 8PM to 6AM. UPDATE: The curfew has been extended until June 12. It lasts from 9pm until 5am. Beaches, religious activities and some sport activities are open and allowed again.",2020-05-14,2020-05-14,2020-06-12,"Antigua and Barbuda","ATG","AG","National",0,NA,NA,"Curfew",NA,NA,NA,"Antigua and Barbuda","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Flights,Land Border,Trains,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",NA,NA,NA,NA,"https://antigua-barbuda.com/government-institutes-14-day-curfew-in-antigua-and-barbuda",2020-06-12,2020-06-12 21:01:06
"5","R_2qknhO1vXHWiXPyEd",9574548,"new_entry","original",NA,NA,"On March the 27th, the government of Antigua and Barbuda has declared an state of emergency.",2020-03-27,2020-03-28,2020-06-12,"Antigua and Barbuda","ATG","AG","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",54.778312864421,53.8168274006432,52.8371462683308,161,"https://antigua-barbuda.com/government-institutes-14-day-curfew-in-antigua-and-barbuda",2020-04-03,2020-04-03 16:13:02
"6","R_2fcanpAkfX7e1gJEd",9574548,"update","original",NA,NA,"On 31 March the government of Antigua and Barbuda announced that the state of emergency, which began on 25 March, would last until 23 May. UPDATE: On 31 March the government of Antigua and Barbuda announced that the state of emergency, which began on 25 March, would be extended until 23 May.",2020-03-31,2020-03-31,2020-06-12,"Antigua and Barbuda","ATG","AG","National",0,NA,NA,"Declaration of Emergency",NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",55.493434721279,54.0963479774008,52.4828956826007,168,"https://www.gov.uk/foreign-travel-advice/antigua-and-barbuda/coronavirus",2020-04-11,2020-04-11 11:27:54
"7","R_2uEvCmKd5O5KXiIEd",9574548,"update","original",NA,NA,"The government of Antigua and Barbuda has declared state of emergency and imposes a nationwide 24 hour curfew until April the 9th. A curfew from 8PM to 6AM had been imposed earlier on the 27th of March and should have lasted until the 11th of April. UPDATE: The original declaration of emergency on the 27th of March included a curfew from 8 PM to 6 AM and should last untill the 11th of April. The new declaration includes a 24 hour curfew starting on the 2nd of April. The new curfew should last until the 9th of April.",2020-04-01,2020-04-02,2020-06-12,"Antigua and Barbuda","ATG","AG","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",55.2880126999842,54.1949762840487,53.2556683124787,169,"http://abma.ag/wp-content/uploads/2020/03/stateofemergencyguidelines-apr2020.pdf",2020-04-03,2020-04-03 16:41:26
"8","R_1hAb9xKnGgdXyXaEd",9574548,"update","original",NA,"Strengthening","The government of Antigua and Barbuda has declared state of emergency and imposes a nationwide 24 hour curfew until April the 9th. A curfew from 8PM to 6AM had been imposed earlier on the 27th of March and should have lasted until the 11th of April. There are few exceptions to the rule. UPDATE: The government of Antigua and Barbuda extended the 24 hour quarantine to the 16th of April. The original 24 hour quarantine should last from the 2nd to the 9th of April.",2020-04-09,2020-04-09,2020-06-12,"Antigua and Barbuda","ATG","AG","National",0,NA,NA,"Declaration of Emergency",NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",57.2473051079347,54.2898445724354,51.2674589262932,165,"https://ab.gov.ag/pdf/covid_news/Essential_Services_Statement_April_9_2020_24Hrs_Lockdown_Continues.pdf",2020-04-17,2020-04-17 10:37:51
"9","R_2PdnnXyqaDDa6doEd",9574548,"update","original",NA,"Both Strengthening and Relaxing","The government of Antigua and Barbuda has declared state of emergency and imposes a nationwide 24 hour curfew until April the 9th. The 24 hour curfew was first extended until April the 16th and then until April the 22nd. There are some exceptions to the curfew. UPDATE: The Government of Antigua and Barbuda is extending the current 24 hour curfew and the state of emergency until April 22. Previously it was stated, that the 24 hour curfew would last until April 16. Since April 16, citizens are allowed to go for sport activities outside alone or with one other person. Security distance has to be respected at all times.",2020-04-16,2020-04-16,2020-06-12,"Antigua and Barbuda","ATG","AG","National",0,NA,NA,"Declaration of Emergency",NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",57.9012648870211,54.2572149451368,50.4047074574395,159,"https://ab.gov.ag/pdf/covid_news/Essential_Services_Statement_April_16_2020_24_Hrs_Lockdown_Continues.pdf",2020-04-17,2020-04-17 13:31:33
"10","R_3PGLxxOU8A1AYWWEd",9574548,"update","original","Change of Policy","Both Strengthening and Relaxing","On March the 27th, the government of Antigua and Barbuda has declared an state of emergency. UPDATE: The state of emergency has been extended until 12 June. The 24 hour curfew has been reduced to the night from 9pm to 5am. More shops and restaurants are allowed to open now. Beaches are also open to the public again during certain hours.",2020-05-14,2020-05-14,2020-06-12,"Antigua and Barbuda","ATG","AG","National",0,NA,NA,"Declaration of Emergency",NA,NA,NA,"Antigua and Barbuda",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",NA,NA,NA,NA,"https://antigua-barbuda.com/government-institutes-14-day-curfew-in-antigua-and-barbuda",2020-05-19,2020-05-19 14:30:25
