"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3NKZJUUhoWKI3YcDe",5253093,"new_entry","original",NA,NA,"Azerbaijan suspends teaching and learning activity at education institutions from March 3 to March 9 in order to disinfect those environments. This was announced on March 2.",2020-03-02,2020-03-03,2020-09-30,"Azerbaijan","AZE","AZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.2453829722893,51.2832343768004,50.250573435149,172,"https://cabmin.gov.az/az/article/691/",2020-04-03,2020-04-03 05:34:30
"2","R_3NKZJUUhoWKI3YcEc",5253093,"new_entry","original",NA,NA,"Azerbaijan suspends teaching and learning activity at education institutions from March 3 to March 9 in order to disinfect those environments. This was announced on March 2.",2020-03-02,2020-03-03,2020-09-30,"Azerbaijan","AZE","AZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.2453829722893,51.2832343768004,50.250573435149,172,"https://cabmin.gov.az/az/article/691/",2020-04-03,2020-04-03 05:34:30
"3","R_27pPFamqWfXhm0UDe",5253093,"update","original",NA,NA,"In Azerbaijan it was announced on March 7 that education institutions will be closed for disinfection ""from March 10 to 20, 2020 (the first training day is March 27) )."" UPDATE: The closure of educational institutions was set to last until March 9, it has been extended till March 20. (March 27 will be the first day of instruction; break between 20th and 26th)",2020-03-07,2020-03-07,2020-09-30,"Azerbaijan","AZE","AZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.0701243188351,51.7720015629736,50.6090485816843,171,"https://cabmin.gov.az/az/article/702/",2020-04-03,2020-04-03 05:56:18
"4","R_27pPFamqWfXhm0UEc",5253093,"update","original",NA,NA,"In Azerbaijan it was announced on March 7 that education institutions will be closed for disinfection ""from March 10 to 20, 2020 (the first training day is March 27) )."" UPDATE: The closure of educational institutions was set to last until March 9, it has been extended till March 20. (March 27 will be the first day of instruction; break between 20th and 26th)",2020-03-07,2020-03-07,2020-09-30,"Azerbaijan","AZE","AZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.0701243188351,51.7720015629736,50.6090485816843,171,"https://cabmin.gov.az/az/article/702/",2020-04-03,2020-04-03 05:56:18
"5","R_3jfiatGEmNUnxJ0De",5253093,"update","original",NA,NA,"On March 20 Azerbaijan announced the closure of educational institutions from March 29 to April 18, 2020. UPDATE: Original suspension of educational institutions was till March 9, then to March 20, now to April 20.",2020-03-20,2020-03-29,2020-09-30,"Azerbaijan","AZE","AZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.7761333922042,53.1648810234071,51.4675554071476,129,"https://cabmin.gov.az/az/article/747/",2020-04-03,2020-04-03 07:31:32
"6","R_3jfiatGEmNUnxJ0Ec",5253093,"update","original",NA,NA,"On March 20 Azerbaijan announced the closure of educational institutions from March 29 to April 18, 2020. UPDATE: Original suspension of educational institutions was till March 9, then to March 20, now to April 20.",2020-03-20,2020-03-29,2020-09-30,"Azerbaijan","AZE","AZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.7761333922042,53.1648810234071,51.4675554071476,129,"https://cabmin.gov.az/az/article/747/",2020-04-03,2020-04-03 07:31:32
"7","R_2X5TNhWUxaecam5De",5253093,"update","original","Change of Policy","Strengthening","Suspension of teaching and learning activites has been extended till May 4. UPDATE: Suspension of education activites has been extended till May 4",2020-04-18,2020-04-18,2020-09-30,"Azerbaijan","AZE","AZ","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.3772099671815,53.2541415617272,51.6394972275004,107,"https://cabmin.gov.az/az/article/691/",2020-06-02,2020-06-02 21:31:34
"8","R_2X5TNhWUxaecam5Ec",5253093,"update","original","Change of Policy","Strengthening","Suspension of teaching and learning activites has been extended till May 4. UPDATE: Suspension of education activites has been extended till May 4",2020-04-18,2020-04-18,2020-09-30,"Azerbaijan","AZE","AZ","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.3772099671815,53.2541415617272,51.6394972275004,107,"https://cabmin.gov.az/az/article/691/",2020-06-02,2020-06-02 21:31:34
"9","R_2vjGcrPsMqZUMXUDe",5253093,"update","original","Change of Policy","Strengthening","The already extended time for the suspension of teaching activities has againward been extended until May 31. UPDATE: The already extended time for the suspension of teaching activities has been extended until May 31.",2020-05-01,2020-05-04,2020-09-30,"Azerbaijan","AZE","AZ","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://cabmin.gov.az/az/article/691/",2020-06-11,2020-06-11 18:18:04
"10","R_2vjGcrPsMqZUMXUEc",5253093,"update","original","Change of Policy","Strengthening","The already extended time for the suspension of teaching activities has againward been extended until May 31. UPDATE: The already extended time for the suspension of teaching activities has been extended until May 31.",2020-05-01,2020-05-04,2020-09-30,"Azerbaijan","AZE","AZ","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Azerbaijan",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://cabmin.gov.az/az/article/691/",2020-06-11,2020-06-11 18:18:04
