"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1f7QDiyjAlaGpbyDe",6571264,"new_entry","correction",NA,"Relaxing","Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/",2020-08-09,2020-08-09 13:06:12
"2","R_1f7QDiyjAlaGpbyEc",6571264,"new_entry","correction",NA,"Relaxing","Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/",2020-08-09,2020-08-09 13:06:12
"3","R_3Mbw8rMjmiUIrk2De",6571264,"update","original",NA,"Relaxing","Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: On April 20, universities and academic research institutions will be allowed to open in a restricted teaching regime, in groups of maximum of 5 students. This is to carry out examinations and other (research and study-related) activities which are essential to the successful and timely graduation of final-year students. University libraries will be allowed to open exclusively for the purposes of picking up or returning library books.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/",2020-04-20,2020-04-20 21:51:32
"4","R_3Mbw8rMjmiUIrk2Ec",6571264,"update","original",NA,"Relaxing","Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: On April 20, universities and academic research institutions will be allowed to open in a restricted teaching regime, in groups of maximum of 5 students. This is to carry out examinations and other (research and study-related) activities which are essential to the successful and timely graduation of final-year students. University libraries will be allowed to open exclusively for the purposes of picking up or returning library books.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/",2020-04-20,2020-04-20 21:51:32
"5","R_2BnQv1zL4YdWZaWDe",6571264,"update","original",NA,"Relaxing","Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: Starting Monday April 20, Czech Government announced that universities and academic research institutions will be allowed to open in a restricted regime, namely with at most 5 students present at any time. This is to accommodate final-year exams and activities vital for the graduation of final-year students. University libraries will also be allowed to open, but solely for the purposes of picking up and returning books.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/",2020-04-27,2020-04-27 21:38:07
"6","R_2BnQv1zL4YdWZaWEc",6571264,"update","original",NA,"Relaxing","Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: Starting Monday April 20, Czech Government announced that universities and academic research institutions will be allowed to open in a restricted regime, namely with at most 5 students present at any time. This is to accommodate final-year exams and activities vital for the graduation of final-year students. University libraries will also be allowed to open, but solely for the purposes of picking up and returning books.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/",2020-04-27,2020-04-27 21:38:07
"7","R_12KzLhe5v0ffvKODe",6571264,"update","correction",NA,"Relaxing","As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce",2020-08-11,2020-08-11 07:40:54
"8","R_12KzLhe5v0ffvKOEc",6571264,"update","correction",NA,"Relaxing","As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized.",2020-03-10,2020-03-11,NA,"Czech Republic","CZE","CZ","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.5225090464107,51.4947053567794,50.420954059317,154,"https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce",2020-08-11,2020-08-11 07:40:54
"9","R_3LjxGG2oXrz82YBDe",6571264,"update","original","Change of Policy","Relaxing","As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized. UPDATE: As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures.",2020-03-23,2020-04-27,NA,"Czech Republic","CZE","CZ","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.8222210639626,53.7468578490482,51.7134613085331,130,"https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce",2020-05-03,2020-05-03 15:36:25
"10","R_3LjxGG2oXrz82YBEc",6571264,"update","original","Change of Policy","Relaxing","As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized. UPDATE: As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures.",2020-03-23,2020-04-27,NA,"Czech Republic","CZE","CZ","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Czech Republic",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.8222210639626,53.7468578490482,51.7134613085331,130,"https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce",2020-05-03,2020-05-03 15:36:25
