"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1M4Ko6ApyDmJP5SDe",3249148,"new_entry","original",NA,NA,"ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,"Slovakia","SVK","SK","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Slovakia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5731010768327,52.741744594722,51.7803522058311,161,"https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene",2020-04-03,2020-04-03 09:16:22
"2","R_1M4Ko6ApyDmJP5SEc",3249148,"new_entry","original",NA,NA,"ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,"Slovakia","SVK","SK","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Slovakia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5731010768327,52.741744594722,51.7803522058311,161,"https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene",2020-04-03,2020-04-03 09:16:22
"3","R_2rZuzZ0G3LVX94bEd",7620606,"new_entry","original",NA,NA,"An emergency situation will apply for all of Slovakia as of Thursday, March 12.",2020-03-11,2020-03-12,NA,"Slovakia","SVK","SK","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Slovakia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6326562978983,51.5589393790948,50.6341423978634,145,"https://spectator.sme.sk/c/22356193/emergency-situation-applies-from-thursday-morning.html",2020-06-11,2020-06-11 19:03:37
"4","R_55rtJDXCZNN7xZLEw",9569474,"new_entry","original",NA,NA,"On February 27, Slovak Government advises citizens to reconsider travel to risk countries (list of which is issued and continually updated by Slovak Foreign Ministry). Emergency SMS will be sent to travelers upon return to inform them of COVID-19 prevention measures.",2020-02-27,2020-02-27,NA,"Slovakia","SVK","SK","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Slovakia","One or more countries, but not all countries",NA,NA,NA,NA,"Citizen Travelers","Inbound/Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",50.1356333777802,47.7062574087737,42.7366185671763,27,"https://www.health.gov.sk/Clanok?aktualne-opatrenia-v-suvislosti-s-koronavirusom",2020-04-01,2020-04-01 21:58:06
"5","R_3hFUmIgzcBINzQ3Ew",4586368,"new_entry","original",NA,NA,"On March 12, Slovak Government announces the closure of all three international airports. Temporary border checks will also be instated on land border crossings with all neighbor countries except for Poland - only citizens or long-term residents will be allowed into the country. All arriving travelers need to self-quarantine for at least 14 days after their arrival.",2020-03-12,2020-03-12,NA,"Slovakia","SVK","SK","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Slovakia","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",52.6326562978983,51.5589393790948,50.6341423978634,145,"https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene",2020-04-03,2020-04-03 09:32:45
"6","R_SCdEGFIidL8Dpe1Ed",4823236,"new_entry","original",NA,NA,"On February 24, Slovak Government announces measures regarding all planes landing in Slovakia from Italy. All passengers will be asked to fill out a form which would store their information in the case they would need to be contacted later on. Passengers are also encouraged to make use of the coronavirus callcenter hotlines should they have any questions or concerns.",2020-02-24,2020-02-25,NA,"Slovakia","SVK","SK","National",1,NA,NA,"Health Monitoring",NA,NA,NA,"Slovakia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",49.3937208990639,47.2018651360882,43.4942673736085,19,"https://www.health.gov.sk/Clanok?koronavirus-opatrenia-letisko",2020-04-01,2020-04-01 21:46:16
"7","R_2af1Fyp17DFSdaSEd",9760332,"new_entry","original",NA,NA,"Citizens who have recently traveled are advised to monitor their symptoms for at least 14 days and contact their doctor via telephone or email should they observe symptoms similar to those of COVID-19.",2020-02-27,2020-02-27,NA,"Slovakia","SVK","SK","National",1,NA,NA,"Health Monitoring",NA,NA,NA,"Slovakia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",50.1356333777802,47.7062574087737,42.7366185671763,27,"https://www.health.gov.sk/Clanok?aktualne-opatrenia-v-suvislosti-s-koronavirusom",2020-04-01,2020-04-01 22:05:36
"8","R_3hxAq5tInC5OZaQEd",9053534,"new_entry","original",NA,NA,"On 28 February 2020, the government of Slovakia is starting with temperature screening of passengers for all passengers arriving in Slovakia by air.",2020-02-28,2020-02-28,NA,"Slovakia","SVK","SK","National",0,NA,NA,"Health Monitoring",NA,NA,NA,"Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.4537643334864,48.0456577152562,42.7462691787775,38,"https://www.bts.aero/en/airport/press/latest-news/covid-19-current-preventive-measures-at-the-airport/",2020-06-08,2020-06-08 14:59:02
"9","R_1f32jcXiiAaCoUhEd",7082935,"new_entry","original",NA,NA,"On March 24, Slovak Government ruled that there are to be temperature checks at the entrance of hospitals, shops, factories and places where people gather.",2020-03-24,2020-03-24,NA,"Slovakia","SVK","SK","National",1,NA,NA,"Health Monitoring",NA,NA,NA,"Slovakia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",53.9455280070062,53.0534205689754,52.1583986797759,143,"https://www.health.gov.sk/Clanok?covid-19-24-3-2020-opatrenia",2020-04-03,2020-04-03 12:34:51
"10","R_1l6wVu9FiNFcUqRCn",4994097,"new_entry","correction",NA,NA,"On February 17th, Slovak Government dedicates funds to purchase equipment and improve diagnostic capabilities of specialized medical centers. Practices in Slovak hospitals in preparation for an eventual outbreak of the coronavirus are also planned as of February 10.",2020-02-17,2020-02-17,NA,"Slovakia","SVK","SK","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,NA,"Slovakia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.health.gov.sk/Clanok?koronavirus-testy-nepotvrdene",2020-08-06,2020-08-06 10:07:43
