"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3oHBGpGtY4XJccGDe",1043355,"new_entry","original",NA,NA,"The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks.",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 15:44:07
"2","R_3oHBGpGtY4XJccGEc",1043355,"new_entry","original",NA,NA,"The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks.",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 15:44:07
"3","R_1mO9Wdkne1xxxrsDe",1043355,"update","original","Change of Policy","Relaxing","The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks

 schools will reopen on Monday, June 15, according to official sources.. UPDATE: schools will reopen on Monday, June 15, according to official sources.",2020-06-13,2020-06-15,NA,"Togo","TGO","TG","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-08-27,2020-08-27 18:23:44
"4","R_1mO9Wdkne1xxxrsEc",1043355,"update","original","Change of Policy","Relaxing","The immediate closure of all public, private and denominational, primary, secondary and university schools for a period of three (03) weeks

 schools will reopen on Monday, June 15, according to official sources.. UPDATE: schools will reopen on Monday, June 15, according to official sources.",2020-06-13,2020-06-15,NA,"Togo","TGO","TG","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-08-27,2020-08-27 18:23:44
"5","R_2wMRkL4VhuffPS0Ed",1610252,"new_entry","original",NA,NA,"Implementation of a curfew as of April 2, 2020 between 8 p.m. and 6 a.m.",2020-04-01,2020-04-02,NA,"Togo","TGO","TG","National",1,NA,NA,"Curfew",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.0343176585018,53.2034046517963,52.2205092430681,122,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 16:26:57
"6","R_2UftDYqAi8QbzX1Ed",2968730,"new_entry","original",NA,NA,"The Government is instituting a curfew from 8 p.m. to 6 a.m. in the prefecture of Tchaoudjo where several cases of contamination by coronavirus have been detected in the town of Sokodé.",2020-04-07,2020-04-08,NA,"Togo","TGO","TG","National",1,NA,NA,"Curfew",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.3365977686807,53.1067108409832,49.5971586072345,111,"https://covid19.gouv.tg/communique-du-ministre-de-la-securite-et-de-la-protection-civile/",2020-04-13,2020-04-13 09:42:32
"7","R_2WHDhmEKulfsGNwEd",9226841,"new_entry","original",NA,NA,"Total lifting of curfew and lifting of of all closure of towns concerned",2020-06-08,2020-06-08,NA,"Togo","TGO","TG","National",1,NA,NA,"Curfew",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-09-04,2020-09-04 18:34:04
"8","R_RE6ZEtGABmnboHfEd",5676480,"new_entry","original",NA,NA,"President declares state of health emergency",2020-04-01,2020-04-01,NA,"Togo","TGO","TG","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.0489037832969,53.0619386095681,52.2669705038005,117,"https://www.togofirst.com/en/economic-governance/0204-5268-coronavirus-togo-declares-state-public-health-emergency-for-3-months",2020-04-03,2020-04-03 16:23:50
"9","R_1M4dJFubPGYGs5OEw",9417251,"new_entry","original",NA,NA,"Closure of all land borders of the country to passengers",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Land Border","Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 15:26:08
"10","R_2a97uRu2cPQCoolEw",9604082,"new_entry","correction",NA,NA,"Suspension for two weeks from Friday, March 20, 2020 of all air routes from high-risk countries, namely: Italy, France, Spain and Germany;",2020-03-16,2020-03-20,NA,"Togo","TGO","TG","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"France,Germany,Italy,Spain","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 14:39:53
"11","R_pzSDq10eatSRPBnEd",4607208,"new_entry","original",NA,NA,"All those suspected to have been infected with the coronavirus will be quarantined at the Lébénè Hotel (ex-Ibis/ Le Bénin). 

The government requisitioned the building for this purpose a little after announcing that all confirmed cases will be treated at CHR Lomé Commune.",2020-03-21,2020-03-21,NA,"Togo","TGO","TG","National",1,NA,NA,"Health Monitoring",NA,NA,NA,"Togo","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",53.7522942587626,52.7212981327816,51.7614188580773,137,"https://www.togofirst.com/en/health/2403-5194-coronavirus-lebene-hotel-requisitioned-as-the-center-of-quarantine-for-suspected-cases",2020-04-03,2020-04-03 19:15:25
"12","R_3e4wxXTpIvqogZsEd",7061357,"new_entry","original",NA,NA,"As part of the management of coronavirus disease (COVID-19) in Togo, the Government has set up a short number 113, exclusively dedicated to the health monitoring of people who entered the national territory since March 2, 2020.",2020-03-24,2020-03-24,NA,"Togo","TGO","TG","National",1,NA,NA,"Health Monitoring",NA,NA,NA,"Togo","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",55.2355204719411,52.9060625616468,50.6196089927295,135,"https://covid19.gouv.tg/communique-sur-la-mise-en-place-du-numero-court-113/",2020-04-03,2020-04-03 20:00:35
"13","R_10C4kKRKZp6As2oEd",6131291,"new_entry","original",NA,NA,"the wearing of protective mask compulsory for all.",2020-06-08,2020-06-08,NA,"Togo","TGO","TG","National",0,NA,NA,"Health Monitoring",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://covid19.gouv.tg/",2020-09-04,2020-09-04 18:55:34
"14","R_25R6cwIgJYWxUUFEd",5364356,"new_entry","original",NA,NA,"As Togo readies to resume flights, the government informed that all travelers must submit a certificate proving they tested negative to Covid-19 before embarking on flights.",2020-07-10,2020-07-10,NA,"Togo","TGO","TG","National",0,NA,NA,"Health Monitoring",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.togofirst.com/en/public-management/1007-5905-new-safety-measures-introduced-as-togo-prepares-to-resume-flights",2020-08-27,2020-08-27 19:29:51
"15","R_1hXy8d9tLQhKfmhEd",9938143,"new_entry","original",NA,NA,"The Government has launched https://voyage.gouv.tg a digital platform that allows travelers entering and leaving Togo, to carry out online, the immigration and health procedures necessary for travel safely.",2020-08-03,2020-08-03,NA,"Togo","TGO","TG","National",0,NA,NA,"Health Monitoring",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://numerique.gouv.tg/ouverture-des-frontieres-aeriennes-voyage-gouv-tg-lance-pour-digitaliser-la-gestion-des-voyageurs-a-laeroport-de-lome/",2020-08-30,2020-08-30 21:09:52
"16","R_1HknVnmQBHkawmAEd",9685676,"new_entry","original",NA,NA,"The Government is launching TOGO SAFE, a mobile “contact-tracing” application to strengthen the contact tracing of a person tested positive for COVID-19 and better contain the spread of the virus in Togo .",2020-09-04,2020-09-04,NA,"Togo","TGO","TG","National",0,NA,NA,"Health Monitoring",NA,NA,NA,"Togo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://numerique.gouv.tg/lancement-de-togo-safe-une-application-mobile-pour-lutter-contre-la-propagation-de-la-covid-19-au-togo/",2020-09-04,2020-09-04 19:01:54
"17","R_2ebxdj9PX4xnMO9Cn",7954222,"new_entry","original",NA,NA,"Government releases 2 billion FCFA fro urgent actions",2020-03-16,2020-03-16,NA,"Togo","TGO","TG","National",1,NA,NA,"Health Resources","Other Health Infrastructure",NA,NA,"Togo","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Voluntary/Recommended but No Penalties","National Government",52.0160883443526,50.6921781370604,49.3279136873812,74,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 15:18:13
"18","R_3R1IGi82tWuAvSFCn",3431855,"new_entry","original",NA,NA,"Head of State has decided that the CHR Lomé-Commune is dedicated solely to the treatment of infectious diseases",2020-03-21,2020-03-21,NA,"Togo","TGO","TG","National",1,NA,NA,"Health Resources","Other Health Infrastructure",NA,NA,"Togo","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",53.7522942587626,52.7212981327816,51.7614188580773,137,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 16:11:24
"19","R_3pt27UovKALT26sCn",9049615,"new_entry","original",NA,NA,"Establishment of mobile laboratories for screening in the interior of the country.",2020-04-01,2020-04-01,NA,"Togo","TGO","TG","National",1,NA,NA,"Health Resources","Other Health Infrastructure",NA,NA,"Togo","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",54.0489037832969,53.0619386095681,52.2669705038005,117,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 16:34:11
"20","R_24nFFCB9UBVtd77Cn",3279921,"new_entry","original",NA,NA,"the national health insurance institute (INAM) and the Fund Supporting Youth-led Economic Initiatives (FAIEJ) inked a partnership agreement to train tailors and seamstresses so they make quality face masks amid the Covid-19 pandemic.",2020-08-05,2020-08-05,NA,"Togo","TGO","TG","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,NA,"Togo",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.togofirst.com/en/public-management/0705-5485-togo-inam-and-faiej-team-up-to-fight-the-coronavirus",2020-08-27,2020-08-27 17:55:22
"21","R_2PhFMeh70dm4Fg7Ed",7742051,"new_entry","original",NA,NA,"The closure of certain cities, in particular Lomé, Tsévié, Kpalimé and Sokodé, from Saturday March 21, 2020 at 6 a.m., with strict controls at the entrances to Tsévié on the national road N ° 1; from the toll of Aného on the national road N ° 2 and of Amoussou-Copé on the national road N ° 5.",2020-03-20,2020-03-21,NA,"Togo","TGO","TG","National",1,NA,NA,"Internal Border Restrictions",NA,NA,NA,"Togo","A geographical or administrative unit within a country",NA,NA,"Lomé, Tsévié, Kpalimé and Sokodé",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7522942587626,52.7212981327816,51.7614188580773,137,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 15:36:08
"22","R_eEzKaLcAjUK0EhjCe",4265159,"new_entry","original",NA,NA,"Creation of a special anti-pandemic force composed of 5,000 men.",2020-04-01,2020-04-01,NA,"Togo","TGO","TG","National",1,NA,NA,"New Task Force, Bureau or Administrative Configuration","New Task Force or Bureau (i.e. establishment of a temporary body)",NA,NA,"Togo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.0489037832969,53.0619386095681,52.2669705038005,117,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 16:30:24
"23","R_2azYlpQ3FuD48dlEd",9669797,"new_entry","original",NA,NA,"All sellers in the markets will have to wear protective masks",2020-03-20,2020-03-20,NA,"Togo","TGO","TG","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Sellers in market places are mandated to wear protective masks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.29267578639,52.4065240438463,51.5275622876826,129,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 15:53:19
"24","R_3e4xmY9Ytllr1nCEd",3181506,"new_entry","original",NA,NA,"The government has suspended, indefinitely, all recruitment processes in the public administration due to concerns about the hike of coronavirus cases in the country",2020-03-23,2020-03-23,NA,"Togo","TGO","TG","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Restriction of recruitment processes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.9766157701999,52.7490089405505,50.972579849912,131,"https://www.togofirst.com/en/public-services/2403-5192-togo-government-halts-recruitment-of-new-public-agents-due-to-coronavirus",2020-04-03,2020-04-03 19:25:09
"25","R_xsgCGMBIxjFRuWBEd",3088285,"new_entry","original",NA,NA,"Creation of a National Solidarity and Economic Recovery Fund of 400 billion CFA francs.",2020-04-01,2020-04-01,NA,"Togo","TGO","TG","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Creation of a National Solidarity and Economic Recovery Fund of 400 billion CFA francs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government",54.0489037832969,53.0619386095681,52.2669705038005,117,"https://covid19.gouv.tg/",2020-04-03,2020-04-03 19:53:22
"26","R_32W81iPstFdKGOZEd",5285143,"new_entry","original",NA,NA,"Togo to supply its citizens with a three-month free supply of water and electricity as they move into Coronavirus curfew",2020-04-01,2020-04-01,NA,"Togo","TGO","TG","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Togo is providing free electricity and water for three months after it  declared a state of medical emergency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government",54.0489037832969,53.0619386095681,52.2669705038005,117,"https://clickongh.net/2020/04/02/covid-19-togo-to-supply-its-citizens-with-a-three-month-free-supply-of-water-and-electricity-as-they-move-into-coronavirus-curfew/",2020-04-03,2020-04-03 19:41:49
"27","R_2dHpJXuLhiUMovEEd",8252767,"new_entry","original",NA,NA,"The Government is launching ""Novissi"", a cash transfer program to support the populations most affected by the measures taken as part of the national response to the coronavirus (COVID-19) in Togo.

",2020-04-08,2020-04-08,NA,"Togo","TGO","TG","National",0,NA,NA,"Other Policy Not Listed Above",NA,"The Government is launching ""Novissi"", a cash transfer program to support the populations most affected by the measures taken as part of the national response to the coronavirus (COVID-19) in Togo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.3365977686807,53.1067108409832,49.5971586072345,111,"https://novissi.gouv.tg/",2020-04-15,2020-04-15 12:27:31
