"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3nCudDknlhUIjpONA","2975738","new_entry","original",NA,NA,"March 6, Afghanistan 'Measures have been taken into account to dispel disinformation and superstitions around COVID-19, Mr Mayar spokesperson for the Ministry of Public Health said that a cross-sectoral coordination committee has been formed under the chairmanship of the Minister of Public Health and with the participation of the Ministries of Hajj and Endowments and Ministries of  Foreign Affairs and Interior. The Ministry of Hajj and Endowments will inform the public about coronavirus at friday prayers to dispel religious superstitions about coronavirus'",2020-03-06,2020-03-06,NA,"Afghanistan","AFG","AF","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",53.0294485261143,50.6049706270845,48.2801882403251,137,"https://www.etilaatroz.com/94246/fears-rumors-and-misconceptions-make-it-difficult-to-combat-spread-of-corona-virus-in-afghanistan/",2020-08-21,2020-08-21 18:32:29
"2","R_3OoySQxTamo89oXNA","7024226","new_entry","original",NA,NA,"March 16, In Afghanistan the Government Media Information Center has called on telecommunication companies to put warning signs on false messages to prevent misinformation",2020-03-16,2020-03-16,NA,"Afghanistan","AFG","AF","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,New (COVID-19 specific) Task Force,Other (Please specify in the text box)",53.8645438525348,52.3646091342149,50.9844287716592,141,"https://www.gmic.gov.af/dari/press-releases2/4067-2020-03-16-12-38-31]",2020-09-13,2020-09-13 18:56:27
"3","R_3kLn6IU4rQGHtCbNA","889484","new_entry","original",NA,NA,"Afghanistan, May 28 'a government livelihood support program, Targeting the Ultra Poor (TUP) for impoverished communities has been scaled up to fight misinformation and help curb the spread of COVID-19.'",2020-05-28,2020-05-28,NA,"Afghanistan","AFG","AF","National",1,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Afghanistan","One or more geographical or administrative units within one or more countries",NA,"Balkh; Kabul; Nangarhar; Kunar; Parwan; Kandahar; Laghman; Takhar",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.worldbank.org/en/news/feature/2020/05/28/in-afghanistan-health-workers-fight-misinformation-to-curb-covid-19",2020-09-12,2020-09-12 19:08:11
"4","R_1rAmwrNMSZPgFhrNA","129322","new_entry","original",NA,NA,"Afghanistan, June 28 'Public awareness campaigns launched by Afghan government's Citizen’s Charter program. The campaigns have helped dispel misinformation while promoting health recommendations and medical guidelines set by the Ministry of Public Health.'",2020-06-28,2020-06-28,NA,"Afghanistan","AFG","AF","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.worldbank.org/en/news/feature/2020/06/28/awareness-campaigns-help-prevent-against-covid-19-in-afghanistan",2020-09-05,2020-09-05 18:55:10
"5","R_21oIyCpRWpNISIDDf","6721435","new_entry","correction",NA,NA,"'All schools in Herat – including temporarily learning spaces (TLS) and community-based education (CBE) – are
suspended until further notice to help contain the spread of COVID-19 (although public schools and universities are
currently closed for winter break and are expected to resume on 22 March).'",2020-03-09,2020-03-09,NA,"Afghanistan","AFG","AF","Municipal",0,"Herat",NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Afghanistan",NA,NA,"Herat",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",53.6649815542727,50.9163336090784,48.8321107485207,137,"https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf",2020-08-10,2020-08-10 07:41:49
"6","R_21oIyCpRWpNISIDDh","6721435","new_entry","correction",NA,NA,"'All schools in Herat – including temporarily learning spaces (TLS) and community-based education (CBE) – are
suspended until further notice to help contain the spread of COVID-19 (although public schools and universities are
currently closed for winter break and are expected to resume on 22 March).'",2020-03-09,2020-03-09,NA,"Afghanistan","AFG","AF","Municipal",0,"Herat",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Afghanistan",NA,NA,"Herat",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",53.6649815542727,50.9163336090784,48.8321107485207,137,"https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf",2020-08-10,2020-08-10 07:41:49
"7","R_21oIyCpRWpNISIDEd","6721435","new_entry","correction",NA,NA,"'All schools in Herat – including temporarily learning spaces (TLS) and community-based education (CBE) – are
suspended until further notice to help contain the spread of COVID-19 (although public schools and universities are
currently closed for winter break and are expected to resume on 22 March).'",2020-03-09,2020-03-09,NA,"Afghanistan","AFG","AF","Municipal",0,"Herat",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Afghanistan",NA,NA,"Herat",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",53.6649815542727,50.9163336090784,48.8321107485207,137,"https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf",2020-08-10,2020-08-10 07:41:49
"8","R_vCayDsDGFAA6EBbDh","6018486","new_entry","original",NA,NA,"In parts of northern Samangan province, schools were closed down after two cases of coronavirus were registered. Schools in Aibak, Feroz Nachir and Doab districts had been shut. Exams were also postponed.",2020-03-11,2020-03-11,NA,"Afghanistan","AFG","AF","Provincial",1,"Samangan",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Afghanistan",NA,NA,"Samangan",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",53.8034352121525,51.3454829612493,49.5147598020509,146,"https://www.pajhwok.com/en/2020/03/11/samangan-schools-shut-prevent-virus-spread",2020-04-25,2020-04-25 04:54:20
"9","R_vCayDsDGFAA6EBbEd","6018486","new_entry","original",NA,NA,"In parts of northern Samangan province, schools were closed down after two cases of coronavirus were registered. Schools in Aibak, Feroz Nachir and Doab districts had been shut. Exams were also postponed.",2020-03-11,2020-03-11,NA,"Afghanistan","AFG","AF","Provincial",1,"Samangan",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Afghanistan",NA,NA,"Samangan",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",53.8034352121525,51.3454829612493,49.5147598020509,146,"https://www.pajhwok.com/en/2020/03/11/samangan-schools-shut-prevent-virus-spread",2020-04-25,2020-04-25 04:54:20
"10","R_vCayDsDGFAA6EBbBo","6018486","new_entry","original",NA,NA,"In parts of northern Samangan province, schools were closed down after two cases of coronavirus were registered. Schools in Aibak, Feroz Nachir and Doab districts had been shut. Exams were also postponed.",2020-03-11,2020-03-11,NA,"Afghanistan","AFG","AF","Provincial",1,"Samangan",NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Afghanistan",NA,NA,"Samangan",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",53.8034352121525,51.3454829612493,49.5147598020509,146,"https://www.pajhwok.com/en/2020/03/11/samangan-schools-shut-prevent-virus-spread",2020-04-25,2020-04-25 04:54:20
