record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2yrBeHMFK5JYoazEq,8508632,new_entry,original,,,"From March 16th 2020, higher secondary schools (""Oberstufe"") close and switch to distance learning. In case a household is unable to organise childcare at home, the child has the opportunity to continue attending school. The original policy was set to end April 3rd, 2020.",2020-03-11,2020-03-16,2020-06-03,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Austria,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government",53.9011210281515,53.1450101358569,52.2858226840931,173,https://www.kleinezeitung.at/politik/5783037/Coronavirus_Stufenweise-ab-Montag_Oesterreich-schliesst-Schulen ; https://www.derstandard.at/story/2000115634233/soziale-kontakte-wegen-coronavirus-reduzieren-unterricht-an-oberstufen-wird-ausgesetzt,2021-01-18,2021-01-18T12:42:09Z,1018,3,6,,,,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_1nNkqa7ZeOyoSVTBu,4411451,new_entry,original,,,"From March 16th, all colleges and universities are closed and switch to distance learning until April 3rd.",2020-03-10,2020-03-16,2020-04-03,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Austria,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government",53.9011210281515,53.1450101358569,52.2858226840931,173,https://wien.orf.at/stories/3038299/ ; https://orf.at/stories/3157262/,2021-01-18,2021-01-18T13:23:19Z,1018,3,6,,,,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_4HMt4YZ4ypvJCc9Do,7639867,new_entry,original,,,"In Austria, from March 18, 2020, kindergardens remain open, but as many children as possible should be cared for at home. Kindergarden only open to those students whose parents have to work outside the home and cannot look after their children at home.",2020-03-13,2020-03-18,2020-04-15,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Austria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Other (Please specify in the text box),54.2463492795892,53.4475131526554,52.6720990131745,169,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Rechtliches.html,2020-04-08,2020-04-08T06:13:22Z,1646,4,9,,,,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_sealC4kLWbJNsgVDo,7639867,update,original,End of Policy,,"In Austria, from March 18, 2020, kindergardens remain open, but as many children as possible should be cared for at home. Kindergarden only open to those students whose parents have to work outside the home and cannot look after their children at home. UPDATE: The suspension of mandatory kindergarden attencence has ended on May 15 and children have to attend kindergardens again for 20 h a week.",2020-03-13,2020-03-18,2020-04-15,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Austria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Other (Please specify in the text box),54.2463492795892,53.4475131526554,52.6720990131745,169,NA,2020-05-27,2020-05-27T09:55:55Z,1646,4,9,,,,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_12xxJ1ejTX1hOXgBu,7850017,new_entry,original,,,"For the colleges and universities,  the currently established operation (From between 03-09-2020 and 03-16-2020  all universities and colleges 
have switched their teaching operations to virtual teaching/distance
 learning/home learning. Large library rooms are closed, sports events 
at the University Sports Institutes have been suspended. However, 
research activities will continue.) will continue until the end of April. Announced March 31 by the education/research minister",2020-03-31,2020-03-31,2020-06-30,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Austria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.3630870280904,53.7726246447614,52.1858929186558,159,https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html,2020-04-08,2020-04-08T07:28:33Z,10180,128,1095,,,,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_3HIkIlz1CoEqmGIDq,1320372,update,original,,,"UPDATE: For the schools (primary schools, new middle school (NMS), AHS ) , the currently established operation (orginally planned until April 3) will continue until the end of April. Announced March 31 UPDATE: UPDATE: For the schools (primary schools, new middle school (NMS), AHS ) , the currently established operation (orginally planned until April 3) will continue until the end of April. Announced March 31",2020-03-31,2020-03-31,2020-04-30,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Austria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Other (Please specify in the text box),55.3630870280904,53.7726246447614,52.1858929186558,159,https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html,2020-04-08,2020-04-08T07:18:13Z,10180,128,1095,,,,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_DUirZcnoUCcGhixEq,6139501,update,original,,,"UPDATE: For the schools (the secondary schools), the currently established operation (originally planned until April 3) will continue until the end of April. Announced March 31 UPDATE: UPDATE: For the schools (the secondary schools), the currently established operation (originally planned until April 3) will continue until the end of April. Announced March 31",2020-03-31,2020-03-31,2020-05-18,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Austria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.3630870280904,53.7726246447614,52.1858929186558,159,https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html,2020-04-08,2020-04-08T07:22:14Z,10180,128,1095,,,,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_1K78uNCOgLW9aOgEq,8508632,update,original,Change of Policy,Strengthening,"From March 16th 2020, higher secondary schools (""Oberstufe"") close and switch to distance learning. In case a household is unable to organise childcare at home, the child has the opportunity to continue attending school. The original policy was set to end April 3rd, 2020. UPDATE: The policy was extended until June 3rd 2020.",2020-04-03,2020-04-03,2020-06-03,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Austria,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government",54.9528710019962,53.7495018648362,52.7702567943211,150,NA,2021-01-18,2021-01-18T12:53:34Z,11524,168,2022,6153,98343,10.919,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_d0TdJrXWSYVWvhnDq,6139501,update,original,Change of Policy,Strengthening,"From March 18, 2020, Austria announced the closure of all primary and lower secondary schools. UPDATE: The original policy was set to end on April 3rd 2020 and was extended until May 18th 2020.",2020-04-03,2020-04-03,2020-05-18,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Austria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.9528710019962,53.7495018648362,52.7702567943211,150,NA,2021-01-18,2021-01-18T13:02:55Z,11524,168,2022,6153,98343,10.919,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
R_cMiZAKtiWWHQeJ3Dq,1320372,update,original,,Relaxing,"UPDATE: Austria's government's plan to reopening schools:
From May 18: Elementary schools (Volksschulen), lower grades in high schools (Unterstufen in Gymnasien), intermediate schools (Neue Mittelschule, NMS), and special needs schools reopen UPDATE: Original: For the schools (primary schools, new middle school (NMS), AHS ) , the currently established operation (orginally planned until April 3) will continue until the end of April. Announced March 31.

UPDATE: Government's plan to reopening schools:
From May 18: Elementary schools (Volksschulen), lower grades in high schools (Unterstufen in Gymnasien), intermediate schools (Neue Mittelschule, NMS), and special needs schools reopen",2020-04-24,2020-04-18,2020-04-30,Austria,AUT,AT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Austria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Other (Please specify in the text box),56.552521358802,53.7718489849921,50.6311267483237,134,https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html ; https://metropole.at/coronavirus-in-austria/,2020-04-25,2020-04-25T08:56:56Z,14671,443,10214,6660,175932,19.534,,,,,,11,1347,2,2,1.956452727,-0.02857013,-0.20141026,0,75,8638366,4.11219e+11,47603.7968,0.963058399,15.971724,26.7423918,10.7706678,2,2,2.290770531,4.79329179,517988,0.81335996
