record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1rIWaPTgl4Sbl5UNA,1448962,new_entry,original,,,"As of March 17 2020, Azerbaijan’s parliament adopted laws by adding a criminal offense to the Criminal Code regarding the violation of epidemic related measures with the stated aim of fighting against coronavirus disinformation. Offenders face a criminal fine of 2,500 to 5,000 manats (US$1470–$2940) or, alternatively, restriction of liberty or imprisonment for a term of up to three years.",2020-03-17,2020-03-17,,Azerbaijan,AZE,AZ,National,1,,,,Anti-Disinformation Measures,,,,Azerbaijan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police,Other (Please specify in the text box)",54.0890409540521,52.708697913788,51.8003759395409,148,https://www.rferl.org/a/azerbaijan-s-coronavirus-disinformation-law-could-curb-press-freedom-osce-says/30509266.html,2020-11-11,2020-11-11T00:28:29Z,28,1,6,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_3EXaHWjrZdl8ElENA,9300490,new_entry,original,,,"On March 19th, 2020, the Prosecutor General's Office of the Republic of Azerbaijan warned Ülviyyə Alovlu, the daughter of Muradova Ülviyyə Niyaz, for disseminating untrue, provocative statements about the spreading of coronavirus infection (COVID-19) on her Facebook page.",2020-03-19,2020-03-19,2020-03-20,Azerbaijan,AZE,AZ,National,1,,,,Anti-Disinformation Measures,,,,Azerbaijan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),53.6901782651295,52.8891651332396,51.9207614688738,149,https://nk.gov.az/az/article/749/,2021-01-27,2021-01-27T16:15:11Z,44,1,6,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_3NKZJUUhoWKI3YcDl,5253093,new_entry,original,,,Azerbaijan suspends teaching and learning activity at education institutions from March 3 to March 9 in order to disinfect those environments. This was announced on March 2.,2020-03-02,2020-03-03,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.2453829722893,51.2832343768004,50.250573435149,172,https://cabmin.gov.az/az/article/691/,2020-04-03,2020-04-03T05:34:30Z,3,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_3NKZJUUhoWKI3YcDn,5253093,new_entry,original,,,Azerbaijan suspends teaching and learning activity at education institutions from March 3 to March 9 in order to disinfect those environments. This was announced on March 2.,2020-03-02,2020-03-03,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.2453829722893,51.2832343768004,50.250573435149,172,https://cabmin.gov.az/az/article/691/,2020-04-03,2020-04-03T05:34:30Z,3,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_3NKZJUUhoWKI3YcEn,5253093,new_entry,original,,,Azerbaijan suspends teaching and learning activity at education institutions from March 3 to March 9 in order to disinfect those environments. This was announced on March 2.,2020-03-02,2020-03-03,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.2453829722893,51.2832343768004,50.250573435149,172,https://cabmin.gov.az/az/article/691/,2020-04-03,2020-04-03T05:34:30Z,3,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_3NKZJUUhoWKI3YcBt,5253093,new_entry,original,,,Azerbaijan suspends teaching and learning activity at education institutions from March 3 to March 9 in order to disinfect those environments. This was announced on March 2.,2020-03-02,2020-03-03,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.2453829722893,51.2832343768004,50.250573435149,172,https://cabmin.gov.az/az/article/691/,2020-04-03,2020-04-03T05:34:30Z,3,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_27pPFamqWfXhm0UDl,5253093,update,original,,,"In Azerbaijan it was announced on March 7 that education institutions will be closed for disinfection ""from March 10 to 20, 2020 (the first training day is March 27) )."" UPDATE: The closure of educational institutions was set to last until March 9, it has been extended till March 20. (March 27 will be the first day of instruction; break between 20th and 26th)",2020-03-07,2020-03-07,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.0701243188351,51.7720015629736,50.6090485816843,171,https://cabmin.gov.az/az/article/702/,2020-04-03,2020-04-03T05:56:18Z,9,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_27pPFamqWfXhm0UDn,5253093,update,original,,,"In Azerbaijan it was announced on March 7 that education institutions will be closed for disinfection ""from March 10 to 20, 2020 (the first training day is March 27) )."" UPDATE: The closure of educational institutions was set to last until March 9, it has been extended till March 20. (March 27 will be the first day of instruction; break between 20th and 26th)",2020-03-07,2020-03-07,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.0701243188351,51.7720015629736,50.6090485816843,171,https://cabmin.gov.az/az/article/702/,2020-04-03,2020-04-03T05:56:18Z,9,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_27pPFamqWfXhm0UEn,5253093,update,original,,,"In Azerbaijan it was announced on March 7 that education institutions will be closed for disinfection ""from March 10 to 20, 2020 (the first training day is March 27) )."" UPDATE: The closure of educational institutions was set to last until March 9, it has been extended till March 20. (March 27 will be the first day of instruction; break between 20th and 26th)",2020-03-07,2020-03-07,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.0701243188351,51.7720015629736,50.6090485816843,171,https://cabmin.gov.az/az/article/702/,2020-04-03,2020-04-03T05:56:18Z,9,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
R_27pPFamqWfXhm0UBt,5253093,update,original,,,"In Azerbaijan it was announced on March 7 that education institutions will be closed for disinfection ""from March 10 to 20, 2020 (the first training day is March 27) )."" UPDATE: The closure of educational institutions was set to last until March 9, it has been extended till March 20. (March 27 will be the first day of instruction; break between 20th and 26th)",2020-03-07,2020-03-07,2020-11-02,Azerbaijan,AZE,AZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Azerbaijan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.0701243188351,51.7720015629736,50.6090485816843,171,https://cabmin.gov.az/az/article/702/,2020-04-03,2020-04-03T05:56:18Z,9,0,0,,,,,,,,,162,5640,1,1,0.107444331,,-0.20141026,10,30,9649341,59025316810,6117.03087,1.1,16.0824001,24.8012322,8.7188321,2,0,-0.01987089,,1279672,0.21325748
