record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2CkrpwAIp6Pzo85Dl,820849,new_entry,original,,,"In Bulgaria, as of March 11, all schools and educational establishments will be shut down if a case of Covid-19 is detected in the concerned educational establishment.",2020-03-11,2020-03-11,2020-04-12,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Bulgaria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,51.5282248373907,50.490316260976,49.5249602055934,104,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2020-04-01,2020-04-01T22:07:56Z,7,1,0,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_2CkrpwAIp6Pzo85Dn,820849,new_entry,original,,,"In Bulgaria, as of March 11, all schools and educational establishments will be shut down if a case of Covid-19 is detected in the concerned educational establishment.",2020-03-11,2020-03-11,2020-04-12,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Bulgaria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,51.5282248373907,50.490316260976,49.5249602055934,104,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2020-04-01,2020-04-01T22:07:56Z,7,1,0,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_2CkrpwAIp6Pzo85Em,820849,new_entry,original,,,"In Bulgaria, as of March 11, all schools and educational establishments will be shut down if a case of Covid-19 is detected in the concerned educational establishment.",2020-03-11,2020-03-11,2020-04-12,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Bulgaria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,51.5282248373907,50.490316260976,49.5249602055934,104,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2020-04-01,2020-04-01T22:07:56Z,7,1,0,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_1EiZgq4lvvB5kibDl,820849,update,original,Change of Policy,Strengthening,"As of March 12 all schools, universities, and kindergartens will remain closed until March 29 in Bulgaria UPDATE: At first, only schools with a confirmed Covid19-case were closed. As of March 12 all schools, universities and kindergartens will remain closed until March 29.",2020-03-12,2020-03-12,2020-04-12,Bulgaria,BGR,BG,National,0,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Bulgaria,,,,,,Other,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,52.0322021850902,50.9989917556299,50.0247962909325,120,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2020-04-30,2020-04-30T09:54:45Z,7,1,0,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_1EiZgq4lvvB5kibDn,820849,update,original,Change of Policy,Strengthening,"As of March 12 all schools, universities, and kindergartens will remain closed until March 29 in Bulgaria UPDATE: At first, only schools with a confirmed Covid19-case were closed. As of March 12 all schools, universities and kindergartens will remain closed until March 29.",2020-03-12,2020-03-12,2020-04-12,Bulgaria,BGR,BG,National,0,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Bulgaria,,,,,,Other,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,52.0322021850902,50.9989917556299,50.0247962909325,120,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2020-04-30,2020-04-30T09:54:45Z,7,1,0,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_1EiZgq4lvvB5kibEm,820849,update,original,Change of Policy,Strengthening,"As of March 12 all schools, universities, and kindergartens will remain closed until March 29 in Bulgaria UPDATE: At first, only schools with a confirmed Covid19-case were closed. As of March 12 all schools, universities and kindergartens will remain closed until March 29.",2020-03-12,2020-03-12,2020-04-12,Bulgaria,BGR,BG,National,0,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Bulgaria,,,,,,Other,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,52.0322021850902,50.9989917556299,50.0247962909325,120,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2020-04-30,2020-04-30T09:54:45Z,7,1,0,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_1H2dvXhgiEb9hHcDl,820849,update,original,Change of Policy,Strengthening,"Schools in Bulgaria will remain closed until April 12, following on the Health Minister’s order extending anti-epidemic measures against the spread of Covid-19, the Education Ministry said on March 26. UPDATE: At first, all educational institutions in Bulgaria were closed until March 29. This was extended until April 12, 2020, by the Bulgarian Educational Ministry",2020-03-26,2020-03-26,2020-04-12,Bulgaria,BGR,BG,National,0,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Bulgaria,,,,,,Other,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,53.883961720863,52.5032107124038,51.2211484190217,105,https://sofiaglobe.com/2020/03/26/covid-19-schools-remain-closed-until-april-12-bulgarias-education-ministry-says/,2020-04-30,2020-04-30T10:20:06Z,264,3,8,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_1H2dvXhgiEb9hHcDn,820849,update,original,Change of Policy,Strengthening,"Schools in Bulgaria will remain closed until April 12, following on the Health Minister’s order extending anti-epidemic measures against the spread of Covid-19, the Education Ministry said on March 26. UPDATE: At first, all educational institutions in Bulgaria were closed until March 29. This was extended until April 12, 2020, by the Bulgarian Educational Ministry",2020-03-26,2020-03-26,2020-04-12,Bulgaria,BGR,BG,National,0,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Bulgaria,,,,,,Other,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,53.883961720863,52.5032107124038,51.2211484190217,105,https://sofiaglobe.com/2020/03/26/covid-19-schools-remain-closed-until-april-12-bulgarias-education-ministry-says/,2020-04-30,2020-04-30T10:20:06Z,264,3,8,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_1H2dvXhgiEb9hHcEm,820849,update,original,Change of Policy,Strengthening,"Schools in Bulgaria will remain closed until April 12, following on the Health Minister’s order extending anti-epidemic measures against the spread of Covid-19, the Education Ministry said on March 26. UPDATE: At first, all educational institutions in Bulgaria were closed until March 29. This was extended until April 12, 2020, by the Bulgarian Educational Ministry",2020-03-26,2020-03-26,2020-04-12,Bulgaria,BGR,BG,National,0,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Bulgaria,,,,,,Other,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,53.883961720863,52.5032107124038,51.2211484190217,105,https://sofiaglobe.com/2020/03/26/covid-19-schools-remain-closed-until-april-12-bulgarias-education-ministry-says/,2020-04-30,2020-04-30T10:20:06Z,264,3,8,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_3E0EGCyRrYHjKAFNA,2135069,new_entry,original,,,"On March 12, 2020, Bulgaria's parliament also declared a state of emergency until April 13, 2020.",2020-03-12,2020-03-12,2020-05-13,Bulgaria,BGR,BG,National,1,,,,Declaration of Emergency,,,,Bulgaria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.0322021850902,50.9989917556299,50.0247962909325,120,https://www.usnews.com/news/world/articles/2020-03-13/bulgaria-declares-state-of-emergency-over-coronavirus ; https://www.bnt.bg/en/a/cabinet-proposes-adoption-of-state-of-emergency-due-to-coronavirus,2020-04-02,2020-04-02T08:17:24Z,7,1,0,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
R_1CHnYu1Z1vc44ndNA,2135069,update,original,,Strengthening,"On March 3, The Bulgarian Parliament has approved to extend the state of emergency in Bulgaria until May 13, 2020. UPDATE: The original state of emergency was set to last until April 13, it has been extended to May 13.",2020-04-03,2020-04-14,2020-05-13,Bulgaria,BGR,BG,National,0,,,,Declaration of Emergency,,,,Bulgaria,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",54.4185331641404,53.266041090054,51.9008111019961,112,https://bnr.bg/en/p ost/101252646/bul garian-parliamentextends- state-ofemergency- untilmay- 13-at-firstreading,2020-04-17,2020-04-17T09:04:51Z,713,35,81,,,,,,,,,109,3501,0,2,-0.82478433,0.717352688,-0.20141026,2,41,7177991,54639046567,7612.02494,3.617442633,15.7865301,24.7240146,8.9374845,2,1,1.410082221,5.635726881,1378735,0.76466219
