"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2Cjg5XhYZkvNMT5Cu","3291877","new_entry","correction",NA,NA,"Cambodia closes all schools in the town of Siem Reap as of March 7.",2020-03-07,2020-03-07,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0015555988348,50.6840173526276,49.3561933736629,137,"https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed",2020-04-03,2020-04-03 16:52:22
"2","R_2Cjg5XhYZkvNMT5Cw","3291877","new_entry","correction",NA,NA,"Cambodia closes all schools in the town of Siem Reap as of March 7.",2020-03-07,2020-03-07,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0015555988348,50.6840173526276,49.3561933736629,137,"https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed",2020-04-03,2020-04-03 16:52:22
"3","R_2Cjg5XhYZkvNMT5Dr","3291877","new_entry","correction",NA,NA,"Cambodia closes all schools in the town of Siem Reap as of March 7.",2020-03-07,2020-03-07,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0015555988348,50.6840173526276,49.3561933736629,137,"https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed",2020-04-03,2020-04-03 16:52:22
"4","R_1IyHmpABeFhrka0Cu","3291877","update","original",NA,NA,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14.",2020-03-14,2020-03-14,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6361387198028,51.4446279826339,49.988490115339,121,"https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak",2020-04-03,2020-04-03 17:08:11
"5","R_1IyHmpABeFhrka0Cw","3291877","update","original",NA,NA,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14.",2020-03-14,2020-03-14,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6361387198028,51.4446279826339,49.988490115339,121,"https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak",2020-04-03,2020-04-03 17:08:11
"6","R_1IyHmpABeFhrka0Dr","3291877","update","original",NA,NA,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14.",2020-03-14,2020-03-14,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6361387198028,51.4446279826339,49.988490115339,121,"https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak",2020-04-03,2020-04-03 17:08:11
"7","R_2rPCep2ILmOP1iCCu","3291877","update","original",NA,NA,"Cambodia closes all educational institutions across the country as of March 16.",2020-03-16,2020-03-16,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6365344094543,51.7546416882637,50.6971483394794,120,"https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html",2020-04-03,2020-04-03 17:23:47
"8","R_2rPCep2ILmOP1iCCw","3291877","update","original",NA,NA,"Cambodia closes all educational institutions across the country as of March 16.",2020-03-16,2020-03-16,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6365344094543,51.7546416882637,50.6971483394794,120,"https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html",2020-04-03,2020-04-03 17:23:47
"9","R_2rPCep2ILmOP1iCDr","3291877","update","original",NA,NA,"Cambodia closes all educational institutions across the country as of March 16.",2020-03-16,2020-03-16,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6365344094543,51.7546416882637,50.6971483394794,120,"https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html",2020-04-03,2020-04-03 17:23:47
"10","R_2rPCep2ILmOP1iCBh","3291877","update","original",NA,NA,"Cambodia closes all educational institutions across the country as of March 16.",2020-03-16,2020-03-16,NA,"Cambodia","KHM","KH","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Cambodia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6365344094543,51.7546416882637,50.6971483394794,120,"https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html",2020-04-03,2020-04-03 17:23:47
