record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2doTbeYopm51okCDl,2205274,new_entry,original,,,Colombia is enforcing the closure of all schools and universities starting on March 16,2020-03-16,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html,2020-04-07,2020-04-07T09:53:02Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_2doTbeYopm51okCDn,2205274,new_entry,original,,,Colombia is enforcing the closure of all schools and universities starting on March 16,2020-03-16,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html,2020-04-07,2020-04-07T09:53:02Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_2doTbeYopm51okCEm,2205274,new_entry,original,,,Colombia is enforcing the closure of all schools and universities starting on March 16,2020-03-16,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html,2020-04-07,2020-04-07T09:53:02Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_2doTbeYopm51okCBs,2205274,new_entry,original,,,Colombia is enforcing the closure of all schools and universities starting on March 16,2020-03-16,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html,2020-04-07,2020-04-07T09:53:02Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_1eDD5x7uo8aTbPZDl,2205274,update,original,,,"Colombia announced that Classes at colleges and universities will remain suspended until May 31 UPDATE: All clases will be canceld until May 31. Before, no date way announced",2020-04-06,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.elpais.com.co/colombia/clases-presenciales-en-colegios-y-universidades-seguiran-suspendidas-hasta-el-31-de-mayo.html,2020-04-07,2020-04-07T09:56:32Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_1eDD5x7uo8aTbPZDn,2205274,update,original,,,"Colombia announced that Classes at colleges and universities will remain suspended until May 31 UPDATE: All clases will be canceld until May 31. Before, no date way announced",2020-04-06,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.elpais.com.co/colombia/clases-presenciales-en-colegios-y-universidades-seguiran-suspendidas-hasta-el-31-de-mayo.html,2020-04-07,2020-04-07T09:56:32Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_1eDD5x7uo8aTbPZEm,2205274,update,original,,,"Colombia announced that Classes at colleges and universities will remain suspended until May 31 UPDATE: All clases will be canceld until May 31. Before, no date way announced",2020-04-06,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.elpais.com.co/colombia/clases-presenciales-en-colegios-y-universidades-seguiran-suspendidas-hasta-el-31-de-mayo.html,2020-04-07,2020-04-07T09:56:32Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_1eDD5x7uo8aTbPZBs,2205274,update,original,,,"Colombia announced that Classes at colleges and universities will remain suspended until May 31 UPDATE: All clases will be canceld until May 31. Before, no date way announced",2020-04-06,2020-03-16,2020-08-01,Colombia,COL,CO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.460031578145,51.0549280637971,49.8888610282971,85,https://www.elpais.com.co/colombia/clases-presenciales-en-colegios-y-universidades-seguiran-suspendidas-hasta-el-31-de-mayo.html,2020-04-07,2020-04-07T09:56:32Z,57,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_10Ul4E0z7iRoK7RNA,1736705,new_entry,original,,,"Colombia (cali) will start ""pico y cedular"" in cali starting April 6.This decision seeks to have the population shop in shifts in supermarkets, and commercial and banking establishments, with the repeated call to the people of Valle del Cauca to keep the coronavirus in isolation.",2020-04-03,2020-04-06,,Colombia,COL,CO,Municipal,1,Valle del Cauca,,Cali,Curfew,,,,Colombia,,,,Cali,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"Municipal Government,Police",53.4695371327809,51.8191979881494,50.2052272550281,52,https://www.eltiempo.com/colombia/cali/como-funcionara-el-pico-y-cedula-en-cali-y-hasta-cuando-va-479836,2020-04-03,2020-04-03T19:27:19Z,1579,46,88,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
R_2TvP0eQ4sdoZZ2ONA,4365571,new_entry,original,,,Colombia anounced the health emergency on March 11,2020-03-11,2020-03-11,2020-05-30,Colombia,COL,CO,National,1,,,,Declaration of Emergency,,,,Colombia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Ministry/Department of Health",51.1734656898978,50.2483539500728,49.1820136221027,92,https://coronaviruscolombia.gov.co/Covid19/docs/acciones/11Marzo/resolucion_385_del_2020_declara_emergencia_por_covid_19.pdf,2020-03-28,2020-03-28T14:23:56Z,9,0,0,,,,,,,,,129,4147,2,2,1.956452727,0.22612907,,10,37,48228704,3.59201e+11,7447.87725,3.083285967,17.6914649,26.6071492,8.91568433,0,0,-0.93363535,4.459064557,2448385,0.68018496
