"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3GeyHUlhw3cDdCvCw","3750471","new_entry","original",NA,NA,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,"Cuba","CUB","CU","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Cuba",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1580707283274,52.1995168435062,51.4077366873087,93,"https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X",2020-04-02,2020-04-02 13:15:48
"2","R_3GeyHUlhw3cDdCvDr","3750471","new_entry","original",NA,NA,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,"Cuba","CUB","CU","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Cuba",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1580707283274,52.1995168435062,51.4077366873087,93,"https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X",2020-04-02,2020-04-02 13:15:48
"3","R_3GeyHUlhw3cDdCvBg","3750471","new_entry","original",NA,NA,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,"Cuba","CUB","CU","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Cuba",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1580707283274,52.1995168435062,51.4077366873087,93,"https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X",2020-04-02,2020-04-02 13:15:48
"4","R_2UY4wCFouRnwhyBNA","8773808","new_entry","original",NA,NA,"""Cuban leader Miguel Díaz-Canel announced Friday night that the country is shutting down most air travel and will not be admitting tourists starting Tuesday."" after Mar. 20 
",2020-03-20,2020-03-20,NA,"Cuba","CUB","CU","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",52.0692016303655,51.098067891998,50.1120221764616,61,"https://www.miamiherald.com/news/nation-world/world/americas/cuba/article241387431.html",2020-04-02,2020-04-02 17:26:36
"5","R_1EiinbpJB3ISCJ7NA","3880029","new_entry","original",NA,NA,"Cuba suspends all flights, except humanitarian, from April 2",2020-04-02,2020-04-02,NA,"Cuba","CUB","CU","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",55.1393674205771,53.9488671063948,52.8521265570106,161,"https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html",2020-04-03,2020-04-03 11:26:38
"6","R_CeMUKqJLmmaFSx3NA","9449998","new_entry","original",NA,NA,"Cuba ""announced the suspension of all commercial and charter flights to the island starting Apr. 2, prohibiting also all foreign sea traffic in Cuban waters.""",2020-03-31,2020-04-02,NA,"Cuba","CUB","CU","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied)","National Government",55.1393674205771,53.9488671063948,52.8521265570106,161,"https://www.as-coa.org/articles/where-coronavirus-latin-america#dr",2020-04-03,2020-04-03 16:02:42
"7","R_2EcqvfwSQ467iwINA","1133165","new_entry","original",NA,NA,"In Cuba a ""patient undergoes a rapid test, which allows specialists to learn in less than 30 minutes if people have been or not infected.

In case of testing positive for Covid-19, the real-time PCR test is also implemented, which has a very small margin of error, Duran said.

If patient is positive, 15 days after being admitted with treatment, and if he shows a favorable clinical progress, the real-time PCR test is repeated."" after Apr. 3",2020-04-03,2020-04-03,NA,"Cuba","CUB","CU","National",1,NA,NA,"Health Monitoring",NA,NA,"","Cuba","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","Ministry/Department of Health",55.0791595410639,53.9756878380374,53.0213010688616,160,"https://www.plenglish.com/index.php?o=rn&id=54207&SEO=cuba-takes-all-measures-for-early-diagnosis-of-covid-19-patients",2020-04-12,2020-04-12 11:12:27
"8","R_2R8po4PFKCIJGE5Cr","6144046","new_entry","original",NA,NA,"Cuba starts the deployment of military hospital to strengthen public health system capacity. Measures are taken by the government but described in public media after Mar. 9",2020-03-09,2020-03-09,NA,"Cuba","CUB","CU","National",1,NA,NA,"Health Resources","Personal Protective Equipment",NA,"","Cuba","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health",50.8344616037501,49.5215722072242,47.9847309112164,73,"http://www.cubadebate.cu/noticias/2020/03/09/gobierno-cubano-informa-medidas-para-enfrentar-la-covid-19-video/#anexo-1333951",2020-04-02,2020-04-02 10:41:33
"9","R_2R8po4PFKCIJGE5Bh","6144046","new_entry","original",NA,NA,"Cuba starts the deployment of military hospital to strengthen public health system capacity. Measures are taken by the government but described in public media after Mar. 9",2020-03-09,2020-03-09,NA,"Cuba","CUB","CU","National",1,NA,NA,"Health Resources","Hospitals",NA,"","Cuba","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health",50.8344616037501,49.5215722072242,47.9847309112164,73,"http://www.cubadebate.cu/noticias/2020/03/09/gobierno-cubano-informa-medidas-para-enfrentar-la-covid-19-video/#anexo-1333951",2020-04-02,2020-04-02 10:41:33
"10","R_31gE0SHUymAbZOICh","7461579","new_entry","original",NA,NA,"Cuba is using the Interferon Alfa-2B to combat the effects of COVID-19 after Mar. 18",2020-03-18,2020-03-18,NA,"Cuba","CUB","CU","National",1,NA,NA,"Health Resources","Other Health Materials",NA,"","Cuba","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government",51.5715385957348,50.4741173862667,49.4475625802899,60,"https://blogs.lse.ac.uk/latamcaribbean/2020/03/18/cuba-and-coronavirus-how-cuban-biotech-came-to-combat-covid-19/",2020-04-02,2020-04-02 15:59:23
"11","R_2oFKVORSBJlbESBEf","9009722","new_entry","original",NA,NA,"""Cuba has reportedly sent 144 health workers to Jamaica, 136 doctors to Venezuela, and 50 doctors to Suriname. In all of these cases, the medical workers will be assisting in the fight against coronavirus.""  - Mar.22",2020-03-22,2020-03-22,NA,"Cuba","CUB","CU","National",0,NA,NA,"Health Resources","Unspecified Health Staff",NA,"","Italy,Jamaica,Suriname,Venezuela","One or more countries, but not all countries",NA,NA,NA,NA,"Health Staff","Inbound/Outbound","Not Applicable",NA,"National Government",52.472491107669,51.5534359472988,50.5641710132482,69,"https://www.thecanary.co/uk/analysis/2020/03/26/corbyn-praises-cubas-inspirational-coronavirus-efforts-part-of-its-longstanding-medical-solidarity-around-the-world/",2020-04-02,2020-04-02 13:25:42
"12","R_24u5EeXfojFGvFiEf","9009722","new_entry","correction",NA,NA,"""Cuba has reportedly sent 144 health workers to Jamaica, 136 doctors to Venezuela, and 50 doctors to Suriname. In all of these cases, the medical workers will be assisting in the fight against coronavirus.""  - Mar.22",2020-03-22,2020-03-22,NA,"Cuba","CUB","CU","National",0,NA,NA,"Health Resources","Unspecified Health Staff",NA,"","Italy,Jamaica,Suriname,Venezuela","One or more countries, but not all countries",NA,NA,NA,NA,"Health Staff","Inbound/Outbound","Not Applicable","Voluntary/Recommended but No Penalties","National Government",52.472491107669,51.5534359472988,50.5641710132482,69,"https://www.thecanary.co/uk/analysis/2020/03/26/corbyn-praises-cubas-inspirational-coronavirus-efforts-part-of-its-longstanding-medical-solidarity-around-the-world/",2020-08-11,2020-08-11 13:15:36
"13","R_oXcSKRRHuLl2vn3Bu","9128823","new_entry","original",NA,NA,"Cuba enforces inhabitants to wear masks anytime they leave their house after Mar. 26.",2020-03-26,2020-03-26,NA,"Cuba","CUB","CU","National",1,NA,NA,"Health Resources","Masks",NA,"","Cuba","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","Not Applicable","Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.548216805197,52.7926516104297,51.8791360706248,118,"https://temas.sld.cu/coronavirus/2020/03/26/toda-la-poblacion-debe-usar-el-nasobuco-fuera-de-casa/",2020-04-02,2020-04-02 12:51:22
