"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2uWHdFucdcup0bADe",7330782,"new_entry","correction",NA,NA,"On March 18, the Democratic Republic of the Congo Government announced that would close schools and universities until April 17.",2020-03-18,2020-03-18,2020-04-17,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Democratic Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.4476159621263,53.4726607633928,52.593840257012,170,"https://cd.usembassy.gov/covid-19-information/",2020-09-18,2020-09-18 20:42:49
"2","R_2uWHdFucdcup0bAEc",7330782,"new_entry","correction",NA,NA,"On March 18, the Democratic Republic of the Congo Government announced that would close schools and universities until April 17.",2020-03-18,2020-03-18,2020-04-17,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Democratic Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.4476159621263,53.4726607633928,52.593840257012,170,"https://cd.usembassy.gov/covid-19-information/",2020-09-18,2020-09-18 20:42:49
"3","R_2uPuMfJ0S7bguNhEd",9771130,"new_entry","original",NA,NA,"Democratic Republic of Congo institutes a 20-day home confinement and a curfew from 20:00 until 05:00 are implemented as of April 1, 2020.",2020-04-01,2020-04-01,2020-04-21,"Democratic Republic of the Congo","COD","CD","National",1,NA,NA,"Curfew",NA,NA,NA,"Democratic Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.2454638862214,54.0446289463679,53.0477035762474,165,"https://cg.usembassy.gov/covid-19-information/",2020-04-02,2020-04-02 17:23:13
"4","R_1dtT54aAV7nU7zlEd",3311093,"new_entry","original",NA,NA,"The Democratic Republic of the Congo has declared a national state of heath emergency on March 25th.",2020-03-25,2020-03-25,NA,"Democratic Republic of the Congo","COD","CD","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Democratic Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health",55.0478314482699,53.9248923921244,53.076640893253,169,"https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/",2020-03-29,2020-03-29 19:10:01
"5","R_reelbhe1STZ5BBvEw",5668157,"new_entry","original",NA,NA,"As of March 21, 2020 The Republic of Congo closed its borders and all international passenger flights are suspended",2020-03-21,2020-03-21,NA,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","All kinds of transport","Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",54.6315952497326,53.6767503507824,52.9168437485768,169,"https://cg.usembassy.gov/covid-19-information/",2020-04-02,2020-04-02 17:36:02
"6","R_2afqL3j8Ts2BnutEw",4648011,"new_entry","original",NA,NA,"DRC closes all international borders on March 25.",2020-03-25,2020-03-25,NA,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time)","National Government",55.0478314482699,53.9248923921244,53.076640893253,169,"https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/",2020-03-29,2020-03-29 19:15:28
"7","R_d0v26BfyyvEnibnEw",1638434,"new_entry","original",NA,NA,"Democratic Republic of the Congo
August 15, 2020
External border restrictions were lifted
Airports, ports, and borders reopened August 15. All travelers must present a negative COVID-19 PCR test result taken within 72 hours. Additional screening measures will also be implemented upon arrival.


",2020-08-16,2020-08-15,NA,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Democratic Republic of the Congo","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.garda.com/crisis24/news-alerts/369551/drc-authorities-reopen-borders-august-15-update-20",2020-09-15,2020-09-15 17:05:04
"8","R_2tr71XV6geBEeSvEd",7374953,"new_entry","original",NA,NA,"Democratic Republic of the Congo implements health checks at the airports for all passengers starting on March 10. Those who show symptoms will be moved to government facilities for further testing, and those who test positive for Covid-19 will be hospitalized at government expense.",2020-03-10,2020-03-10,NA,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"Health Monitoring",NA,NA,NA,"All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","All kinds of transport","Voluntary/Recommended but No Penalties","Ministry/Department of Health",53.6085247487955,51.2599527011749,48.2772432921005,148,"https://cd.usembassy.gov/covid-19-information/",2020-03-29,2020-03-29 18:23:18
"9","R_27U1sqlEYBQoNnGEd",2449990,"new_entry","correction",NA,NA,"DRC bans travel between Kinshasa and all other regions in the country.",2020-03-25,2020-03-25,NA,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"Internal Border Restrictions",NA,NA,NA,"Democratic Republic of the Congo","A geographical or administrative unit within a country",NA,"All regions in the country.",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Provincial/State Government",55.0478314482699,53.9248923921244,53.076640893253,169,"https://cd.usembassy.gov/covid-19-information/",2020-04-26,2020-04-26 15:08:43
"10","R_2D5gRiMSK2FcAU2By",9857234,"new_entry","correction",NA,NA,"DR Congo implements three-week confinement in Kinshasa starting 28 March.",2020-03-26,2020-03-28,2020-04-20,"Democratic Republic of the Congo","COD","CD","National",0,NA,NA,"Lockdown","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Provincial/State Government",55.8495299846493,53.9765589543107,52.2686164385211,167,"https://afrique.lalibre.be/48352/rd-congo-confinement-intermittent-a-kinshasa/",2020-07-12,2020-07-12 10:11:03
