"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1mmBn2nLtMcRTzyDr","4553145","new_entry","original","NA",NA,"Denmark is enforcing school closure (universities, gymnasium) after march 13",2020-03-11,2020-03-13,NA,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.2095861067436,51.2204935984603,50.2272610326931,124,"https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag",2020-04-02,2020-04-02 10:51:31
"2","R_1mmBn2nLtMcRTzyBg","4553145","new_entry","original","NA",NA,"Denmark is enforcing school closure (universities, gymnasium) after march 13",2020-03-11,2020-03-13,NA,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.2095861067436,51.2204935984603,50.2272610326931,124,"https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag",2020-04-02,2020-04-02 10:51:31
"3","R_3OjqjywlNGUxTweCv","7424442","new_entry","original","NA",NA,"Denmark has closed all its public schools and universities. This was announced on 11 March and implemented on 16 March 2020. At first it was announced for two weeks.",2020-03-11,2020-03-16,2020-04-13,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://www.news.com.au/lifestyle/health/denmark-shuts-all-schools-and-universities-amid-surge-in-coronavirus-cases/news-story/ecc674570d3756ddc119ef52fc973e46",2020-04-03,2020-04-03 17:08:26
"4","R_3OjqjywlNGUxTweCw","7424442","new_entry","original","NA",NA,"Denmark has closed all its public schools and universities. This was announced on 11 March and implemented on 16 March 2020. At first it was announced for two weeks.",2020-03-11,2020-03-16,2020-04-13,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://www.news.com.au/lifestyle/health/denmark-shuts-all-schools-and-universities-amid-surge-in-coronavirus-cases/news-story/ecc674570d3756ddc119ef52fc973e46",2020-04-03,2020-04-03 17:08:26
"5","R_3OjqjywlNGUxTweDr","7424442","new_entry","original","NA",NA,"Denmark has closed all its public schools and universities. This was announced on 11 March and implemented on 16 March 2020. At first it was announced for two weeks.",2020-03-11,2020-03-16,2020-04-13,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://www.news.com.au/lifestyle/health/denmark-shuts-all-schools-and-universities-amid-surge-in-coronavirus-cases/news-story/ecc674570d3756ddc119ef52fc973e46",2020-04-03,2020-04-03 17:08:26
"6","R_3OjqjywlNGUxTweBg","7424442","new_entry","original","NA",NA,"Denmark has closed all its public schools and universities. This was announced on 11 March and implemented on 16 March 2020. At first it was announced for two weeks.",2020-03-11,2020-03-16,2020-04-13,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://www.news.com.au/lifestyle/health/denmark-shuts-all-schools-and-universities-amid-surge-in-coronavirus-cases/news-story/ecc674570d3756ddc119ef52fc973e46",2020-04-03,2020-04-03 17:08:26
"7","R_111HSeGbS8pq4FmCv","4553145","update","original","NA",NA,"Denmark is enforcing a school closure after march 16: all school closed now.",2020-03-11,2020-03-16,NA,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag",2020-04-02,2020-04-02 10:54:01
"8","R_111HSeGbS8pq4FmCw","4553145","update","original","NA",NA,"Denmark is enforcing a school closure after march 16: all school closed now.",2020-03-11,2020-03-16,NA,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag",2020-04-02,2020-04-02 10:54:01
"9","R_111HSeGbS8pq4FmDr","4553145","update","original","NA",NA,"Denmark is enforcing a school closure after march 16: all school closed now.",2020-03-11,2020-03-16,NA,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag",2020-04-02,2020-04-02 10:54:01
"10","R_111HSeGbS8pq4FmBg","4553145","update","original","NA",NA,"Denmark is enforcing a school closure after march 16: all school closed now.",2020-03-11,2020-03-16,NA,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag",2020-04-02,2020-04-02 10:54:01
"11","R_3QKoPG0ksdMaMAaCv","7424442","update","original","NA",NA,"Denmark has closed all its public schools and universities until April 13. A number of exceptions apply, e.g. for children with special needs. Emergency child care is warranted.",2020-03-23,2020-03-16,2020-04-13,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://www.nytimes.com/reuters/2020/03/23/world/europe/23reuters-health-coronavirus-denmark.html",2020-04-03,2020-04-03 17:19:03
"12","R_3QKoPG0ksdMaMAaCw","7424442","update","original","NA",NA,"Denmark has closed all its public schools and universities until April 13. A number of exceptions apply, e.g. for children with special needs. Emergency child care is warranted.",2020-03-23,2020-03-16,2020-04-13,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://www.nytimes.com/reuters/2020/03/23/world/europe/23reuters-health-coronavirus-denmark.html",2020-04-03,2020-04-03 17:19:03
"13","R_3QKoPG0ksdMaMAaDr","7424442","update","original","NA",NA,"Denmark has closed all its public schools and universities until April 13. A number of exceptions apply, e.g. for children with special needs. Emergency child care is warranted.",2020-03-23,2020-03-16,2020-04-13,"Denmark","DNK","DK","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Denmark",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",53.5812481577068,52.6648339193934,51.7713580236487,155,"https://www.nytimes.com/reuters/2020/03/23/world/europe/23reuters-health-coronavirus-denmark.html",2020-04-03,2020-04-03 17:19:03
