record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1MPPX9JBieEejYrDo,1838523,new_entry,original,,,Suspension of all classes from School in Dominica,2020-03-22,2020-03-23,,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,2020-03-31,2020-03-31T19:59:56Z,2,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_1MPPX9JBieEejYrDq,1838523,new_entry,original,,,Suspension of all classes from School in Dominica,2020-03-22,2020-03-23,,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,2020-03-31,2020-03-31T19:59:56Z,2,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_1MPPX9JBieEejYrEr,1838523,new_entry,original,,,Suspension of all classes from School in Dominica,2020-03-22,2020-03-23,,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,2020-03-31,2020-03-31T19:59:56Z,2,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_1MPPX9JBieEejYrBu,1838523,new_entry,original,,,Suspension of all classes from School in Dominica,2020-03-22,2020-03-23,,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,2020-03-31,2020-03-31T19:59:56Z,2,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_3KDdIMOa3BMZ1m2NA,846232,new_entry,original,,,Dominica is enforcing a three days curfew in the whole country,2020-03-28,2020-03-28,2020-03-31,Dominica,DMA,DM,National,1,,,,Curfew,,,,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Provincial/State Government,Police",52.6955761610645,51.8051873467798,50.7087359773774,63,https://dominicanewsonline.com/news/homepage/homepage-carousel/breaking-news-dominica-imposes-curfew-as-it-tightens-measures-to-fight-coronavirus/,2020-03-30,2020-03-30T20:50:30Z,11,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_2UbKiYqQ0TikLpINA,8130156,update,original,Change of Policy,Strengthening,"The curfew will be in effect from Saturday 28th March 2020 to Tuesday 31st March 2020 UPDATE: Minister for Health, Wellness and New Health Investments, Dr. Irving McIntyre, has announced that a curfew will go into effect from 10:00 o’clock on Saturday 28th March 2020 already and it was originally foreseen until the 31st March 2020",2020-03-28,2020-03-28,2020-05-10,Dominica,DMA,DM,National,1,,,,Curfew,,,,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",52.6955761610645,51.8051873467798,50.7087359773774,63,NA,2020-06-04,2020-06-04T13:15:02Z,11,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_2ya0QQoO5pT2Ss6NA,8130156,new_entry,original,,,Curfew from 6pm to 6am in Dominica until 20th of April,2020-04-01,2020-04-01,2020-05-10,Dominica,DMA,DM,National,1,,,,Curfew,,,,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",54.5379556375897,51.7697696479893,48.3204306633626,58,https://dominicanewsonline.com/news/homepage/breaking-news-state-of-emergency-declared-in-dominica/,2020-04-03,2020-04-03T13:30:51Z,12,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_307dnM365gIC29ZNA,8130156,update,original,Change of Policy,Strengthening,"Curfew from 6pm to 6am in Dominica until 20th of April UPDATE: The original curfew was set to last until April 20th, it has been extended to May 10th",2020-04-01,2020-04-01,2020-05-10,Dominica,DMA,DM,National,1,,,,Curfew,,,,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",54.5379556375897,51.7697696479893,48.3204306633626,58,NA,2020-06-05,2020-06-05T13:55:08Z,12,0,0,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_2rWKXgiQPjtwcJHNA,8524464,new_entry,original,,,"On April the 1st, a state of emergency has been declared in Dominica on April the 1st until April the 20th.",2020-04-01,2020-06-01,2020-07-21,Dominica,DMA,DM,National,1,,,,Declaration of Emergency,,,,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://dominicanewsonline.com/news/homepage/breaking-news-state-of-emergency-declared-in-dominica/,2020-06-05,2020-06-05T15:49:52Z,16,0,16,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
R_1oovCiqgFcUQeE6NA,8524464,update,correction,,,"On April the 1st, a state of emergency has been declared in Dominica on April the 1st until April the 20th.",2020-04-01,2020-06-01,2020-07-21,Dominica,DMA,DM,National,1,,,,Declaration of Emergency,,,,Dominica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.dominicavibes.dm/news-263824/ ; Da Vibes ; State of Emergency Extended for Three Months,2020-06-05,2020-06-05T16:08:49Z,16,0,16,,,,,,,,,,,,,,,,,59,72680,502716709.1,6916.8507,-1.762145,11.1938215,20.0355373,8.84171584,2,2,2.488230705,,74793,
