"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3pg3fz2DUvFkur4Ed",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"2","R_3pg3fz2DUvFkur4By",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"3","R_3pg3fz2DUvFkur4Ew",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"4","R_3pg3fz2DUvFkur4Db",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of an annually recurring event",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"5","R_3pg3fz2DUvFkur4Bw",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"6","R_3pg3fz2DUvFkur4Fb",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"7","R_3pg3fz2DUvFkur4Af",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","77400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"8","R_3pg3fz2DUvFkur4Aa",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","18000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"9","R_3pg3fz2DUvFkur4De",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
"10","R_3pg3fz2DUvFkur4Ec",3746259,"new_entry","original",NA,NA,"The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,NA,"East Timor","TLS","TL","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1",2020-06-05,2020-06-05 12:35:30
