record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1FrjvC6JqBglhOMDo,6862602,new_entry,original,,,"Ecuador closes all schools, from March 12 to April 5",2020-03-12,2020-03-13,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.3458477830085,52.1678901942076,51.1629168556473,161,https://coronavirusecuador.com/acuerdos-ministeriales/,2020-03-31,2020-03-31T08:39:42Z,17,0,0,,,,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_1FrjvC6JqBglhOMDq,6862602,new_entry,original,,,"Ecuador closes all schools, from March 12 to April 5",2020-03-12,2020-03-13,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.3458477830085,52.1678901942076,51.1629168556473,161,https://coronavirusecuador.com/acuerdos-ministeriales/,2020-03-31,2020-03-31T08:39:42Z,17,0,0,,,,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_1FrjvC6JqBglhOMEq,6862602,new_entry,original,,,"Ecuador closes all schools, from March 12 to April 5",2020-03-12,2020-03-13,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.3458477830085,52.1678901942076,51.1629168556473,161,https://coronavirusecuador.com/acuerdos-ministeriales/,2020-03-31,2020-03-31T08:39:42Z,17,0,0,,,,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_1FrjvC6JqBglhOMBu,6862602,new_entry,original,,,"Ecuador closes all schools, from March 12 to April 5",2020-03-12,2020-03-13,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.3458477830085,52.1678901942076,51.1629168556473,161,https://coronavirusecuador.com/acuerdos-ministeriales/,2020-03-31,2020-03-31T08:39:42Z,17,0,0,,,,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_Bxh9fiWPdo8JNV7Do,6862602,update,original,End of Policy,,"Ecuador closes all schools, from March 12 to April 5 UPDATE: On August 21st, the National Emergency Operations Committee (COE) will approve the plan for progressive and voluntary return to classes, which would be implemented starting September 1st. Sending students to face-to-face classes is voluntary, each school day will be four hours long, students will only go to school one day per week, and only 12 will be allowed in each classroom.",2020-08-20,2020-09-01,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,NA,2020-09-23,2020-09-23T23:53:50Z,114309,6571,101723,1520,260413,14.76,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_Bxh9fiWPdo8JNV7Dq,6862602,update,original,End of Policy,,"Ecuador closes all schools, from March 12 to April 5 UPDATE: On August 21st, the National Emergency Operations Committee (COE) will approve the plan for progressive and voluntary return to classes, which would be implemented starting September 1st. Sending students to face-to-face classes is voluntary, each school day will be four hours long, students will only go to school one day per week, and only 12 will be allowed in each classroom.",2020-08-20,2020-09-01,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,NA,2020-09-23,2020-09-23T23:53:50Z,114309,6571,101723,1520,260413,14.76,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_Bxh9fiWPdo8JNV7Eq,6862602,update,original,End of Policy,,"Ecuador closes all schools, from March 12 to April 5 UPDATE: On August 21st, the National Emergency Operations Committee (COE) will approve the plan for progressive and voluntary return to classes, which would be implemented starting September 1st. Sending students to face-to-face classes is voluntary, each school day will be four hours long, students will only go to school one day per week, and only 12 will be allowed in each classroom.",2020-08-20,2020-09-01,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,NA,2020-09-23,2020-09-23T23:53:50Z,114309,6571,101723,1520,260413,14.76,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_Bxh9fiWPdo8JNV7Bu,6862602,update,original,End of Policy,,"Ecuador closes all schools, from March 12 to April 5 UPDATE: On August 21st, the National Emergency Operations Committee (COE) will approve the plan for progressive and voluntary return to classes, which would be implemented starting September 1st. Sending students to face-to-face classes is voluntary, each school day will be four hours long, students will only go to school one day per week, and only 12 will be allowed in each classroom.",2020-08-20,2020-09-01,2020-04-05,Ecuador,ECU,EC,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,NA,2020-09-23,2020-09-23T23:53:50Z,114309,6571,101723,1520,260413,14.76,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_3PhjNgXHlhWyriCNA,4189100,new_entry,original,,,"Ecuador imposes a curfew from 21.00 to 5.00 on people, public transportation and other non-essentials residents.
Taxis and comparable services are just allowed to drive on certain days depending on the last digit on their serial number plate.",2020-03-16,2020-03-17,,Ecuador,ECU,EC,National,1,,,,Curfew,,,,Ecuador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Police",53.8317965867718,52.9116290477753,52.0643461343088,155,https://coronavirusecuador.com/acuerdos-ministeriales/,2020-04-01,2020-04-01T07:49:59Z,58,2,0,,,,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
R_9HMUqkGyZpZMj2VNA,9551156,new_entry,correction,,,"Ecuador imposes a curfew from 21.00 to 5.00, starting March 17 on all residents, excluding staff of medical, animal caring, banking, governmental, communication institutions and public services. Taxis and similar services are just allowed to drive on specific days depending on the last digit of their serial number plate.",2020-03-16,2020-03-17,,Ecuador,ECU,EC,National,1,,,,Curfew,,,,Ecuador,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Police",53.8317965867718,52.9116290477753,52.0643461343088,155,https://coronavirusecuador.com/acuerdos-ministeriales/,2020-04-01,2020-04-01T08:07:47Z,58,2,0,,,,,,,,,105,3364,1,1,-0.43567043,,,8,31,16144363,86639458058,5366.54546,0.157743724,16.5970815,25.1850211,8.58793967,2,1,0.717584133,1.241201179,1144408,0.62499542
