record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2uErKRFk9zkGCufDo,8918213,new_entry,original,,,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.865107259745,51.8002125543104,50.6666070470995,159,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2020-04-02,2020-04-02T17:43:09Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_2uErKRFk9zkGCufDq,8918213,new_entry,original,,,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.865107259745,51.8002125543104,50.6666070470995,159,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2020-04-02,2020-04-02T17:43:09Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_2uErKRFk9zkGCufEr,8918213,new_entry,original,,,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.865107259745,51.8002125543104,50.6666070470995,159,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2020-04-02,2020-04-02T17:43:09Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_2uErKRFk9zkGCufBu,8918213,new_entry,original,,,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.865107259745,51.8002125543104,50.6666070470995,159,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2020-04-02,2020-04-02T17:43:09Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_wN7TAgjoJ8qVh0lDq,6669388,new_entry,correction,,,"On March 11, the government of El Salvador is closing all schools and universities for a period of 21 days (until March 31).",2020-03-11,2020-03-11,2020-03-31,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.865107259745,51.8002125543104,50.6666070470995,159,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-07-14,2020-07-14T05:13:56Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_wN7TAgjoJ8qVh0lEr,6669388,new_entry,correction,,,"On March 11, the government of El Salvador is closing all schools and universities for a period of 21 days (until March 31).",2020-03-11,2020-03-11,2020-03-31,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.865107259745,51.8002125543104,50.6666070470995,159,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-07-14,2020-07-14T05:13:56Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_wN7TAgjoJ8qVh0lBu,6669388,new_entry,correction,,,"On March 11, the government of El Salvador is closing all schools and universities for a period of 21 days (until March 31).",2020-03-11,2020-03-11,2020-03-31,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.865107259745,51.8002125543104,50.6666070470995,159,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-07-14,2020-07-14T05:13:56Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_7Qef4wXeV8sgB1vNA,163725,update,original,End of Policy,,"On April 20, the Cuscatlán Municipality in El Salvador imposed a curfew from 9pm to 5am. UPDATE: The curfew was set to last 30 days.",2020-04-20,2020-04-20,2020-05-21,El Salvador,SLV,SV,Municipal,1,Cuscatlan,,Nuevo Cuscatlán,Curfew,,,,El Salvador,,,,Nuevo Cuscatlán,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,59.5946991750817,52.9299436211712,44.1637092569704,94,https://www.laprensagrafica.com/elsalvador/Imponen-toque-de-queda-en-Nuevo-Cuscatlan-20200420-0113.html,2020-12-10,2020-12-10T21:10:09Z,218,7,46,1142,13352,2.059,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_3x5AQS7GUGR3JjHNA,2847379,new_entry,correction,,,"On March 14, El Salvador's National Assembly declares State of National Emergency for 30 days to tackle the Covid 19 Pandemia (until April 12).",2020-03-14,2020-03-14,2020-05-16,El Salvador,SLV,SV,National,1,,,,Declaration of Emergency,,,,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military",53.8269285074004,52.0764971157426,50.2707080894341,148,https://www.voanoticias.com/a/elsalvador-coronavirus-emergencia/5329152.html,2020-07-14,2020-07-14T04:20:51Z,0,0,0,,,,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
R_79RBbuaIky78qxrNA,2847379,update,original,Change of Policy,Strengthening,"On March 14, El Salvador's National Assembly declares State of National Emergency for 30 days to tackle the COVID-19 pandemic. The original state of emergency was set to last until April 12 but was extended until April 16 in order for the assembly to discuss human rights concerns during quarantine enforcement. UPDATE: The original state of emergency was set to last until April 12 but was extended until April 16.",2020-04-12,2020-04-12,2020-05-16,El Salvador,SLV,SV,National,1,,,,Declaration of Emergency,,,,El Salvador,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military",59.2963124110163,53.0636852171871,45.3484814175257,102,NA,2020-07-14,2020-07-14T16:00:12Z,125,6,21,457,6729,1.037,,,,,,62,2724,0,2,,-0.86267793,-0.20141026,4,36,6126583,23606383711,3853.10763,2.455062222,15.6281477,23.884783,8.25663527,2,1,0.379276574,1.474674242,1526093,0.66120282
