record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1gdP3UKRd2OEXrUDl,7116958,new_entry,original,,,"Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.0741973521892,52.1312960851704,51.1508336603194,140,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_1gdP3UKRd2OEXrUDn,7116958,new_entry,original,,,"Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.0741973521892,52.1312960851704,51.1508336603194,140,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_1gdP3UKRd2OEXrUEn,7116958,new_entry,original,,,"Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.0741973521892,52.1312960851704,51.1508336603194,140,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_1gdP3UKRd2OEXrUBt,7116958,new_entry,original,,,"Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.0741973521892,52.1312960851704,51.1508336603194,140,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_32R3mBN5zh1Bf7fDl,7116958,update,original,Change of Policy,Strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",54.3903642684818,52.4285001092332,49.2602816502744,85,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_32R3mBN5zh1Bf7fDn,7116958,update,original,Change of Policy,Strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",54.3903642684818,52.4285001092332,49.2602816502744,85,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_32R3mBN5zh1Bf7fEn,7116958,update,original,Change of Policy,Strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",54.3903642684818,52.4285001092332,49.2602816502744,85,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_32R3mBN5zh1Bf7fBt,7116958,update,original,Change of Policy,Strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",54.3903642684818,52.4285001092332,49.2602816502744,85,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_3CQqNMF4nktfhJXNA,6967960,new_entry,original,,,"On 17 March 2020 the President of the Republic of Equatorial Guinea sends a ""message of alert"" in which he states that ""the particular situation in Equatorial Guinea is very worrying for the population, and it should be considered a State of Emergency"".",2020-03-18,2020-03-18,2020-04-30,Equatorial Guinea,GNQ,GQ,National,1,,,,Declaration of Emergency,,,,Equatorial Guinea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.0931449832084,52.3438875236938,51.3043799948956,130,https://www.guineaecuatorialpress.com/noticia.php?id=15124,2020-04-11,2020-04-11T12:49:21Z,4,0,0,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
R_2Es3mDemzPO5poeNA,9571855,new_entry,original,,,Equatorial Guinea declares state of emergency and creates a special emergency fund of 5 billion CFA franks ($8.18 million American dollars),2020-03-22,2020-03-22,,Equatorial Guinea,GNQ,GQ,National,1,,,,Declaration of Emergency,,,,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",53.9181786536497,52.3422250573591,50.6345070552544,112,https://www.aa.com.tr/en/africa/equatorial-guinea-declares-state-of-alarm-over-covid-19/1774801 ; http://www.china.org.cn/world/Off_the_Wire/2020-03/22/content_75843929.htm,2020-04-11,2020-04-11T11:11:01Z,6,0,0,,,,,,,,,171,6647,0,0,-0.82478433,0.563846171,-0.20141026,12,19,845060,16422276374,19433.2667,-8.28496885,13.6471629,23.5219045,9.87474165,1,0,0.01833944,,119125,0.22333172
