record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_b9NJ21dlvu2snGFNA,1405891,new_entry,original,,,"On March 16The Estonian government denied claims Tallinn is about to be locked down, or a curfew imposed, which have spread on social media with people claiming to have seen roadblocks being built on the outskirts of Tallinn. The city government is actually installing temporary traffic lights and renovating an intersection.",2020-03-16,2020-03-16,,Estonia,EST,EE,Municipal,1,Harjumaa,EE-37,Tallinn,Anti-Disinformation Measures,,,,Estonia,One or more cities within a country,,Harjumaa,Tallinn,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.6799024148253,51.5857542097038,50.5519279181021,109,https://news.err.ee/1064623/government-denies-tallinn-curfew-social-media-rumors-this-is-not-true,2020-07-21,2020-07-21T18:32:50Z,205,0,1,321,1838,1.386,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_3MsORJrkGovVedwEr,84785,new_entry,original,,,"06.03.2020 -Tallinn Kristiine High School (Tallinna Kristiine Gümnaasium) has been closed for two weeks after a student was diagnosed with COVID-19 coronavirus. The Ministry of Education and Research says that since it is not possible to identify who the infected student had come into contact with at the school, they are having to close their doors for two weeks. All 850 students will stay at home and have work provided online.",2020-03-06,2020-03-06,,Estonia,EST,EE,Municipal,1,Harjumaa,EE-37,Tallinn,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Estonia,One or more cities within a country,,Harjumaa,Tallinn,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),53.2870921396781,50.5398931335752,47.785850661912,133,https://news.err.ee/1060727/tallinn-school-closed-after-confirmed-student-coronavirus-case,2020-07-22,2020-07-22T20:46:02Z,10,0,0,72,256,0.193,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_3EhGviK7I2SNpvgDq,4298546,new_entry,original,,,"Following the declaration of an emergency situation, studies in educational establishments changed. From the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying""",2020-03-12,2020-03-16,2020-05-01,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Estonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6799024148253,51.5857542097038,50.5519279181021,109,https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2020-04-02,2020-04-02T14:18:31Z,205,0,1,321,1838,1.386,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_3EhGviK7I2SNpvgEr,4298546,new_entry,original,,,"Following the declaration of an emergency situation, studies in educational establishments changed. From the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying""",2020-03-12,2020-03-16,2020-05-01,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Estonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6799024148253,51.5857542097038,50.5519279181021,109,https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2020-04-02,2020-04-02T14:18:31Z,205,0,1,321,1838,1.386,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_3EhGviK7I2SNpvgBu,4298546,new_entry,original,,,"Following the declaration of an emergency situation, studies in educational establishments changed. From the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying""",2020-03-12,2020-03-16,2020-05-01,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Estonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6799024148253,51.5857542097038,50.5519279181021,109,https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2020-04-02,2020-04-02T14:18:31Z,205,0,1,321,1838,1.386,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_1JF1ieim0FhzxrMEr,465503,new_entry,original,,,"Tallinn, Stenbock House, May 17, 2020

Education in lower secondary schools, upper secondary schools, vocational education institutions and higher education institutions (except in research and development institutions  of universities and research institutions), as well as in continuous education institutions, informal education and hobby activities, and the activities of open youth centres must follow the 2+2 rule; students may work in groups of no more than 10 students (except for exams); when organising the exams the students must be dispersed in the exam room, the movement of groups of students must be dispersed, and all items in common use must be disinfected after use.",2020-05-17,2020-05-17,,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Estonia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.kriis.ee/en/news/special-notice-government-approved-list-restrictions-and-easing-restrictions-force-after-end,2020-07-26,2020-07-26T16:53:27Z,1774,63,938,826,78123,58.892,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_1JF1ieim0FhzxrMBu,465503,new_entry,original,,,"Tallinn, Stenbock House, May 17, 2020

Education in lower secondary schools, upper secondary schools, vocational education institutions and higher education institutions (except in research and development institutions  of universities and research institutions), as well as in continuous education institutions, informal education and hobby activities, and the activities of open youth centres must follow the 2+2 rule; students may work in groups of no more than 10 students (except for exams); when organising the exams the students must be dispersed in the exam room, the movement of groups of students must be dispersed, and all items in common use must be disinfected after use.",2020-05-17,2020-05-17,,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Estonia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.kriis.ee/en/news/special-notice-government-approved-list-restrictions-and-easing-restrictions-force-after-end,2020-07-26,2020-07-26T16:53:27Z,1774,63,938,826,78123,58.892,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_1ClS6rgiZban7xQDq,4298546,update,original,End of Policy,,"Estonian Government Order No. 143 of 5 May 2020 allows, in addition to the distance learning form that continues, to carry out individual or small group teaching and activities in school from 18 May. The direct contact studies are only allowed if it is safe and healthy for both staff and pupils and will remain the exception in current circumstances. UPDATE: The original policy stated that from the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying"".",2020-05-05,2020-05-18,2020-05-01,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Estonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://tes.edu.ee/school-closure-news/,2020-07-21,2020-07-21T17:12:41Z,1784,64,938,1550,79673,60.061,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_1ClS6rgiZban7xQEr,4298546,update,original,End of Policy,,"Estonian Government Order No. 143 of 5 May 2020 allows, in addition to the distance learning form that continues, to carry out individual or small group teaching and activities in school from 18 May. The direct contact studies are only allowed if it is safe and healthy for both staff and pupils and will remain the exception in current circumstances. UPDATE: The original policy stated that from the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying"".",2020-05-05,2020-05-18,2020-05-01,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Estonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://tes.edu.ee/school-closure-news/,2020-07-21,2020-07-21T17:12:41Z,1784,64,938,1550,79673,60.061,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
R_1ClS6rgiZban7xQBu,4298546,update,original,End of Policy,,"Estonian Government Order No. 143 of 5 May 2020 allows, in addition to the distance learning form that continues, to carry out individual or small group teaching and activities in school from 18 May. The direct contact studies are only allowed if it is safe and healthy for both staff and pupils and will remain the exception in current circumstances. UPDATE: The original policy stated that from the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying"".",2020-05-05,2020-05-18,2020-05-01,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Estonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://tes.edu.ee/school-closure-news/,2020-07-21,2020-07-21T17:12:41Z,1784,64,938,1550,79673,60.061,,,,,,12,1355,0,2,-0.82478433,0.379635602,-0.20141026,0,70,1314608,23141668874,17603.4748,1.444213103,14.089049,23.8649006,9.77585159,2,2,2.491454363,,186281,0.9018862
