record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1eUxDr6FIXj9KRpNA,9299242,new_entry,original,,,"Eswatini ""has created a new offence of spreading rumours or ‘unauthentic information’ about the coronavirus (COVID-19) which carries a fine of E20,000 or up to five years imprisonment.""",2020-03-27,2020-03-27,,Eswatini,SWZ,SZ,National,1,,,,Anti-Disinformation Measures,,,,Eswatini,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,54.9941085416738,54.0635055183636,53.1478181436035,170,https://swazimedia.blogspot.com/2020/03/new-offence-of-spreading-coronavirus.html,2020-12-04,2020-12-04T20:51:42Z,9,0,0,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_3HBLTAJGP5aWXhADl,1445293,update,original,,,"Eswatini ""is enforcing a closure of schools after March 17"" UPDATE: In the original the discription was missing",2020-03-17,2020-03-17,,Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Eswatini,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.5784185144532,52.6063439095291,51.6731383401832,145,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,2020-04-07,2020-04-07T11:33:05Z,1,0,0,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_3HBLTAJGP5aWXhADn,1445293,update,original,,,"Eswatini ""is enforcing a closure of schools after March 17"" UPDATE: In the original the discription was missing",2020-03-17,2020-03-17,,Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Eswatini,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.5784185144532,52.6063439095291,51.6731383401832,145,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,2020-04-07,2020-04-07T11:33:05Z,1,0,0,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_3HBLTAJGP5aWXhAEn,1445293,update,original,,,"Eswatini ""is enforcing a closure of schools after March 17"" UPDATE: In the original the discription was missing",2020-03-17,2020-03-17,,Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Eswatini,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.5784185144532,52.6063439095291,51.6731383401832,145,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,2020-04-07,2020-04-07T11:33:05Z,1,0,0,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_3HBLTAJGP5aWXhABt,1445293,update,original,,,"Eswatini ""is enforcing a closure of schools after March 17"" UPDATE: In the original the discription was missing",2020-03-17,2020-03-17,,Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Eswatini,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.5784185144532,52.6063439095291,51.6731383401832,145,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,2020-04-07,2020-04-07T11:33:05Z,1,0,0,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_1j7bld7L5CKnTjpEn,414989,new_entry,original,,,"Eswatini "" are beginning a phased approach of reopening our schools and tertiary institutions with effect from Monday 6 July 2020. The first phase involves the opening of Form 5s and completing classes in tertiary institutions.""",2020-07-03,2020-07-06,,Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Eswatini,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,http://www.gov.sz/images/CORONA/PM-statement-3-July-2020-final.pdf,2020-11-30,2020-11-30T21:48:43Z,1011,13,564,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_1j7bld7L5CKnTjpBt,414989,new_entry,original,,,"Eswatini "" are beginning a phased approach of reopening our schools and tertiary institutions with effect from Monday 6 July 2020. The first phase involves the opening of Form 5s and completing classes in tertiary institutions.""",2020-07-03,2020-07-06,,Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Eswatini,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,http://www.gov.sz/images/CORONA/PM-statement-3-July-2020-final.pdf,2020-11-30,2020-11-30T21:48:43Z,1011,13,564,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_3hnXW57xzYjaeqbNA,4117681,new_entry,original,,,"Eswatini ""is enforcing an curfew for the whole day and night. All unnecessary movements and visits outside the perimeters of ones home or residence are restricted except to provide or acquire essential services after March 27""",2020-03-24,2020-03-27,2020-04-16,Eswatini,SWZ,SZ,National,1,,,,Curfew,,,,Eswatini,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.9941085416738,54.0635055183636,53.1478181436035,170,http://www.gov.sz/index.php/latest-news/204-latest-news/2414-government-press-statement-24-march ; https://www.garda.com/crisis24/news-alerts/326766/eswatini-authorities-shut-borders-implement-nationwide-lockdown-march-17 ; https://www.garda.com/crisis24/news-alerts/326956/eswatini-partial-lockdown-comes-into-effect-march-27-update-1,2020-04-08,2020-04-08T13:04:24Z,9,0,0,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_3pkZ5cWHofgsqPkNA,7348607,new_entry,correction,,,Eswatini extends country's State of Emergency takes effect from May 18 to at least June 19.,2020-03-17,2020-03-17,2020-06-19,Eswatini,SWZ,SZ,National,1,,,,Declaration of Emergency,,,,Eswatini,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.5784185144532,52.6063439095291,51.6731383401832,145,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,2021-01-15,2021-01-15T23:08:18Z,1,0,0,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
R_3kLjg3Xi0YRzK0KNA,7348607,update,original,Change of Policy,Strengthening,"Eswatini extends country's State of Emergency takes effect from May 18 to at least June 19. UPDATE: The original State of Emergency was set to last until May 17th, it has been extended to at least June 19.",2020-05-18,2020-05-18,2020-06-19,Eswatini,SWZ,SZ,National,1,,,,Declaration of Emergency,,,,Eswatini,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.worldaware.com/covid-19-alert-eswatini-extends-state-emergency-through-june-19,2020-05-30,2020-05-30T07:18:15Z,205,2,78,,,,,,,,,152,5127,0,,-0.82478433,0.309990168,-0.20141026,9,43,1286970,5221603357,4057.28444,1.867203311,14.0678011,22.3760703,8.30826917,1,1,0.043905478,-0.58673547,96813,0.14308839
