"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_23gHWIFXejnkQJ9NA","47916","new_entry","original",NA,NA,"On March 23, Ethiopia has passed a new law to limit public disinformation and hate speech via social media accounts with more than 5,000 followers, broadcast, or printed media.",2020-03-23,2020-03-23,NA,"Ethiopia","ETH","ET","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government",52.760183919359,51.9251042348687,50.9689721891196,78,"https://advance.lexis.com/document/?pdmfid=1519360&crid=41627f67-8c4f-4c44-aa02-40fef796fa52&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YVC-XF21-JB5P-J03N-00000-00&pdcontentcomponentid=404625&pdteaserkey=sr24&pditab=allpods&ecomp=kzJ3k&earg=sr24&prid=2f9be4e3-df4c-4ef8-a046-aa71c8661a10 ; https://www.devex.com/news/hate-speech-and-disinformation-concerns-escalate-in-ethiopia-97095",2020-05-09,2020-05-09 15:13:59
"2","R_NWt4J1prDsGmdr3NA","7287631","update","correction",NA,NA,"Ethiopia is introducing a measure demanding media institutions to deliver accurate information to the public from March 16.",2020-03-23,2020-03-23,NA,"Ethiopia","ETH","ET","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.760183919359,51.9251042348687,50.9689721891196,78,"NA ; https://twitter.com/PMEthiopia/status/1239483664926457856/photo/2",2020-05-07,2020-05-07 12:36:30
"3","R_3e5mmZTueVnTlAvNA","2494550","new_entry","original",NA,NA,"From April 11, Ethiopia prohibits the dissemination of false information and of information from unknown sources as part of the State of Emergency measures on Covid-19.",2020-04-11,2020-04-11,2020-09-08,"Ethiopia","ETH","ET","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",54.6933178136763,53.3460968412666,51.8267361771921,119,"https://advance.lexis.com/api/permalink/5d9f0dc9-27c4-4fc9-aeb1-5074d0a21039/?context=1519360",2020-05-12,2020-05-12 18:05:11
"4","R_3R9OQ6kOEmX9nHENA","7346889","new_entry","original",NA,NA,"On August 17, the Ethiopian Ministry of Health hosted a training to media and communication experts to enable them to deliver on their responsibilities for the success of the nationwide COVID-19 testing campaign. The training stresses the immense role of the media in supporting the efforts carried out against the pandemic.",2020-08-17,2020-08-17,2020-08-17,"Ethiopia","ETH","ET","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",NA,NA,NA,NA,"https://www.fanabc.com/english/media-urged-to-fulfill-responsibilities-for-success-of-covid-19-testing-campaign/",2020-09-15,2020-09-15 11:17:42
"5","R_3kvWgI6CzzzdmYDCv","4264849","new_entry","original",NA,NA,"Ethiopia is closing schools at all levels, except higher education institutions from March 16 until March 30, 2020.",2020-03-16,2020-03-16,2020-09-08,"Ethiopia","ETH","ET","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Ethiopia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",51.2693454402125,50.1318352817184,48.5897877454225,58,"https://www.africanews.com/2020/03/30/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc/ ; https://twitter.com/HarunMaruf/status/1239484642912358401",2020-03-30,2020-03-30 21:52:46
"6","R_3kvWgI6CzzzdmYDCw","4264849","new_entry","original",NA,NA,"Ethiopia is closing schools at all levels, except higher education institutions from March 16 until March 30, 2020.",2020-03-16,2020-03-16,2020-09-08,"Ethiopia","ETH","ET","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Ethiopia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",51.2693454402125,50.1318352817184,48.5897877454225,58,"https://www.africanews.com/2020/03/30/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc/ ; https://twitter.com/HarunMaruf/status/1239484642912358401",2020-03-30,2020-03-30 21:52:46
"7","R_3kvWgI6CzzzdmYDDr","4264849","new_entry","original",NA,NA,"Ethiopia is closing schools at all levels, except higher education institutions from March 16 until March 30, 2020.",2020-03-16,2020-03-16,2020-09-08,"Ethiopia","ETH","ET","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Ethiopia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",51.2693454402125,50.1318352817184,48.5897877454225,58,"https://www.africanews.com/2020/03/30/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc/ ; https://twitter.com/HarunMaruf/status/1239484642912358401",2020-03-30,2020-03-30 21:52:46
"8","R_2fAG3AC48YQILXACv","4264849","update","original","Change of Policy","Strengthening","Ethiopia is closing schools at all levels, except higher education institutions from March 16, extended under the State of Emergency from April 8th until September 8th.",2020-03-16,2020-03-16,2020-09-08,"Ethiopia","ETH","ET","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Ethiopia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",51.2693454402125,50.1318352817184,48.5897877454225,58,"NA ; https://www.gov.uk/foreign-travel-advice/ethiopia/coronavirus",2020-05-09,2020-05-09 15:58:32
"9","R_2fAG3AC48YQILXACw","4264849","update","original","Change of Policy","Strengthening","Ethiopia is closing schools at all levels, except higher education institutions from March 16, extended under the State of Emergency from April 8th until September 8th.",2020-03-16,2020-03-16,2020-09-08,"Ethiopia","ETH","ET","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Ethiopia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",51.2693454402125,50.1318352817184,48.5897877454225,58,"NA ; https://www.gov.uk/foreign-travel-advice/ethiopia/coronavirus",2020-05-09,2020-05-09 15:58:32
"10","R_2fAG3AC48YQILXADr","4264849","update","original","Change of Policy","Strengthening","Ethiopia is closing schools at all levels, except higher education institutions from March 16, extended under the State of Emergency from April 8th until September 8th.",2020-03-16,2020-03-16,2020-09-08,"Ethiopia","ETH","ET","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Ethiopia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",51.2693454402125,50.1318352817184,48.5897877454225,58,"NA ; https://www.gov.uk/foreign-travel-advice/ethiopia/coronavirus",2020-05-09,2020-05-09 15:58:32
