record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_ALqMq9dV2RTNuUxNA,7192773,new_entry,correction,,,"On 16 March, the European Commission announced external border restrictions, meaning that the EU will close its external borders for 30 days, with exemptions for EU citizens coming back home, for healthcare workers, like doctors and nurses, also scientists working on the solution of this health crisis we do see, and for people commuting on borders, who are working on both sides of the border.",2020-03-16,2020-03-16,2020-05-15,European Union,,,National,0,,,,External Border Restrictions,,,,All countries,All countries,"European Union (with the UK),Schengen Area (with the UK)",,,,Foreign Travelers,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,50.3480634661988,49.0514302873975,47.0227138827175,31,https://ec.europa.eu/commission/presscorner/detail/en/statement_20_477,2020-04-03,2020-04-03T19:44:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2VyI96yIXUuzWFzCu,482697,new_entry,original,,,"On 16 March 2020, the Commission adopted a Communication1
recommending a temporary
restriction of non-essential travel from third countries into the EU+ area2
for one month. On
17 March 2020, the Heads of State or Government of the EU agreed to implement the
temporary restriction of non-essential travel. The four Schengen Associated States also
implemented it.",2020-03-27,2020-03-16,2020-04-27,European Union,,,Provincial,0,,,,External Border Restrictions,Other External Border Restriction,,,European Union,An international organization (e.g. World Health Organization),,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,50.3480634661988,49.0514302873975,47.0227138827175,31,file:///Users/danielgreen/Documents/07-15-2020%20Council%20Recommendation%20on%20the%20temporary%20restriction%20on%20non-essential%20travel%20into%20the%20EU%20and%20the%20possible%20lifting%20of%20such%20restriction.pdf,2020-07-16,2020-07-16T14:38:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_sHIcs3dHdoMlnkBFf,3649930,new_entry,correction,,,"As of March 17, the European Union is introducing a 30-day ban on incoming travel for foreigners to the territory of the Member States in an attempt to limit the spread of the corona-virus pandemic.",2020-03-16,2020-03-17,2020-04-15,European Union,,,National,1,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,Bolivia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport (all below except visa restrictions),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",50.7085554030796,49.1541402847756,46.9203387281067,31,https://www.bnt.bg/en/a/eu-to-close-external-borders-for-30-days,2020-04-23,2020-04-23T05:33:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Y2QJmYApzktm9CNA,7192773,update,original,,Strengthening,"On 8 April, the Commission invited Schengen Member States and Schengen Associated States to prolong the temporary restriction on non-essential travel to the EU until 15 May. UPDATE: The original restriction of travel has been extended to last to 15 May (instead of only 16 April).",2020-04-08,2020-04-16,2020-05-15,European Union,,,National,1,,,,External Border Restrictions,,,,All countries,All countries,"European Union (with the UK),Schengen Area (with the UK)",,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,54.6666157367469,50.2873293976378,46.7142275126897,25,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_616,2020-04-27,2020-04-27T09:50:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_28Z1D3U1h5pq4DUCu,5630987,new_entry,original,,,"Starting from 1 July 2020, member states should start lifting the travel restrictions at the external borders for residents of the following third countries: Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay and China, the latter subject to confirmation of reciprocity.",2020-06-30,2020-07-01,,European Union,,,Provincial,0,,,,External Border Restrictions,Other External Border Restriction,,,European Union,An international organization (e.g. World Health Organization),,,,,Foreign Travelers,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://www.consilium.europa.eu/en/policies/coronavirus/,2020-07-15,2020-07-15T15:14:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_237CoDuVXXLK6TaBp,9768929,new_entry,original,,,"On 31 January, EUR 10 million are granted from the EU’s research and innovation programme, Horizon 2020, to support research into the new coronavirus disease.",2020-01-31,2020-01-31,,European Union,,,National,0,,,,Health Resources,Health Research Facilities,,,,One or more regional groupings,"European Union (with the UK),Schengen Area (with the UK)",,,,Health-Related Supplies,,Not Applicable,Voluntary/Recommended but No Penalties,National Government,50.6672272802233,47.4962932361922,42.2015681748431,92,https://ec.europa.eu/commission/presscorner/detail/en/mex_20_175,2020-04-20,2020-04-20T11:24:11Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1myCvIvtfspze8WDj,8903946,new_entry,original,,,"As an immediate first response, the EU's Emergency Response Coordination Centre coordinated for EU Member States to mobilize and deliver a total of 12 tons of protective equipment to China.",2020-02-01,2020-02-01,,European Union,,,National,0,,,,Health Resources,Personal Protective Equipment,,,China,"One or more countries, but not all countries",,,,,Health-Related Supplies,Outbound,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",50.8616444504711,47.5320363602844,42.114994231523,93,https://ec.europa.eu/commission/presscorner/detail/en/statement_20_178,2020-04-20,2020-04-20T11:27:58Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Eu5oBYooHHgXSRDj,8903946,update,original,,Strengthening,"On 23 February, the Commission co-financed the delivery of more than 25 tonnes of personal protective equipment to China after the EU Civil Protection Mechanism was activated. UPDATE: In addition to the 12 tonnes of personal protection equipment delivered to China on 1 February, the Commission is co-financing the delivery of more than 25 tonnes of personal protective equipment to China after the EU Civil Protection Mechanism was activated.",2020-02-23,2020-02-23,,European Union,,,National,1,,,,Health Resources,Personal Protective Equipment,,,China,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Outbound,Not Applicable,Voluntary/Recommended but No Penalties,National Government,51.9068054211386,48.0912238356414,42.2993726618997,54,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_310,2020-04-20,2020-04-20T11:40:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1C28AAwcsrUKq7HCw,9321762,new_entry,original,,,"On 24 February, the European Commission announced that a new aid package worth EUR 232 million to boost global preparedness, prevention and containment of the virus:
- €114 million will support the World Health Organization (WHO), in particular the global preparedness and response global plan. This intends to boost public health emergency preparedness and response work in countries with weak health systems and limited resilience. Part of this funding is subject to the agreement of the EU budgetary authorities.
- €15 million are planned to be allocated in Africa, including to the Institute Pasteur Dakar, Senegal to support measures such as rapid diagnosis and epidemiological surveillance.
- €100 million will go to urgently needed research related to diagnostics, therapeutics and prevention, including €90 million through the Innovative Medicines Initiative, a partnership between the EU and the pharmaceutical industry. *
- €3 million allocated to the EU Civil Protection Mechanism for repatriation flights of EU citizens from Wuhan, China.
",2020-02-24,2020-02-24,,European Union,,,National,0,,,,Health Resources,Other Health Infrastructure,,,,One or more regional groupings,"European Union (with the UK),Africa,Other Regions (please specify below)",,,,Health-Related Supplies,,Not Applicable,Voluntary/Recommended but No Penalties,National Government,51.5849197893067,48.1327147895712,42.4692658646794,51,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_316,2020-04-20,2020-04-20T11:46:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_vOm3MJ7mXW11XNvCi,5341657,new_entry,original,,,"Belgium, 27 February: Our country has placed an important order of protective equipment and masks intended for healthcare professionals. We have also ordered a large supply of masks for patients with a viral infection to protect the people living with them.

The order is part of a ‘joint procurement’ organised by the European Union for its member States. It makes them gain time by avoiding them to carry on separate negotiations with producers and suppliers.

The Belgian government will use this equipment to support general practitioners and hospitals in case of a shortage.",2020-02-27,2020-02-27,,European Union,,,National,1,,,,Health Resources,Masks,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.6283454277312,48.2374326219186,42.8627044062311,48,https://www.info-coronavirus.be/en/news/face-masks-and-other-protective-equipment-belgium-participates-in-the-joint-procurement-at-european-level/,2020-12-04,2020-12-04T13:02:58Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
