record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1qeVQjmNenBzv5kNA,9655030,new_entry,original,,,Gambian Health authorities refute claims donated items from China are contaminated with Coronavirus,2020-04-13,2020-04-13,,Gambia,GMB,GM,National,0,,,Anti-Disinformation Measures,,,"",Gambia,,,,,,,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,57.3623738639976,54.0312347347751,50.8565910269038,151,https://foroyaa.net/health-authorities-refute-claims-donated-items-from-china-are-contaminated-with-coronavirus/,2020-10-13,2020-10-13T12:16:39Z
R_vofomHNkNCuNDRDNA,4814239,new_entry,original,,,"The MRC Unit the Gambia published a statemet on false social media information on Corona Virus on their webpage. It basically says that the information circulating regarding the consumption of garlic being a preventive measure against Covid-19, is false. Furthermore, the public is reminded to stick to the key preventive measures such as washing hands.",2020-05-11,2020-05-11,,Gambia,GMB,GM,National,0,,,Anti-Disinformation Measures,,,"",,,,,,,,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://www.mrc.gm/statement-on-false-social-media-information-on-corona-virus-prevention-in-the-gambia/,2020-05-11,2020-05-11T11:19:17Z
R_32VYG7GhxNM20JZDi,3234458,new_entry,original,,,Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Gambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z
R_32VYG7GhxNM20JZDk,3234458,new_entry,original,,,Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Gambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z
R_32VYG7GhxNM20JZEi,3234458,new_entry,original,,,Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Gambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z
R_32VYG7GhxNM20JZBr,3234458,new_entry,original,,,Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Gambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z
R_295QsNfMjMhd3mNDi,3234458,update,original,Change of Policy,Relaxing,"Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Gambia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,NA,2020-06-08,2020-06-08T20:01:10Z
R_295QsNfMjMhd3mNDk,3234458,update,original,Change of Policy,Relaxing,"Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Gambia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,NA,2020-06-08,2020-06-08T20:01:10Z
R_295QsNfMjMhd3mNEi,3234458,update,original,Change of Policy,Relaxing,"Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Gambia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,NA,2020-06-08,2020-06-08T20:01:10Z
R_295QsNfMjMhd3mNBr,3234458,update,original,Change of Policy,Relaxing,"Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,Gambia,GMB,GM,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Gambia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4273600808564,51.3668122930802,50.4482113314471,86,NA,2020-06-08,2020-06-08T20:01:10Z
