"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1pyAwDB9nJaQd7RDo",2266936,"new_entry","original","NA",NA,"On March 23  the Government of Georgia announced, that educational process in educational institutions shall be suspended until 21 April 2020. General education and higher education institutions must implement this by using different forms of distance learning/ communication (if possible).","2020-03-23","2020-03-23",2020-04-21,"Georgia","GEO","GE","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Georgia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",50.7712041299305,49.0512556828829,45.8731805317222,20,"http://mes.gov.ge/content.php?lang=eng&id=10245","2020-05-06","2020-05-06 18:08:49"
"2","R_1pyAwDB9nJaQd7REm",2266936,"new_entry","original","NA",NA,"On March 23  the Government of Georgia announced, that educational process in educational institutions shall be suspended until 21 April 2020. General education and higher education institutions must implement this by using different forms of distance learning/ communication (if possible).","2020-03-23","2020-03-23",2020-04-21,"Georgia","GEO","GE","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Georgia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",50.7712041299305,49.0512556828829,45.8731805317222,20,"http://mes.gov.ge/content.php?lang=eng&id=10245","2020-05-06","2020-05-06 18:08:49"
"3","R_NW1y9TZots7UhA5En",3886287,"new_entry","original","NA",NA,"Persons age 70 or older  in Georgia are prohibited to leave their residence unless going to the closest grocery store, pharmacy, or hospital;","2020-03-30","2020-03-31",NA,"Georgia","GEO","GE","National",1,NA,NA,"Curfew",NA,NA,"","Georgia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",51.6610678887259,50.4235850802418,48.9139458713922,30,"https://ge.usembassy.gov/covid-19-information-on-georgia/","2020-05-04","2020-05-04 18:42:31"
"4","R_1q7DHNCYm6YK3cuEn",5661584,"new_entry","correction","NA",NA,"Georgia declared a curfew between 21:00 and 6:00 throughout the entire country starting March 31st.","2020-03-30","2020-03-31",NA,"Georgia","GEO","GE","National",0,NA,NA,"Curfew",NA,NA,"","Georgia","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government,Other (Please specify in the text box)",51.6610678887259,50.4235850802418,48.9139458713922,30,"http://gov.ge/index.php?lang_id=ENG&sec_id=547&info_id=75775","2020-06-18","2020-06-18 09:12:58"
"5","R_DOYJA2iOMmP2yiJEn",2674669,"new_entry","original","NA",NA,"On March 21 The Georgian Parliament confirmed the presidential decree at an emergency sitting on March 21 with 115 MPs voting in favor, clearing the way for declaring a nationwide state of emergency effective until April 21.","2020-03-21","2020-03-21",2020-04-21,"Georgia","GEO","GE","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Georgia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",50.5117991394463,48.5723569702686,45.8751072249872,15,"https://civil.ge/archives/349213","2020-06-16","2020-06-16 10:03:00"
"6","R_33ps8foyy1yGQykEn",3327340,"new_entry","correction","NA",NA,"The State of Emergency in Georgia has been extended until May 22","2020-03-23","2020-04-23",2020-04-21,"Georgia","GEO","GE","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Georgia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.2046376808284,50.3261110088227,43.6443435634296,25,"https://ge.usembassy.gov/covid-19-information-on-georgia/","2020-05-11","2020-05-11 18:50:19"
"7","R_3RxXekQyoCrZMW0Fg",3576827,"new_entry","original","NA",NA,"Georgia announced on March 14 about the decision to halt border crossing with Turkey through the border checkpoint of Sarpi. Land travel between the two countries still possible through Vale and Kartsakhi border checkpoints. Air travels between Georgia and Turkey not restricted.","2020-03-14","2020-03-14",NA,"Georgia","GEO","GE","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Turkey","One or more countries, but not all countries",NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6701003156139,48.705532721344,42.4545954733482,27,"https://civil.ge/archives/349213","2020-05-08","2020-05-08 08:36:42"
"8","R_1jfW10ePuwsIokrFg",6039451,"new_entry","original","NA",NA,"The Georgian government announced on Sunday, March 15 that the land and air travel with the Russian Federation will be suspended from March 16.  The ban excludes freight cargo and Georgian nationals willing to return to the country.","2020-03-15","2020-03-16",NA,"Georgia","GEO","GE","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Russia","One or more countries, but not all countries",NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.7059069785314,48.7823765063326,42.6693520095541,25,"https://civil.ge/archives/349213","2020-05-08","2020-05-08 08:49:52"
"9","R_ZE1sw0oeBZrybsZFg",9597703,"new_entry","original","NA",NA,"On March 16 Georgian Prime Minister’s spokesperson announced that from March 18 midnight, Georgia will ban entry to all foreign nationals  for the next two weeks","2020-03-16","2020-03-18",2020-04-01,"Georgia","GEO","GE","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.2826450769109,48.8014711916131,44.2218535257361,22,"https://civil.ge/archives/349213","2020-05-08","2020-05-08 09:02:32"
"10","R_oY0C5lpBSEjmDhTFg",311325,"new_entry","original","NA",NA,"The Ministry of Internal Affairs (MIA)  of Georgia has announced additional measures to prevent illegal crossing of the land border. According to the statement, the Border Police will employ supplementary human and technical means to control high-risk “green border” areas. The MIA said that border patrol will equipped with protective gear when detaining possible suspects, acting in line with the recommendations from the National Center for Disease Control.","2020-03-20","2020-03-20",NA,"Georgia","GEO","GE","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",50.8268634224479,48.6165547867703,45.152957139664,16,"https://civil.ge/archives/349213","2020-05-08","2020-05-08 09:25:28"
"11","R_27qJtQHvP47JDpwFg",656933,"new_entry","original","NA",NA,"As of March 21, the Georgian government suspended all air movement.  With few exceptions, all flights in or out of Georgia will be on Georgian Airways and in coordination with the Georgian government.","2020-03-21","2020-03-21",NA,"Georgia","GEO","GE","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",50.5117991394463,48.5723569702686,45.8751072249872,15,"https://ge.usembassy.gov/covid-19-information-on-georgia/","2020-04-04","2020-04-04 10:44:40"
"12","R_3ISmmlAih94SNBIEn",1317923,"new_entry","original","NA",NA,"On April 2 Health Minister of Georgia has stated COVID-19 patients showing mild or no symptoms will treated at home and may only be hospitalized if their medical condition aggravates,","2020-04-02","2020-04-02",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Monitoring",NA,NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",52.6569664183355,50.2621461593151,47.8720811012765,27,"https://civil.ge/archives/351283","2020-05-27","2020-05-27 12:48:06"
"13","R_2rUVYvFLAHFupQwCx",7449549,"new_entry","original","NA",NA,"On March 20 the Government of Georgia announced, that quarantine zones will be set up near border checkpoints in Sarpi (state border with Turkey), Red Bridge (crossing point between Georgia and Azerbaijan) and Larsi (bordering Russia).","2020-03-20","2020-03-20",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.8268634224479,48.6165547867703,45.152957139664,16,"https://civil.ge/archives/349213","2020-05-08","2020-05-08 09:40:09"
"14","R_1nPkSq99qubjncMCx",8098850,"new_entry","original","NA",NA,"Health Minister  of Georgia Ekaterine Tikaradze announced opening of an emergency medical center at Tbilisi Republican Hospital which will provide screening and rapid health check-up for the public","2020-03-20","2020-03-20",NA,"Georgia","GEO","GE","National",1,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia","A geographical or administrative unit within a country",NA,NA,"Tbilisi",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","Ministry/Department of Health",50.8268634224479,48.6165547867703,45.152957139664,16,"https://civil.ge/archives/349213","2020-05-08","2020-05-08 09:44:49"
"15","R_1OxiZLVzbnwwydtCx",4827893,"new_entry","original","NA",NA,"The Health Minister of Georgia has signed a contract to purchase up to 200,000 test kits in total, which will be delivered gradually. Rapid tests will be first used to carry out screening of high-risk areas like Marneuli and Bolnisi currently under strict lockdown.","2020-03-25","2020-03-25",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.4049638875575,49.2576261306375,46.430802874017,20,"https://civil.ge/archives/349213","2020-05-21","2020-05-21 09:36:27"
"16","R_1NDlS2rRZM73GrzCx",1845380,"new_entry","original","NA",NA,"Georgian government has terminated a supply contract with Shenzhen Bioeasy Biotechnology, a Chinese biotech company that has reportedly delivered “unreliable” COVID-19 test kits to Spain.","2020-03-27","2020-03-27",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",52.0544413653693,49.6023035378794,46.9788761545862,22,"https://civil.ge/archives/349213","2020-05-21","2020-05-21 09:46:37"
"17","R_DdVMrhE5ZZtRow9Cx",2821875,"new_entry","original","NA",NA,"On March 30 Prime Minister of Georgia announced about stepping up measures to contain the spread of the novel coronavirus as the country confirms internal virus transmission.  The new restrictions include setting up of checkpoints for the for thermal screenings in the largest cities of Tbilisi, Kutaisi, Batumi, Poti, Rustavi, Zugdidi and Gori","2020-03-30","2020-03-31",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.6610678887259,50.4235850802418,48.9139458713922,30,"https://civil.ge/archives/349213","2020-05-21","2020-05-21 10:52:32"
"18","R_1nO9LwNVDC36NVxCx",7991926,"new_entry","original","NA",NA,"On March 31 Prime Minister’s spokesperson (Georgia) has announced that the Inter-Agency Coordination Council on Coronavirus has decided to install temperature screening stations in Telavi and Akhaltsikhe, in addition to seven other major cities (Tbilisi, Kutaisi, Batumi, Poti, Rustavi, Zugdidi and Gori),","2020-03-31","2020-03-31",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.6610678887259,50.4235850802418,48.9139458713922,30,"https://civil.ge/archives/349213","2020-05-21","2020-05-21 11:17:17"
"19","R_21HboaA2iJ10BeGCx",5642995,"new_entry","original","NA",NA,"On April 8 Health Minister of Georgia stated that 3,500 hospital beds
have been allocated for treating coronavirus-infected patients
throughout the country. She said there is also space available for
additional 10,000 patients who do not need to be placed at
hospitals but rather be kept in quarantine.","2020-04-08","2020-04-08",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",54.2323542930263,50.1538009297599,46.3402993338075,24,"https://civil.ge/archives/351283","2020-06-11","2020-06-11 11:37:32"
"20","R_Aj9dpPTRZzFUIeJCx",7655126,"new_entry","original","NA",NA,"On April 8 the Government of Georgia has announced that Additional Thermal Screening
Checkpoints to be Set Up in Vani Municipality in
western Georgia's Imereti region","2020-04-08","2020-04-08",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.2323542930263,50.1538009297599,46.3402993338075,24,"https://civil.ge/archives/351283","2020-06-11","2020-06-11 11:08:20"
"21","R_R96u5K2e0yNdU8VCx",5808141,"new_entry","original","NA",NA,"On April 23 Health Ministry of Georgia is set to increase testing capacity for diagnosing COVID- 19 by stocking up on polymerase chain reaction test kits.","2020-04-23","2020-04-23",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",56.2046376808284,50.3261110088227,43.6443435634296,25,"https://civil.ge/archives/351283","2020-07-03","2020-07-03 08:59:27"
"22","R_1exg9QuohOisrbYCx",7471296,"new_entry","original","NA",NA,"On April 29 Georgian Health Ministry has received 40,000 polymerase chain
reaction (PCR) test kits from China.","2020-04-29","2020-04-29",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",58.6355243571369,50.0413273671725,41.0693575373041,23,"https://civil.ge/archives/351283","2020-07-12","2020-07-12 19:41:59"
"23","R_A0UXJu5wJvedrSpEn",1180576,"new_entry","original","NA",NA,"On March 23 the Health Minister of Georgia has announced starting of rapid diagnostic testing from Wednesday, March 25","2020-03-23","2020-03-25",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Testing",NA,NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.4049638875575,49.2576261306375,46.430802874017,20,"https://civil.ge/archives/349213","2020-05-15","2020-05-15 08:48:25"
"24","R_2dj7vMeZudl514PEn",1180576,"update","original","Change of Policy","Strengthening","On March 23 the Health Minister of Georgia has announced starting of rapid diagnostic testing from Wednesday, March 25. On April 1The Ministry of Health has expanded a list of testing criteria for the novel coronavirus, which will now include symptomatic patients (with high fever), and high-risk groups such as frontline medical personnel.","2020-03-23","2020-03-25",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Testing",NA,NA,"","Georgia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.4049638875575,49.2576261306375,46.430802874017,20,"https://civil.ge/archives/349213","2020-05-23","2020-05-23 10:38:01"
"25","R_3Pvobz7ij2ThFC3En",4144350,"new_entry","original","NA",NA,"On April 6 Health Minister of Georgia has stated, that health officials have started aggressive testing of target groups, such as frontline medical personnel","2020-04-06","2020-04-06",NA,"Georgia","GEO","GE","National",0,NA,NA,"Health Testing",NA,NA,"","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.7023049554582,50.0997949646252,46.6355343132194,24,"https://civil.ge/archives/351283","2020-05-27","2020-05-27 13:59:40"
