record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_DT9wJ6cfpACiXyVNA,1475054,new_entry,original,,,In Baden-Württemberg (Germany) the city of Stuttgart warns about wrond information related to COVID-19 and announces to check for lawful steps on March 17.,2020-03-17,2020-03-17,2020-03-17,Germany,DEU,DE,Municipal,1,Baden-Wuerttemberg,DE-BW,Stuttgart,Anti-Disinformation Measures,,,,Germany,One or more cities within a country,,Baden-Wuerttemberg,Stuttgart,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,53.6183147579537,52.6665033901796,51.841536290938,147,https://www.stuttgarter-nachrichten.de/inhalt.stuttgart-wehrt-sich-gegen-corona-fake-news-stadt-will-rechtlich-gegen-falschinformationen-vorgehen.6b296462-ff94-4d66-a9ef-9e061624ad60.html,2020-08-22,2020-08-22T14:59:54Z,9257,24,67,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_5p95bNFstNDs9UdNA,5717782,new_entry,original,,,Bremen (Germany) informs about fake news about COVID-19 on March 26.,2020-03-26,2020-03-26,2020-03-26,Germany,DEU,DE,Provincial,1,Bremen,DE-HB,,Anti-Disinformation Measures,,,,Germany,One or more provinces within a country,,Bremen,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,54.4769035345119,53.1300154178607,51.7232645851365,142,https://www.bremen-innovativ.de/2020/03/fake-news-rund-um-corona-information-und-desinformation-unterscheiden/,2020-08-18,2020-08-18T06:45:40Z,43938,267,5673,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_2Qgl6LnVGJvdYioNA,6291168,new_entry,original,,,"The Thuringia government introduces citizens to some overview pages to identify and avoid false coronavirus reports as of March 30, 2020. 

",2020-03-30,2020-03-30,,Germany,DEU,DE,Provincial,1,Thuringia,,,Anti-Disinformation Measures,,,,Germany,One or more provinces within a country,,Thuringia,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,54.9582118520394,53.1784434529201,51.5349247764643,129,https://corona.thueringen.de/buerger-soziales/vorsicht-fake-news,2020-09-03,2020-09-03T13:35:20Z,66885,645,13500,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_2Vaq920hWN5H00BNA,7590491,new_entry,correction,,,Saxony (Germany) introduces a fact check page on its coronavirus website concerning the circulation of wrong corona information.,2020-05-01,2020-05-01,2021-02-11,Germany,DEU,DE,Provincial,1,Saxony,DE-SN,,Anti-Disinformation Measures,,,,Germany,One or more provinces within a country,,Saxony,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,,,,,https://www.coronavirus.sachsen.de/faktencheck-zum-coronavirus-8175.html ; https://sitereport.netcraft.com/?url=https%3A%2F%2Fwww.coronavirus.sachsen.de%2Ffaktencheck-zum-coronavirus-8175.html,2021-01-23,2021-01-23T12:59:15Z,164077,6736,126900,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_1nUSnSy6tknVM62NA,3789097,new_entry,original,,,"On 4 May, The NRW State Criminal Police Office (LKA NRW) expressly warns against fake websites and recommends extreme caution. Please do not call up these fake Internet sites and do not enter any personal data on the ""fake pages"". Please use only the website of the NRW state government for emergency aid applications in North Rhine-Westphalia: https://soforthilfe-corona.nrw.de",2020-05-04,2020-05-04,,Germany,DEU,DE,Provincial,1,North Rhine-Westphalia,DE-NW,,Anti-Disinformation Measures,,,,Germany,One or more provinces within a country,,North Rhine-Westphalia,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Police,,,,,https://polizei.nrw/artikel/vorsicht-vor-fakeseiten-corona-soforthilfe,2020-12-13,2020-12-13T10:21:12Z,166152,6993,132700,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_1CxVWBHmYZuPxryNA,9492644,new_entry,original,,,Germany offers a website  with information around fake news and false information to combat misinformation from May 15.,2020-05-15,2020-05-15,,Germany,DEU,DE,National,1,,,,Anti-Disinformation Measures,,,,Germany,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.bundesregierung.de/breg-de/themen/coronavirus/serioese-informationen-1753160,2020-09-05,2020-09-05T09:44:40Z,175233,7897,151597,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_ex09vv9LTP8TBKhNA,8932125,new_entry,original,,,"Since June 9, 2020, Germany has been providing information about the ""Corona Warn App"" on the website of the Federal Government to disprove false information.",2020-06-09,2020-06-09,,Germany,DEU,DE,National,1,,,,Anti-Disinformation Measures,,,,Germany,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.bundesregierung.de/breg-de/themen/mythen-und-falschmeldungen/corona-app-falschmeldungen-1758136,2020-10-19,2020-10-19T09:00:58Z,186506,8736,170129,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_eVtN0bN5nB9zl8lNA,9163847,new_entry,correction,,,The Ministry of Social Affairs of Mecklenburg-Vorpommern called for help  on June 26 to inform the public that the mask requirement does not apply to everyone (children under 6 and people who have a psychological disorder or disability where they cannot wear a mask). They encourage the displaying of government-made informative posters in supermarkets and buses.,2020-06-26,2020-06-26,,Germany,DEU,DE,Provincial,1,Mecklenburg-Vorpommern,DE-MV,,Anti-Disinformation Measures,,,,Germany,One or more provinces within a country,,Mecklenburg-Vorpommern,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://www.regierung-mv.de/Aktuell/?id=161426&processor=processor.sa.pressemitteilung,2020-07-01,2020-07-01T01:41:17Z,194036,8965,177149,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_R8kmt1HJfZeOG7DNA,9172082,new_entry,original,,,The bavarian police (Germany) warns about fake news related to COVID-19 on August 13.,2020-08-13,2020-08-13,2020-08-13,Germany,DEU,DE,Provincial,1,Bavaria,DE-BY,,Anti-Disinformation Measures,,,,Germany,One or more provinces within a country,,Bavaria,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,,,,,https://www.polizei.bayern.de/oberbayern/news/presse/aktuell/index.html/317422,2020-08-22,2020-08-22T15:02:58Z,222281,9217,199654,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
R_3qNY1Mfea8u7LPPDr,4483224,new_entry,original,,,"From 7 March 2020, the Bavarian State Ministry for Health and Care in Germany enacts that pupils and children prior to school enrollment are not allowed to enter schools, daycare centers and similar facilities if in the last 14 days they have been to risk areas and, upon arrival, 14 days have not passed. The policy has no explicit end date.",2020-03-06,2020-03-07,2020-03-15,Germany,DEU,DE,Provincial,1,Bavaria,DE-BY,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with no conditions,Germany,One or more provinces within a country,,Bavaria,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"Provincial/State Government,Police",53.6602213270884,51.9127503215023,50.2266960495817,178,https://www.verkuendung-bayern.de/files/baymbl/2020/111/baymbl-2020-111.pdf,2021-02-05,2021-02-05T10:36:14Z,799,0,18,,,,,,,,,16,1497,2,2,1.956452727,0.823284328,-0.20141026,0,81,81679769,3.69683e+12,45260.0814,1.7207335,18.2183169,28.9384976,10.7201807,2,1,2.772983551,,3970078,0.85889767
