"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2CpPcDz0cH9QFdfCv","6929310","update","original",NA,NA,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,"Greece","GRC","GR","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",52.2937308210763,51.2754468741284,49.9837622760989,38,"https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says",2020-04-15,2020-04-15 12:27:11
"2","R_2CpPcDz0cH9QFdfCw","6929310","update","original",NA,NA,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,"Greece","GRC","GR","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",52.2937308210763,51.2754468741284,49.9837622760989,38,"https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says",2020-04-15,2020-04-15 12:27:11
"3","R_2CpPcDz0cH9QFdfDr","6929310","update","original",NA,NA,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,"Greece","GRC","GR","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",52.2937308210763,51.2754468741284,49.9837622760989,38,"https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says",2020-04-15,2020-04-15 12:27:11
"4","R_2CpPcDz0cH9QFdfBg","6929310","update","original",NA,NA,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,"Greece","GRC","GR","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",52.2937308210763,51.2754468741284,49.9837622760989,38,"https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says",2020-04-15,2020-04-15 12:27:11
"5","R_2bIBazy8DwV4tn1Cv","6929310","new_entry","original",NA,NA,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,"Greece","GRC","GR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",58.0821549426134,51.3499862231745,44.6910453119108,35,"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/",2020-04-01,2020-04-01 19:46:36
"6","R_2bIBazy8DwV4tn1Cw","6929310","new_entry","original",NA,NA,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,"Greece","GRC","GR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",58.0821549426134,51.3499862231745,44.6910453119108,35,"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/",2020-04-01,2020-04-01 19:46:36
"7","R_2bIBazy8DwV4tn1Dr","6929310","new_entry","original",NA,NA,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,"Greece","GRC","GR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",58.0821549426134,51.3499862231745,44.6910453119108,35,"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/",2020-04-01,2020-04-01 19:46:36
"8","R_2bIBazy8DwV4tn1Bg","6929310","new_entry","original",NA,NA,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,"Greece","GRC","GR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",58.0821549426134,51.3499862231745,44.6910453119108,35,"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/",2020-04-01,2020-04-01 19:46:36
"9","R_pslSy3uPl9Yj3DHNA","3709693","new_entry","original",NA,NA,"Greece Greece curbs refugee movement in camps over coronavirus fears
Over the next month, people in camps will only be allowed to exit at certain hours and in small groups to get food.",2020-03-18,2020-03-18,NA,"Greece","GRC","GR","Provincial",1,NA,NA,"Curfew",NA,NA,"","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.8217277986363,49.4179874368643,43.9599939951957,34,"https://www.aljazeera.com/news/2020/03/greece-curbs-refugee-movement-camps-coronavirus-fears-200318162208279.html",2020-04-02,2020-04-02 18:59:11
"10","R_1l3vM2frHPxjEoRNA","7076136","new_entry","original",NA,NA,"Greece ""A curfew is in effect March 23 – April """,2020-03-23,2020-03-23,2020-06-15,"Greece","GRC","GR","Provincial",1,NA,NA,"Curfew",NA,NA,"","Greece",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","Provincial/State Government",54.9641281283495,49.6240161325759,44.708722413783,26,"https://gr.usembassy.gov/covid-19-information/",2020-04-02,2020-04-02 11:14:16
"11","R_9pm24G6AzmnsdfbNA","7076136","update","original","Change of Policy","Relaxing","Greece ""A curfew is in effect March 23 – April """,2020-03-23,2020-03-23,2020-06-15,"Greece","GRC","GR","Provincial",0,NA,NA,"Curfew",NA,NA,"","Greece",NA,NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound",NA,"Mandatory with Fines","Provincial/State Government",54.9641281283495,49.6240161325759,44.708722413783,26,"NA ; https://gr.usembassy.gov/covid-19-information/",2020-05-09,2020-05-09 10:23:28
"12","R_1gMYy4QVH8o7Ym8NA","7076136","update","original","Change of Policy","Relaxing","Greece ""A curfew is in effect March 23 – April """,2020-03-23,2020-03-23,2020-06-15,"Greece","GRC","GR","Provincial",0,NA,NA,"Curfew",NA,NA,"","Greece",NA,NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound",NA,"Mandatory with Fines","Provincial/State Government",54.9641281283495,49.6240161325759,44.708722413783,26,"NA ; https://www.ekathimerini.com/252145/article/ekathimerini/news/greek-government-unveils-plan-for-easing-restrictions",2020-05-09,2020-05-09 10:09:43
"13","R_2bH7mqu4mLvVWYNNA","2519478","new_entry","original",NA,NA,"Greece Additional restrictive measures for the movement of citizens in the Municipalities of Xanthi, Myki, Kastoria, Orestidos and Nestori due to COVID-19 corona. The ban on the movement of citizens every day from 20:00 to 08:00 the next day, 31 of March",2020-03-31,2020-03-31,NA,"Greece","GRC","GR","Provincial",1,NA,NA,"Curfew",NA,NA,"","Greece","One or more regional groupings",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",55.4116586965389,50.5465198280309,46.4264781856479,33,"https://www.civilprotection.gr/el/simantika-themata/prostheta-perioristika-metra-gia-ti-metakinisi-ton-politon-stoys-dimoys-xanthis",2020-04-04,2020-04-04 21:54:25
"14","R_3rJyFeLVxJHEQjIEm","1564016","update","original",NA,"Strengthening","Greece ""Entry and Exit Requirements:
The Greek government announced that from March 18 through April 18, non-EU citizens may not enter Greece except for spouses or minor children of EU/Schengen nationals, long-term residents, members of government delegations, and passengers in transit.  
No particular documentation to enter/exit Greece is needed at this time.
National Public Health Organization of Greece has disseminated guidance on prevention, detection and containment measures to all ports of entry to Greece: airports, including airline and ground airport personnel, shipping and ground maritime personnel, border land entries.""",2020-03-18,2020-03-03,2020-05-17,"Greece","GRC","GR","Provincial",0,NA,NA,"External Border Restrictions","Visa restrictions (e.g. suspend issuance of visa)",NA,"",NA,"One or more regional groupings","Europe",NA,NA,NA,"Foreign Residents (Foreign Nationals Residing in the Country)","Inbound/Outbound","Flights,Land Border","Mandatory (Unspecified/Implied)","Provincial/State Government",53.1751630844652,47.8089520751334,41.2100685196235,23,"https://gr.usembassy.gov/covid-19-information/ ; https://www.thesun.co.uk/travel/11417080/greece-closed-flight-ban-coronavirus/",2020-04-23,2020-04-23 11:18:31
"15","R_2ziK4AZD3d8NL0SNA","5111241","new_entry","original",NA,NA,"Greece Air travel between Italy, Spain, Turkey and the UK is suspended; other routes may be closed at any time.  Ferry service from Italy to Greece is suspended.",2020-03-09,2020-03-09,2020-05-17,"Greece","GRC","GR","Provincial",0,NA,NA,"External Border Restrictions",NA,NA,"","Greece","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","Provincial/State Government",55.3260369469907,48.3041967837884,42.9176832690281,29,"https://gr.usembassy.gov/covid-19-information/",2020-04-02,2020-04-02 11:44:00
