record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_115cmzSGA29orjFNA,8219416,new_entry,original,,,"As part of their February, 2020 plan to contain and respond to the coronavirus, Honduras announced that only official data from the health secretary can be used to prevent false information.",2020-02-27,2020-02-27,,Honduras,HND,HN,National,1,,,,Anti-Disinformation Measures,,,,Honduras,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.5943323883426,51.1330224676964,48.3316483699352,178,https://covid19honduras.org/sites/default/files/Honduras_Plan_Coronavirus.pdf,2020-09-16,2020-09-16T04:16:13Z,0,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_1OT8R6Wo3KayuPnNA,4214301,new_entry,original,,,"On April 9, Honduras prohibited any natural or lawful person from interfering with any public communication means that could impede the work of agroindustrial workers or the food supply chain, or that which could otherwise put in danger food security of Honduran villages.",2020-04-09,2020-04-09,,Honduras,HND,HN,National,1,,,,Anti-Disinformation Measures,,,,Honduras,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Police",54.0594425650564,52.9815217592741,51.8172289658564,102,http://www.consejosecretariosdeestado.gob.hn/content/medidas-para-asegurar-la-soberan%C3%ADa-y-seguridad-alimentaria,2020-08-05,2020-08-05T22:24:45Z,343,23,6,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_3dXR6MCxQhJLq6eDo,7167599,new_entry,original,,,"Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Honduras,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Other (Please specify in the text box)",52.915660732656,52.1335961199127,51.2362264859764,159,http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas,2020-07-26,2020-07-26T05:51:35Z,2,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_3dXR6MCxQhJLq6eDq,7167599,new_entry,original,,,"Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Honduras,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Other (Please specify in the text box)",52.915660732656,52.1335961199127,51.2362264859764,159,http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas,2020-07-26,2020-07-26T05:51:35Z,2,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_3dXR6MCxQhJLq6eEr,7167599,new_entry,original,,,"Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Honduras,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Other (Please specify in the text box)",52.915660732656,52.1335961199127,51.2362264859764,159,http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas,2020-07-26,2020-07-26T05:51:35Z,2,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_AtlK80LYvkYdNkZBu,7675476,new_entry,correction,,,The National Autonomous University of Honduras in accordance with the Superior Education Council recommended all classes be suspended from March 16 to April 6. This would include the cancellation of all events for the related time period.,2020-03-13,2020-03-16,2020-04-06,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Honduras,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",53.3258416075435,52.3844472072961,51.5899575826077,143,https://tiempo.hn/covid-19-suspenden-clases-en-todas-las-universidades-de-honduras/,2020-11-15,2020-11-15T03:01:52Z,6,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_1P7NhQU0Ql3NV05Er,9794568,new_entry,original,,,"On August 31, 2020, a Honduran Secretary of Education Arnaldo Bueso informed that the practices of the Trabajo Educativo Social program would be conducted virtually.",2020-09-01,2020-08-31,,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Honduras,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://www.se.gob.hn/detalle-articulo/1467/,2020-09-13,2020-09-13T04:15:38Z,61014,1873,10396,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_3pgxTdpgEvNGNFFNA,2316122,new_entry,original,,,"In Honduras, the cities of La Ceiba, Choluteca, and the Central District are on a curfew beginning on March 17, 2020, and can only leave their homes to go to supermarkets, pharmacies, hospitals, and essential places of work.",2020-03-16,2020-03-16,,Honduras,HND,HN,Municipal,1,,,"Tegucigalpa, La Ceiba, and Choluteca",Curfew,,,,Honduras,,,,"Tegucigalpa, La Ceiba, and Choluteca",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Municipal Government,Police",53.3258416075435,52.3844472072961,51.5899575826077,143,https://covid19honduras.org/?q=toque-de-queda-en-sps ; https://www.oncenoticias.hn/atencion-toque-de-queda-absoluto-para-tegucigalpa-la-ceiba-y-choluteca-por-coronavirus/,2020-04-02,2020-04-02T18:14:53Z,6,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_3KT6MBPHVoletJbNA,1146169,new_entry,correction,,,"In Honduras, on March 19, 2020, the cities of Puerto Cortés, Santa Cruz de Yojoa and El Triunfo are put on curfew from 7:00am-6:00pm. During this time people can only go to supermarkets, pharmacies, and gas stations.",2020-03-19,2020-03-19,,Honduras,HND,HN,National,1,,,,Curfew,,,,Honduras,One or more cities within a country,,,Puerto Cortés; Santa Cruz de Yojoa; El Triunfo,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Provincial/State Government,Police",53.7422253847064,52.5109558371226,51.5011565015439,133,https://www.oncenoticias.hn/puerto-cortes-santa-cruz-de-yojoa-y-el-triunfo-a-toque-de-queda-absoluto/,2020-04-30,2020-04-30T02:01:28Z,12,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
R_2AXzq4yXZna2DJENA,1576615,new_entry,original,,,"The Honduran Government permitted the populations of the Central District, La Ceiba, and Choluteca to supply themselves in (super)markets, pharmacies, convenience stores, juiceries, Banasupro (state run markets), and bread stores on March 19 from 7 am to 4 pm.",2020-03-19,2020-03-19,2020-03-19,Honduras,HND,HN,National,1,,,,Curfew,,,,Honduras,One or more cities within a country,,,La Ceiba (Atlántida); Choluteca (Choluteca); Distrito Central (Francisco Morazan),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",53.7422253847064,52.5109558371226,51.5011565015439,133,https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/CONGELAMIENTO%2520PRECIOS_0.pdf,2020-11-26,2020-11-26T00:24:08Z,12,0,0,,,,,,,,,140,4375,0,2,-0.28166955,-0.04872363,-0.20141026,7,30,8075060,18677977769,2313.04507,3.643017191,15.9042908,23.650611,7.74632015,1,1,0.119463362,0.190235002,659606,0.494645
