"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3JqKZlI8bjqwtxEDr","514200","new_entry","original",NA,NA,"Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.",2020-03-13,2020-03-16,2020-04-13,"Iceland","ISL","IS","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0125036912856,50.7534863758262,49.4734768844878,76,"https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/",2020-04-02,2020-04-02 17:01:19
"2","R_3JqKZlI8bjqwtxEBg","514200","new_entry","original",NA,NA,"Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.",2020-03-13,2020-03-16,2020-04-13,"Iceland","ISL","IS","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0125036912856,50.7534863758262,49.4734768844878,76,"https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/",2020-04-02,2020-04-02 17:01:19
"3","R_bIzZet9xGLvbfqNCv","514200","update","original",NA,"Strengthening","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,"Iceland","ISL","IS","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/",2020-04-14,2020-04-14 13:57:39
"4","R_bIzZet9xGLvbfqNCw","514200","update","original",NA,"Strengthening","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,"Iceland","ISL","IS","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/",2020-04-14,2020-04-14 13:57:39
"5","R_bIzZet9xGLvbfqNDr","514200","update","original",NA,"Strengthening","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,"Iceland","ISL","IS","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/",2020-04-14,2020-04-14 13:57:39
"6","R_bIzZet9xGLvbfqNBg","514200","update","original",NA,"Strengthening","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,"Iceland","ISL","IS","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/",2020-04-14,2020-04-14 13:57:39
"7","R_2VIvRwzamHWwbqZDr","514200","update","original","End of Policy","Strengthening","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,2020-04-13,"Iceland","ISL","IS","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA",2020-09-21,2020-09-21 16:22:50
"8","R_2VIvRwzamHWwbqZBg","514200","update","original","End of Policy","Strengthening","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,2020-04-13,"Iceland","ISL","IS","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA",2020-09-21,2020-09-21 16:22:50
"9","R_1DOr8iSgjgaZZMaNA","6036807","new_entry","original",NA,NA,"The national commissioner of the Icelandic police raises the alert level of the response to COVID-19 to emergency phase on March 6th, following the confirmation of the first transmissions of the virus within Iceland.",2020-03-06,2020-03-06,NA,"Iceland","ISL","IS","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Police",50.5656535162257,48.6444347859722,45.6687801295949,47,"https://www.government.is/news/article/2020/03/09/response-to-COVID-19-in-Iceland/",2020-04-02,2020-04-02 18:13:49
"10","R_2c6KSKAV23q6uR2NA","6036807","update","original","End of Policy",NA,"The national commissioner of the Icelandic police raises the alert level of the response to COVID-19 to emergency phase on March 6th, following the confirmation of the first transmissions of the virus within Iceland. The national emergency rating was lowered on May 25.",2020-05-20,2020-05-25,NA,"Iceland","ISL","IS","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Iceland",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Police",NA,NA,NA,NA,"NA",2020-07-21,2020-07-21 15:20:20
"11","R_2mCqfq6IW7MEoUxNA","3763985","new_entry","original",NA,NA,"Iceland issues travel ban on non-EU/EEA/EFTA or UK national starting from March 20th",2020-03-20,2020-03-20,2020-04-17,"Iceland","ISL","IS","National",0,NA,NA,"External Border Restrictions",NA,NA,"",NA,"One or more regional groupings","Europe,European Union (without the UK),Schengen Area (without the UK),Schengen Area (with the UK),Africa,Asia,ASEAN Countries,North America,Latin America,Central America,Oceania,Middle East",NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",52.4222141932676,51.3463099827639,50.395790427708,71,"https://www.utl.is/index.php/en/about-directorate-of-immigration/news/1085-travel-restrictions-to-iceland-and-14-day-quarantine-for-all-residents",2020-04-02,2020-04-02 18:34:10
"12","R_ctBJNRZtFwawdEJBe","3395575","new_entry","original",NA,NA,"In Iceland from June 15th, tourists will be able to provide a health certificate or opt for a coronavirus screening at Keflavik airport, instead of completing a two-week quarantine.",2020-06-02,2020-06-15,NA,"Iceland","ISL","IS","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://grapevine.is/news/2020/06/02/covid-19-tourist-tests-epidemiologists-proposal-approved-economic-analysis/",2020-07-21,2020-07-21 15:33:26
"13","R_ctBJNRZtFwawdEJBb","3395575","new_entry","original",NA,NA,"In Iceland from June 15th, tourists will be able to provide a health certificate or opt for a coronavirus screening at Keflavik airport, instead of completing a two-week quarantine.",2020-06-02,2020-06-15,NA,"Iceland","ISL","IS","National",0,NA,NA,"External Border Restrictions","Health Certificates",NA,"","All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://grapevine.is/news/2020/06/02/covid-19-tourist-tests-epidemiologists-proposal-approved-economic-analysis/",2020-07-21,2020-07-21 15:33:26
