record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3lug1ww02xx0cQbNA,3229554,new_entry,original,,,"The Indonesian police will be monitoring the internet for hoaxes about the Covid-19 as well as insults to the president, announced on April 4.",2020-04-04,2020-04-04,,Indonesia,IDN,ID,National,1,,,,Anti-Disinformation Measures,,,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",54.8292613559117,53.7248677274258,52.8803702754084,147,https://news.detik.com/berita/d-4966256/darurat-corona-polri-patroli-khusus-pantau-hoax-dan-penghinaan-presiden,2020-05-22,2020-05-22T23:56:51Z,2092,191,150,365,7986,0.029,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_31Z6vSC0a5xk8TXDq,749801,new_entry,original,,,"The city council of Solo closed schools in the city for 14 days, from March 14.",2020-03-14,2020-03-14,2020-03-28,Indonesia,IDN,ID,Municipal,1,,,Solo,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Indonesia,,,,Solo,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Municipal Government,Other (Please specify in the text box)",51.3744224777423,50.3991462788005,49.3485175517618,75,https://www.cnbcindonesia.com/news/20200314091326-4-144849/2-warganya-positif-corona-solo-liburkan-sekolah-14-hari,2020-04-09,2020-04-09T09:28:11Z,96,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_31Z6vSC0a5xk8TXEq,749801,new_entry,original,,,"The city council of Solo closed schools in the city for 14 days, from March 14.",2020-03-14,2020-03-14,2020-03-28,Indonesia,IDN,ID,Municipal,1,,,Solo,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Indonesia,,,,Solo,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Municipal Government,Other (Please specify in the text box)",51.3744224777423,50.3991462788005,49.3485175517618,75,https://www.cnbcindonesia.com/news/20200314091326-4-144849/2-warganya-positif-corona-solo-liburkan-sekolah-14-hari,2020-04-09,2020-04-09T09:28:11Z,96,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieDo,293133,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",51.4997296543075,50.5411137714989,49.5089256694139,75,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieDq,293133,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",51.4997296543075,50.5411137714989,49.5089256694139,75,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieEq,293133,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",51.4997296543075,50.5411137714989,49.5089256694139,75,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieBu,293133,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",51.4997296543075,50.5411137714989,49.5089256694139,75,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_2cubrxAb4XC4GlKDo,293133,update,original,End of Policy,,"The president of Indonesia and the Ministry of Education permits and supports regional governments to close schools in their regions, March 15. On June 15, the Ministry provided a firmer policy for schools at the basic education level. UPDATE: Ending the policy on June 15, to be continued with a firmer policy.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",51.4997296543075,50.5411137714989,49.5089256694139,75,NA,2020-06-26,2020-06-26T13:52:38Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_2cubrxAb4XC4GlKDq,293133,update,original,End of Policy,,"The president of Indonesia and the Ministry of Education permits and supports regional governments to close schools in their regions, March 15. On June 15, the Ministry provided a firmer policy for schools at the basic education level. UPDATE: Ending the policy on June 15, to be continued with a firmer policy.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",51.4997296543075,50.5411137714989,49.5089256694139,75,NA,2020-06-26,2020-06-26T13:52:38Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_2cubrxAb4XC4GlKEq,293133,update,original,End of Policy,,"The president of Indonesia and the Ministry of Education permits and supports regional governments to close schools in their regions, March 15. On June 15, the Ministry provided a firmer policy for schools at the basic education level. UPDATE: Ending the policy on June 15, to be continued with a firmer policy.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",51.4997296543075,50.5411137714989,49.5089256694139,75,NA,2020-06-26,2020-06-26T13:52:38Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
