"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1ovjlb4kqfvXoUAEd",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"2","R_1ovjlb4kqfvXoUABy",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"3","R_1ovjlb4kqfvXoUAEw",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"4","R_1ovjlb4kqfvXoUADb",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of an annually recurring event",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"5","R_1ovjlb4kqfvXoUABw",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"6","R_1ovjlb4kqfvXoUAFb",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"7","R_1ovjlb4kqfvXoUAAf",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","77400",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"8","R_1ovjlb4kqfvXoUAAa",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","18000",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"9","R_1ovjlb4kqfvXoUADe",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"10","R_1ovjlb4kqfvXoUAEc",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"11","R_1ovjlb4kqfvXoUACt",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Other public facilities",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"12","R_1ovjlb4kqfvXoUAAl",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","All or unspecified non-essential businesses",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"13","R_1ovjlb4kqfvXoUACn",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Other Health Infrastructure",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"14","R_1ovjlb4kqfvXoUACj",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Other Areas Hygiene Measures Applied",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"15","R_1ovjlb4kqfvXoUAAy",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Disseminating information related to COVID-19 to the public that is reliable and factually accurate",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"16","R_1ovjlb4kqfvXoUACe",8077239,"new_entry","original",NA,NA,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","New Task Force or Bureau (i.e. establishment of a temporary body)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,"https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992",2020-07-29,2020-07-29 08:32:19
"17","R_2rBhLEnUJHlbc7qEd",8140318,"new_entry","original",NA,NA,"On July 20, A new report by the Department for Digital, Culture, Media and Sport (DCMS) Select Committee has urged the Ireland Government to appoint an online harms regulator to hold online platforms to account. The report highlighted the spread of false claims online linking 5G to the virus, resulting in threats being made against telecoms engineers, as a clear sign of the dangers misinformation can pose.",2020-07-20,2020-07-20,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.irishnews.com/magazine/technology/2020/07/20/news/misinformation-spreading-easily-without-online-harms-regulator-mps-say-2011508/",2020-07-29,2020-07-29 08:41:40
"18","R_2rBhLEnUJHlbc7qBy",8140318,"new_entry","original",NA,NA,"On July 20, A new report by the Department for Digital, Culture, Media and Sport (DCMS) Select Committee has urged the Ireland Government to appoint an online harms regulator to hold online platforms to account. The report highlighted the spread of false claims online linking 5G to the virus, resulting in threats being made against telecoms engineers, as a clear sign of the dangers misinformation can pose.",2020-07-20,2020-07-20,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.irishnews.com/magazine/technology/2020/07/20/news/misinformation-spreading-easily-without-online-harms-regulator-mps-say-2011508/",2020-07-29,2020-07-29 08:41:40
"19","R_2rBhLEnUJHlbc7qEw",8140318,"new_entry","original",NA,NA,"On July 20, A new report by the Department for Digital, Culture, Media and Sport (DCMS) Select Committee has urged the Ireland Government to appoint an online harms regulator to hold online platforms to account. The report highlighted the spread of false claims online linking 5G to the virus, resulting in threats being made against telecoms engineers, as a clear sign of the dangers misinformation can pose.",2020-07-20,2020-07-20,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.irishnews.com/magazine/technology/2020/07/20/news/misinformation-spreading-easily-without-online-harms-regulator-mps-say-2011508/",2020-07-29,2020-07-29 08:41:40
"20","R_2rBhLEnUJHlbc7qDb",8140318,"new_entry","original",NA,NA,"On July 20, A new report by the Department for Digital, Culture, Media and Sport (DCMS) Select Committee has urged the Ireland Government to appoint an online harms regulator to hold online platforms to account. The report highlighted the spread of false claims online linking 5G to the virus, resulting in threats being made against telecoms engineers, as a clear sign of the dangers misinformation can pose.",2020-07-20,2020-07-20,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of an annually recurring event",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.irishnews.com/magazine/technology/2020/07/20/news/misinformation-spreading-easily-without-online-harms-regulator-mps-say-2011508/",2020-07-29,2020-07-29 08:41:40
"21","R_2rBhLEnUJHlbc7qBw",8140318,"new_entry","original",NA,NA,"On July 20, A new report by the Department for Digital, Culture, Media and Sport (DCMS) Select Committee has urged the Ireland Government to appoint an online harms regulator to hold online platforms to account. The report highlighted the spread of false claims online linking 5G to the virus, resulting in threats being made against telecoms engineers, as a clear sign of the dangers misinformation can pose.",2020-07-20,2020-07-20,NA,"Ireland","IRL","IE","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.irishnews.com/magazine/technology/2020/07/20/news/misinformation-spreading-easily-without-online-harms-regulator-mps-say-2011508/",2020-07-29,2020-07-29 08:41:40
