record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_8DgqaGDYYybobYdNA,5892624,new_entry,original,,,"On April 16, 2020, the Italian Ministry of Health published refutations of leading fake news surrounding the virus.",2020-04-16,2020-04-16,,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,55.668270600664,53.6127063851077,52.0608842147606,126,http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4485,2020-07-26,2020-07-26T00:49:25Z,168941,22170,40164,60999,1178403,19.49,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_vTTY50d1Ad8SaeRBu,5811092,new_entry,original,,,"On February 1, 2020, the Italian Ministry of Health stated that Italian students (tertiary education) should follow hygienic prevention measures: avoiding contacts with people showing symptoms and in case of use of paper handkerchiefs once used they must be thrown away",2020-02-01,2020-02-01,,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with no conditions,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health,Ministry/Department of Education",49.771127166128,47.6784386393246,45.2347600789345,104,https://www.miur.gov.it/documents/20182/0/Circolare+Scuola.pdf/b0ec8ca3-be19-14eb-1e7f-98227b9ed495?version=1.1&t=1580573247760,2020-11-25,2020-11-25T20:23:35Z,2,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3gN4kR7r3vVQx0SBu,4067538,new_entry,original,,,"On February 1, 2020, the Italian Ministry of Health stated that Italian students that had contacts with an infected person must call the emergency numbers within a period of 14 days",2020-02-01,2020-02-01,,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with no conditions,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,49.771127166128,47.6784386393246,45.2347600789345,104,https://www.miur.gov.it/documents/20182/0/Circolare+Scuola.pdf/b0ec8ca3-be19-14eb-1e7f-98227b9ed495?version=1.1&t=1580573247760,2020-11-26,2020-11-26T07:49:33Z,2,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_1r7AeScFi9N7zG1Bu,4067538,update,correction,,,"February 1, 2020: The Italian Ministry of Health stated that Italian students that had contacts with an infected person must call the emergency numbers within a period of 14 days UPDATE: The link originally attached was not added in Shiny.",2020-02-01,2020-02-01,,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with no conditions,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,49.771127166128,47.6784386393246,45.2347600789345,104,https://www.miur.gov.it/documents/20182/0/Circolare+Scuola.pdf/b0ec8ca3-be19-14eb-1e7f-98227b9ed495?version=1.1&t=1580573247760,2021-01-18,2021-01-18T18:25:30Z,2,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3fLAQq3aP6aCzHbDr,6850900,new_entry,correction,,,"February 22, 2020: Italy is enforcing a School Closure in ten Municipalities in the northern region of Lombardy and Venetia:  Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo.",2020-02-21,2020-02-22,2020-03-09,Italy,ITA,IT,Municipal,1,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Italy,,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.3659618573185,50.4556397833058,48.7851655581224,175,https://www.spiegel.de/wissenschaft/medizin/italien-regierung-will-staedte-abriegeln-um-ausbreitung-von-coronavirus-a-c062891c-5c59-48a1-b8e3-eaf2578d2b9f,2021-01-18,2021-01-18T18:27:19Z,62,2,1,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3fLAQq3aP6aCzHbDt,6850900,new_entry,correction,,,"February 22, 2020: Italy is enforcing a School Closure in ten Municipalities in the northern region of Lombardy and Venetia:  Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo.",2020-02-21,2020-02-22,2020-03-09,Italy,ITA,IT,Municipal,1,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Italy,,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.3659618573185,50.4556397833058,48.7851655581224,175,https://www.spiegel.de/wissenschaft/medizin/italien-regierung-will-staedte-abriegeln-um-ausbreitung-von-coronavirus-a-c062891c-5c59-48a1-b8e3-eaf2578d2b9f,2021-01-18,2021-01-18T18:27:19Z,62,2,1,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3fLAQq3aP6aCzHbEu,6850900,new_entry,correction,,,"February 22, 2020: Italy is enforcing a School Closure in ten Municipalities in the northern region of Lombardy and Venetia:  Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo.",2020-02-21,2020-02-22,2020-03-09,Italy,ITA,IT,Municipal,1,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Italy,,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.3659618573185,50.4556397833058,48.7851655581224,175,https://www.spiegel.de/wissenschaft/medizin/italien-regierung-will-staedte-abriegeln-um-ausbreitung-von-coronavirus-a-c062891c-5c59-48a1-b8e3-eaf2578d2b9f,2021-01-18,2021-01-18T18:27:19Z,62,2,1,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3fLAQq3aP6aCzHbBu,6850900,new_entry,correction,,,"February 22, 2020: Italy is enforcing a School Closure in ten Municipalities in the northern region of Lombardy and Venetia:  Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo.",2020-02-21,2020-02-22,2020-03-09,Italy,ITA,IT,Municipal,1,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Italy,,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.3659618573185,50.4556397833058,48.7851655581224,175,https://www.spiegel.de/wissenschaft/medizin/italien-regierung-will-staedte-abriegeln-um-ausbreitung-von-coronavirus-a-c062891c-5c59-48a1-b8e3-eaf2578d2b9f,2021-01-18,2021-01-18T18:27:19Z,62,2,1,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3FPrswO7dkSXQHwDr,7885589,new_entry,correction,,,"February 23, 2020: The Government releases a decree-law suspending in-class lessons, activities and field-trips for all levels of education in the areas at higher risk. Distance-learning and virtual activities will still take place. The proceedings are part of a broader set of norms designed to contain the spread of the virus.",2020-02-23,2020-02-23,2020-03-01,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Italy,One or more cities within a country,,Lombardy,Bertonico (Lombardy); Casalpusterlengo (Lombardy); Castelgerundo (Lombardy); Castiglione D’Adda (Lombardy); Codogno(Lombardy); Fombio (Lombardy); Maleo (Lombardy); San Fiorano (Lombardy); Somaglia (Lombardy); Terranova dei Passerini (Lombardy); Vò (Veneto),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",52.7147393500191,50.6569071169058,48.5805784431482,175,https://www.gazzettaufficiale.it/eli/gu/2020/02/23/45/sg/pdf,2020-12-10,2020-12-10T17:35:35Z,155,3,2,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3FPrswO7dkSXQHwDt,7885589,new_entry,correction,,,"February 23, 2020: The Government releases a decree-law suspending in-class lessons, activities and field-trips for all levels of education in the areas at higher risk. Distance-learning and virtual activities will still take place. The proceedings are part of a broader set of norms designed to contain the spread of the virus.",2020-02-23,2020-02-23,2020-03-01,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Italy,One or more cities within a country,,Lombardy,Bertonico (Lombardy); Casalpusterlengo (Lombardy); Castelgerundo (Lombardy); Castiglione D’Adda (Lombardy); Codogno(Lombardy); Fombio (Lombardy); Maleo (Lombardy); San Fiorano (Lombardy); Somaglia (Lombardy); Terranova dei Passerini (Lombardy); Vò (Veneto),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",52.7147393500191,50.6569071169058,48.5805784431482,175,https://www.gazzettaufficiale.it/eli/gu/2020/02/23/45/sg/pdf,2020-12-10,2020-12-10T17:35:35Z,155,3,2,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
