record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1rqzyewrIoRnvstDi,1816753,new_entry,original,,,"On 15th March 2020, Kenya suspended learning of  all ""education institutions with immediate effect"".  This is through a phased out approach where,""primary and secondary day schools are to suspend operations from tomorrow"" that is 16th March, ""boarding schools, the school administration is to ensure that students are home by Wednesday, 18th March 2020"" and ""Universities and Tertiary Institutions are to close by Friday, 20th March 2020"".",2020-02-15,2020-02-15,,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",51.6311656387913,47.7520863830815,42.6187030312607,53,http://www.mfa.go.ke/?p=3115,2020-04-03,2020-04-03T10:03:29Z
R_1rqzyewrIoRnvstDk,1816753,new_entry,original,,,"On 15th March 2020, Kenya suspended learning of  all ""education institutions with immediate effect"".  This is through a phased out approach where,""primary and secondary day schools are to suspend operations from tomorrow"" that is 16th March, ""boarding schools, the school administration is to ensure that students are home by Wednesday, 18th March 2020"" and ""Universities and Tertiary Institutions are to close by Friday, 20th March 2020"".",2020-02-15,2020-02-15,,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",51.6311656387913,47.7520863830815,42.6187030312607,53,http://www.mfa.go.ke/?p=3115,2020-04-03,2020-04-03T10:03:29Z
R_1rqzyewrIoRnvstEj,1816753,new_entry,original,,,"On 15th March 2020, Kenya suspended learning of  all ""education institutions with immediate effect"".  This is through a phased out approach where,""primary and secondary day schools are to suspend operations from tomorrow"" that is 16th March, ""boarding schools, the school administration is to ensure that students are home by Wednesday, 18th March 2020"" and ""Universities and Tertiary Institutions are to close by Friday, 20th March 2020"".",2020-02-15,2020-02-15,,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",51.6311656387913,47.7520863830815,42.6187030312607,53,http://www.mfa.go.ke/?p=3115,2020-04-03,2020-04-03T10:03:29Z
R_1rqzyewrIoRnvstBr,1816753,new_entry,original,,,"On 15th March 2020, Kenya suspended learning of  all ""education institutions with immediate effect"".  This is through a phased out approach where,""primary and secondary day schools are to suspend operations from tomorrow"" that is 16th March, ""boarding schools, the school administration is to ensure that students are home by Wednesday, 18th March 2020"" and ""Universities and Tertiary Institutions are to close by Friday, 20th March 2020"".",2020-02-15,2020-02-15,,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",51.6311656387913,47.7520863830815,42.6187030312607,53,http://www.mfa.go.ke/?p=3115,2020-04-03,2020-04-03T10:03:29Z
R_9WvPQQm8JwF2XnPDi,1458091,new_entry,original,,,Kenya has shuttered schools as two new coronavirus cases were confirmed. All educational institutions suspended effective immediately.,2020-03-15,2020-03-15,2020-10-12,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",51.2268612294406,50.1368068849695,48.557678131246,64,https://www.aa.com.tr/en/africa/coronavirus-kenya-shuts-schools-as-new-cases-confirmed/1767139 ; https://www.voanews.com/covid-19-pandemic/kenya-partially-reopens-schools-6-months-after-covid-shuttered-them,2020-10-28,2020-10-28T11:58:37Z
R_9WvPQQm8JwF2XnPDk,1458091,new_entry,original,,,Kenya has shuttered schools as two new coronavirus cases were confirmed. All educational institutions suspended effective immediately.,2020-03-15,2020-03-15,2020-10-12,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",51.2268612294406,50.1368068849695,48.557678131246,64,https://www.aa.com.tr/en/africa/coronavirus-kenya-shuts-schools-as-new-cases-confirmed/1767139 ; https://www.voanews.com/covid-19-pandemic/kenya-partially-reopens-schools-6-months-after-covid-shuttered-them,2020-10-28,2020-10-28T11:58:37Z
R_9WvPQQm8JwF2XnPEj,1458091,new_entry,original,,,Kenya has shuttered schools as two new coronavirus cases were confirmed. All educational institutions suspended effective immediately.,2020-03-15,2020-03-15,2020-10-12,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",51.2268612294406,50.1368068849695,48.557678131246,64,https://www.aa.com.tr/en/africa/coronavirus-kenya-shuts-schools-as-new-cases-confirmed/1767139 ; https://www.voanews.com/covid-19-pandemic/kenya-partially-reopens-schools-6-months-after-covid-shuttered-them,2020-10-28,2020-10-28T11:58:37Z
R_9WvPQQm8JwF2XnPBr,1458091,new_entry,original,,,Kenya has shuttered schools as two new coronavirus cases were confirmed. All educational institutions suspended effective immediately.,2020-03-15,2020-03-15,2020-10-12,Kenya,KEN,KE,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",51.2268612294406,50.1368068849695,48.557678131246,64,https://www.aa.com.tr/en/africa/coronavirus-kenya-shuts-schools-as-new-cases-confirmed/1767139 ; https://www.voanews.com/covid-19-pandemic/kenya-partially-reopens-schools-6-months-after-covid-shuttered-them,2020-10-28,2020-10-28T11:58:37Z
R_2wHWSCNDfYpBVyFNA,4122311,new_entry,original,,,"on 25th March 2020, through a Presidential Statement in Kenya, it directed the, National Treasury to  implement the following immediate reliefs and increase disposable income to the people of Kenya, through:
a. 100 % Tax Relief for persons earning gross monthly income of up to Ksh. 24,000.
b. Reduction of Income Tax Rate (Pay-As-You-Earn) from 30% to 25%.
c. Reduction of Resident Income Tax (Corporation Tax) from 30% to 25%;
d. Reduction of the turnover tax rate from the current 3% to 1% for all Micro, Small and Medium Enterprises (MSMEs);
e.  Appropriation of an additional Ksh. 10 Billion to the elderly, orphans and other vulnerable members of our society through cash-transfers by the Ministry of Labour and Social Protection, to cushion them from the adverse economic effects of the COVID-19 pandemic;
f.  Temporary suspension of the listing with Credit Reference Bureaus (CRB) of any person, Micro, Small and Medium Enterprises (MSMES) and corporate entities whose loan account fall overdue or is in arrears, effective 1st April, 2020; and
g. Immediate reduction of the VAT from 16% to 14%, effective 1st April,2020. 

The President directed all the: 
a. Ministries and Departments to ""cause the payment of at least of Ksh. 13 Billion of the verified pending bills, within three weeks from the date hereof. Similarly, and to improve liquidity in the economy and ensure businesses remain afloat by enhancing their cash flows, the private sector is also encouraged to clear all outstanding payments among themselves; within three weeks from the date hereof"".
b.  Kenya Revenue Authority to ""expedite the payment of all verified VAT refund claims amounting to Ksh. 10 Billion within 3 weeks; or in the alternative, allow for offsetting of Withholding VAT, in order to improve cash flows for businesses"".
c.  Directed the recruitment of additional health workers, ""Ksh. 1.0 billion from the Universal Health Coverage kitty, be immediately appropriated strictly towards the recruitment of additional health workers to support in the management of the spread of COVID-19"". In that regard, ""I further direct the Ministry of Health, the County Governments and the Public Service Commission to expedite the recruitment process"". 
d. Reduction of salaries and my ""Administration has offered a voluntary reduction in the salaries of the senior ranks of the National Executive, as follows: The President & Deputy President – 80%; Cabinet Secretaries – 30%; Chief Administrative Secretaries – 30%; Principal Secretaries – 20%. ""Call on the other arms of Government and tiers of Government to join us in this national endeavour, by making similar voluntary reductions; which will free-up monies to combat this pandemic"".
The President further directed that:
a. All those aged above 58 years of age and above and working in job Group S, mandatory work from home excluding those working in essential services, ""hereby order and direct that all State and Public Officers with pre-existing medical conditions and/or aged 58 years and above, serving in Job Group S and below or their equivalents, take leave or forthwith work from home, excluding personnel in the security sector and other essential services as outlined in the circular issued to the Public Service on 16th March, 2020"".
b. The government directed the Central Bank of Kenya, ""a.  The lowering of the Central Bank Rate (CBR) to 7.25% from 8.25% which will prompt commercial banks to lower the interest rates to their borrowers, availing the much needed and affordable credit to MSMEs across the country; b. The lowering of the Cash Reserve Ratio (CRR) to 4.25 percent from 5.25 percent will provide additional liquidity of Ksh. 35 Billion to commercial banks to directly support borrowers that are distressed as a result of the economic effects of the COVID-19 pandemic,; and c. The Central Bank of Kenya shall provide flexibility to banks with regard to requirements for loan classification and provisioning for loans that were performing as at March 2, 2020 and whose repayment period was extended or were restructured due to the pandemic"".
The government issued a curfew order and observed that, ""That effective Friday, 27th March, 2020; a Daily Curfew from 7 p.m. to 5 a.m. shall be in effect in the territory of the Republic of Kenya, with all movement by persons not authorized to do so or not being Medical Professionals, Health Workers, Critical and Essential Services Providers, being prohibited between those hours (The full list of Critical and Essential Service Providers is annexed to this Statement)"".
",2020-03-25,2020-03-28,,Kenya,KEN,KE,National,1,,,Curfew,,,"",Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",54.3631829311403,53.2996079181481,52.3387032450669,140,http://www.mfa.go.ke/wp-content/uploads/2020/03/presidential-address-25th-march-2020.pdf,2020-03-28,2020-03-28T15:13:38Z
R_1i24NENI31dXgQqNA,4069660,update,original,,,"On 30th March 2020, the Government sought to vary the original curfew order by requiring employers let employees leave work by 4.00 pm  and stated that, “To facilitate compliance with the Order, all employers shall ensure that their staff who are not designated as critical or essential services providers leave the workplace no later than 4:00 O’clock in
the afternoon.”",2020-03-30,2020-03-30,2020-07-06,Kenya,KEN,KE,National,1,,,Curfew,,,"",Kenya,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government,Police",55.127353667756,53.3363903967804,51.8568729620579,141,NA,2020-04-01,2020-04-01T17:57:23Z
