"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2DUjZdcwL4sALrtDo",6761663,"new_entry","original","NA",NA,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

","2020-03-11","2020-03-12","2020-03-27","Kosovo","-","-","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/","2020-09-15","2020-09-15 19:41:01"
"2","R_2DUjZdcwL4sALrtEm",6761663,"new_entry","original","NA",NA,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

","2020-03-11","2020-03-12","2020-03-27","Kosovo","-","-","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/","2020-09-15","2020-09-15 19:41:01"
"3","R_2AMh60euLJiCPWyFg",3312054,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

3. An immediate suspension of public transport, as well as organised international transport

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Kosovo","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:36:02"
"4","R_214AEVRaAas0ouEFg",7074601,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

4. The borders of Kosovo are closed to all foreign citizens.","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Kosovo","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:38:48"
"5","R_Zn856LODoWos1DrFg",4570949,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

5. From March 16 at 00:00, all airline services are suspended with the exception of military and aid services.

","2020-03-13","2020-03-16",NA,"Kosovo","-","-","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Kosovo","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:45:50"
"6","R_wRYXUsXQ9Z4sPf3Cx",6950692,"new_entry","original","NA",NA,"The measures, proposed by Kosovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.
In full, the following measures were announced by the Kosovo Government: 

7. To prohibit the export of medicine and material from Kosovo pharmaceutical producers, except when approved by a government decision


","2020-03-11","2020-03-12",NA,"Kosovo","-","-","National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/","2020-09-15","2020-09-15 19:44:20"
"7","R_3lSlb8zq73xTjOzEn",2870898,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

4. Returning Kosovars will be subject to detailed medical checks
","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",0,NA,NA,"Health Testing",NA,NA,"","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:40:58"
"8","R_YRdcWkzGajUbtbbEn",9161156,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

1. A ban on entry and exit from the town of Klina

2. A ban on entry and exit from the town of Viti




","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Internal Border Restrictions",NA,NA,"","Kosovo","A geographical or administrative unit within a country",NA,NA,"Klina (Pec); Viti (Gjilan)",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:23:56"
"9","R_2vYPTbxfWD8C9pdCi",2839338,"new_entry","original","NA",NA,"BIRN was informed by the Director of Health at the Municipality of Viti, Basri Aliu, that 17 members of staff from the Family Medicine Centre in the town have gone into isolation, while the entire village of Stubell is reported to have been put into quarantine.

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","Other (e.g., county)",0,"Gjilan",NA,"Lockdown","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,"","Kosovo",NA,NA,"Gjilan",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Municipal Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 19:06:18"
"10","R_124stobQz6ZYZRTEn",7041507,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

3. An immediate suspension of public transport, as well as organised international transport

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Transportation was listed as an example of an essential government service; in this instance, Kosovo has suspended all public transport, meaning it is the restriction of an essential government service","","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:32:34"
"11","R_33qkcFKvVhAev0SEn",5202165,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

4. The borders of Kosovo are closed to all foreign citizens. Returning Kosovars will be subject to detailed medical checks with the instruction to self-quarantine for the next 15 days following entry.

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",0,NA,NA,"Quarantine","Self-Quarantine (i.e. quarantine at home)",NA,"","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:43:34"
"12","R_2zikjXXiZUYrE3ZAv",3488472,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

6. The closure of all cafeterias, bars and restaurants

7. The closure of livestock and automobile markets

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Businesses","All or unspecified non-essential businesses",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:48:39"
"13","R_22xEZHC3j3YSbytAv",6780089,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

9. All private sector employees are obliged to work from home

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Businesses","All or unspecified non-essential businesses",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:55:36"
"14","R_1rOo7kCyHbDDptFAv",7160792,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

11. The closure of shopping malls and most retail outlets, excluding pharmacies and supermarkets.

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Businesses","All or unspecified non-essential businesses",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 19:00:03"
"15","R_3rNTO4ZFFOawkqcAv",7590844,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

9. All private sector employees are obliged to work from home

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Businesses","All or unspecified non-essential businesses",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:53:35"
"16","R_1rNuzIhg0ZS1vLxEn",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Self-Quarantine (i.e. quarantine at home)",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"17","R_1rNuzIhg0ZS1vLxCi",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"18","R_1rNuzIhg0ZS1vLxFg",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Visa extensions (e.g. visa validity extended)",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"19","R_1rNuzIhg0ZS1vLxDk",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Postponement of a recreational or commercial event",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"20","R_1rNuzIhg0ZS1vLxCg",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"21","R_1rNuzIhg0ZS1vLxFl",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Wearing Masks in all public spaces/everywhere",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"22","R_1rNuzIhg0ZS1vLxAp",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","82800",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"23","R_1rNuzIhg0ZS1vLxAd",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","21600",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"24","R_1rNuzIhg0ZS1vLxDo",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Primary Schools (generally for children ages 10 and below)",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"25","R_1rNuzIhg0ZS1vLxEm",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Secondary Schools (generally for children ages 10 to 18)",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"26","R_1rNuzIhg0ZS1vLxDd",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Other public facilities",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"27","R_1rNuzIhg0ZS1vLxAv",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","All or unspecified non-essential businesses",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"28","R_1rNuzIhg0ZS1vLxCx",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Other Health Infrastructure",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
"29","R_1rNuzIhg0ZS1vLxCt",7803725,"new_entry","original","NA",NA,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

8. A reduction in the work of all public institutions besides the security and health sectors

","2020-03-13","2020-03-13",NA,"Kosovo","-","-","National",1,NA,NA,"Restriction and Regulation of Government Services","Other Areas Hygiene Measures Applied",NA,"","Kosovo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/","2020-09-15","2020-09-15 18:51:30"
