"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2xVrRERiK4QupkmDf","2400827","new_entry","original",NA,NA,"Luxemburg is closing schools.",2020-03-12,2020-03-16,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/12-cdg-extraordinaire-coronavirus.html",2020-04-02,2020-04-02 21:27:55
"2","R_2xVrRERiK4QupkmDh","2400827","new_entry","original",NA,NA,"Luxemburg is closing schools.",2020-03-12,2020-03-16,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/12-cdg-extraordinaire-coronavirus.html",2020-04-02,2020-04-02 21:27:55
"3","R_2xVrRERiK4QupkmEd","2400827","new_entry","original",NA,NA,"Luxemburg is closing schools.",2020-03-12,2020-03-16,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/12-cdg-extraordinaire-coronavirus.html",2020-04-02,2020-04-02 21:27:55
"4","R_2xVrRERiK4QupkmBo","2400827","new_entry","original",NA,NA,"Luxemburg is closing schools.",2020-03-12,2020-03-16,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/12-cdg-extraordinaire-coronavirus.html",2020-04-02,2020-04-02 21:27:55
"5","R_2bOy7UGve8CwfXUDh","9987272","new_entry","original",NA,NA,"Luxemburg: Corona School Start",2020-04-16,2020-05-11,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.tageblatt.lu/headlines/die-schule-wird-nicht-die-gleiche-wie-vor-der-ausgangssperre-sein/",2020-07-10,2020-07-10 15:25:37
"6","R_2bOy7UGve8CwfXUEd","9987272","new_entry","original",NA,NA,"Luxemburg: Corona School Start",2020-04-16,2020-05-11,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.tageblatt.lu/headlines/die-schule-wird-nicht-die-gleiche-wie-vor-der-ausgangssperre-sein/",2020-07-10,2020-07-10 15:25:37
"7","R_2bOy7UGve8CwfXUBo","9987272","new_entry","original",NA,NA,"Luxemburg: Corona School Start",2020-04-16,2020-05-11,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.tageblatt.lu/headlines/die-schule-wird-nicht-die-gleiche-wie-vor-der-ausgangssperre-sein/",2020-07-10,2020-07-10 15:25:37
"8","R_1rvUKGTReGlQV04NA","15554","new_entry","original",NA,NA,"Luxemburg is restricting social movement to essential acitivities, including grocery shopping, essential travel to work, way to hospital, in order to visit people in need, in an emergency situation and in order to exercise (with 2 meters distance).",2020-03-15,2020-03-16,NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Curfew",NA,NA,"","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/15-nouvelles-mesures-coronavirus.html",2020-04-02,2020-04-02 21:42:20
"9","R_0kpejat4tkgAPgBNA","3541210","new_entry","original",NA,NA,"Luxemburg has established, from October 30, a curfew from 11 pm to 6 am, exceptions made for major forces, working, or doctor checking.",2020-10-28,2020-10-30,2021-01-15,"Luxembourg","LUX","LU","National",1,NA,NA,"Curfew",NA,NA,"","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",NA,NA,NA,NA,"https://covid19.public.lu/fr/mesures-sanitaires-en-vigueur/couvre-feu.html ; https://www.wort.lu/fr/luxembourg/le-couvre-feu-connait-deja-ses-exceptions-5f9c0766de135b92368058de",2020-11-15,2020-11-15 19:34:10
"10","R_1kLZwtmlDDF7H1ONA","3541210","update","original","Change of Policy","Strengthening","Initially, Luxemburg has established, a curfew from 11 pm to 6 am, starting from October 30. With Prime Minister Bettel's new announcement on November 23, the curfew has been extended to December 15.",2020-11-23,2020-11-26,2021-01-15,"Luxembourg","LUX","LU","National",0,NA,NA,"Curfew",NA,NA,"","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",NA,NA,NA,NA,"NA ; https://5minutes.rtl.lu/actu/luxembourg/a/1618380.html ; RTL ; Xavier Bettel: ""C'est un coup de frein nécessaire""",2020-11-24,2020-11-24 15:07:32
