"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_UDzLshmCCzkauopDe",8744434,"new_entry","original",NA,NA,"In Madagascar, as of March 21, all schools, universities, and administrative offices will be closed.",2020-03-21,2020-03-21,2020-04-04,"Madagascar","MDG","MG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Madagascar",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",52.854168581084,51.8782730172584,50.8715066786324,91,"https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus",2020-04-01,2020-04-01 17:49:30
"2","R_UDzLshmCCzkauopEc",8744434,"new_entry","original",NA,NA,"In Madagascar, as of March 21, all schools, universities, and administrative offices will be closed.",2020-03-21,2020-03-21,2020-04-04,"Madagascar","MDG","MG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Madagascar",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",52.854168581084,51.8782730172584,50.8715066786324,91,"https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus",2020-04-01,2020-04-01 17:49:30
"3","R_2DOcs9BjcOLlXaODe",9142557,"new_entry","original",NA,NA,"The government announced that all schools in the Analamanga region are closed. The policy began on July 6th for 15 days.",2020-07-06,2020-07-06,2020-07-21,"Madagascar","MDG","MG","Provincial",1,"Analamanga",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Madagascar",NA,NA,"Analamanga",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",NA,NA,NA,NA,"https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/",2020-08-24,2020-08-24 21:36:05
"4","R_2DOcs9BjcOLlXaOEc",9142557,"new_entry","original",NA,NA,"The government announced that all schools in the Analamanga region are closed. The policy began on July 6th for 15 days.",2020-07-06,2020-07-06,2020-07-21,"Madagascar","MDG","MG","Provincial",1,"Analamanga",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Madagascar",NA,NA,"Analamanga",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",NA,NA,NA,NA,"https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/",2020-08-24,2020-08-24 21:36:05
"5","R_3P75x7iUG6IrbcgEd",638648,"new_entry","original",NA,NA,"In Madagascar, as of March 23, 2020, only shops selling basic goods will remain open : supermarkets, grocery stores, and neighborhood markets between the hours of 6 a.m. to 12 p.m.",2020-03-22,2020-03-23,NA,"Madagascar","MDG","MG","National",1,NA,NA,"Curfew",NA,NA,NA,"Madagascar","A geographical or administrative unit within a country",NA,NA,"Antananarivo ; Toamasina",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.8440782796881,53.762061866552,52.81659587822,167,"https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/summary-of-president-rajoelinas-statement-03-22-20/",2020-04-07,2020-04-07 18:35:16
"6","R_2t8L5WeiRHyQEmcEd",9604909,"new_entry","original",NA,NA,"In Madagascar, as of March 23, 2020, a curfew is in place between 8 p.m. and 5 a.m. in Antananarivo (Analamanga region) and Toamasina.",2020-03-22,2020-03-23,NA,"Madagascar","MDG","MG","National",1,NA,NA,"Curfew",NA,NA,NA,"Madagascar","A geographical or administrative unit within a country",NA,NA,"Antananarivo and Toamasina",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Police",54.8440782796881,53.762061866552,52.81659587822,167,"https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/summary-of-president-rajoelinas-statement-03-22-20/",2020-04-06,2020-04-06 02:34:12
"7","R_4SzFCEztLj6THWNEd",9604909,"update","original",NA,NA,"In Madagascar, as of April 5, 2020, a strict curfew is in place between 8 pm to 5 am for all regions. UPDATE: Strict curfew between 8 pm and 5 am now applies to all of Madagascar.",2020-04-05,2020-04-05,NA,"Madagascar","MDG","MG","National",1,NA,NA,"Curfew",NA,NA,NA,"Madagascar","All countries",NA,NA,"Antananarivo and Toamasina",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police",55.0249345667852,54.1170263780446,52.9660426816748,165,"https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/summary-of-president-rajoelinas-address-to-the-nation/",2020-04-06,2020-04-06 18:54:52
"8","R_323mYnilFSAQMsQEd",3820052,"new_entry","original",NA,NA,"The government of Madagascar has imposed a new curfew on the Analamanga region. Curfew is between 8 pm to 4 am.",2020-07-06,2020-08-06,2020-07-21,"Madagascar","MDG","MG","Provincial",1,"Analamanga",NA,"Curfew",NA,NA,NA,"Madagascar",NA,NA,"Analamanga",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government,Police",NA,NA,NA,NA,"https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/",2020-08-24,2020-08-24 21:26:21
"9","R_1N3Lt29h0YyFDh8Ed",9911326,"new_entry","original",NA,NA,"On 21 March the Government of Madagascar declared a Health State of Emergency (set to last two weeks, but extendable).",2020-03-21,2020-03-21,2020-04-04,"Madagascar","MDG","MG","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Madagascar",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.854168581084,51.8782730172584,50.8715066786324,91,"https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus",2020-04-01,2020-04-01 17:39:27
"10","R_3EaPcUXiiP9ONlZEd",687263,"new_entry","original",NA,NA,"In Madagascar, as of April 3,2020, all of Madagascar is in a State of Health Emergency.",2020-04-03,2020-04-03,2020-06-13,"Madagascar","MDG","MG","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Madagascar",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.4930926277321,53.8989735947028,51.9257254210753,158,"https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/",2020-04-03,2020-04-03 20:22:35
