record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3Gp9gw1Uhow9dVZDn,6347488,new_entry,correction,,,"Malta will close all educational facilities from the 13th of March until the 20th of March. 

",2020-03-13,2020-03-13,2020-03-20,Malta,MLT,MT,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Malta,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.1336629810708,50.9161800161568,47.4017959655678,107,https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/,2020-10-16,2020-10-16T07:36:47Z
R_3Gp9gw1Uhow9dVZDp,6347488,new_entry,correction,,,"Malta will close all educational facilities from the 13th of March until the 20th of March. 

",2020-03-13,2020-03-13,2020-03-20,Malta,MLT,MT,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Malta,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.1336629810708,50.9161800161568,47.4017959655678,107,https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/,2020-10-16,2020-10-16T07:36:47Z
R_3Gp9gw1Uhow9dVZEn,6347488,new_entry,correction,,,"Malta will close all educational facilities from the 13th of March until the 20th of March. 

",2020-03-13,2020-03-13,2020-03-20,Malta,MLT,MT,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Malta,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.1336629810708,50.9161800161568,47.4017959655678,107,https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/,2020-10-16,2020-10-16T07:36:47Z
R_3Gp9gw1Uhow9dVZBo,6347488,new_entry,correction,,,"Malta will close all educational facilities from the 13th of March until the 20th of March. 

",2020-03-13,2020-03-13,2020-03-20,Malta,MLT,MT,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Malta,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.1336629810708,50.9161800161568,47.4017959655678,107,https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/,2020-10-16,2020-10-16T07:36:47Z
R_vAMrISYEDqUKAKJNA,7133205,new_entry,original,,,"On the 1st of April 2020, Malta declared a public health emergency.",2020-04-01,2020-03-07,2020-06-30,Malta,MLT,MT,National,1,,,Declaration of Emergency,,,"",Malta,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.4832430676474,50.2984587900535,46.1002862492832,121,https://legislation.mt/eli/ln/2020/115/eng/pdf ; https://timesofmalta.com/articles/view/public-health-emergency-declared-over-covid-19.783176,2020-12-11,2020-12-11T01:38:41Z
R_usuogGg7rlahpKNNA,7133205,update,original,End of Policy,,"On the 1st of April 2020, Malta declared a public health emergency. The public health emergency was lifted on the 30th of June.",2020-04-01,2020-03-07,2020-06-30,Malta,MLT,MT,National,0,,,Declaration of Emergency,,,"",Malta,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",53.4832430676474,50.2984587900535,46.1002862492832,121,NA,2020-12-11,2020-12-11T01:56:15Z
R_qXHaY0Fu1666INPFi,145889,new_entry,original,,,"Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23.59Hrs Friday 20th March 2020.
",2020-03-17,2020-03-20,2020-06-15,Malta,MLT,MT,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",54.5931082684004,52.0574548522549,49.7647351568345,111,https://www.visitmalta.com/en/covid-19,2020-08-28,2020-08-28T04:54:50Z
R_3nMWK97nCBGPRSNFi,145889,update,original,End of Policy,Strengthening,"Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23.59Hrs Friday 20th March 2020.
",2020-03-17,2020-03-20,2020-06-15,Malta,MLT,MT,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",54.5931082684004,52.0574548522549,49.7647351568345,111,NA,2020-10-16,2020-10-16T02:17:26Z
R_3HXoMM7bejWJalpFi,145889,update,correction,End of Policy,Strengthening,"Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23:59Hrs Friday 20th March 2020 until the 31st May 2020.
",2020-04-30,2020-04-30,2020-06-15,Malta,MLT,MT,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.visitmalta.com/en/covid-19,2020-10-20,2020-10-20T11:16:12Z
R_3JINJR6UiI2tx6QFi,145889,update,original,Change of Policy,Strengthening,"Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23.59Hrs Friday 20th March 2020 until 15th June 23:50 2020.
",2020-05-23,2020-05-23,2020-06-15,Malta,MLT,MT,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,NA,2020-08-28,2020-08-28T05:27:49Z
