record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_uvO2t9HedIjqGjfNA,656823,new_entry,original,,,"On April 1, the Mauritanian Ministery of Health created laws to punish individuals whose media statements undermine the public health efforts of the government.",2020-04-01,2020-04-01,,Mauritania,MRT,MR,National,1,,,,Anti-Disinformation Measures,,,,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,56.1239932896528,53.6104437477826,51.5003052851869,148,http://www.ami.mr/Depeche-62089.html,2020-10-31,2020-10-31T22:44:38Z
R_2799IjVbeo9jsCfDl,9640116,new_entry,original,,,"Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),National Government,52.2265846306198,51.3263455478002,50.4072442400258,96,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_2799IjVbeo9jsCfDn,9640116,new_entry,original,,,"Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),National Government,52.2265846306198,51.3263455478002,50.4072442400258,96,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_2799IjVbeo9jsCfEn,9640116,new_entry,original,,,"Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),National Government,52.2265846306198,51.3263455478002,50.4072442400258,96,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_2799IjVbeo9jsCfBr,9640116,new_entry,original,,,"Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),National Government,52.2265846306198,51.3263455478002,50.4072442400258,96,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_3meig9qqvNNj73sEn,5157060,new_entry,original,,,"On April 2, the Mauritanian Ministry of Basic Education and Secondary Education closed all public and private institutions for secondary education and technical and vocational training until April 30th.",2020-04-02,2020-04-02,2020-04-30,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,56.1407479223245,53.6960186015102,51.1809159912009,149,http://www.ami.mr/Depeche-62115.html,2020-12-01,2020-12-01T23:18:10Z
R_1Kg3X4eXgY0epwINA,5138447,new_entry,original,,,On March 19 the Mauritanian Ministry of Interior implemented a nationwide curfew from eight p.m. to six a.m.. Healthcare professionals and cargo trucks are excluded from the curfew.,2020-03-19,2020-03-19,,Mauritania,MRT,MR,National,1,,,,Curfew,,,,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),National Government,53.2167382666275,51.9007018523701,50.3532701844283,109,http://www.ami.mr/Depeche-61919.html,2020-08-29,2020-08-29T16:42:52Z
R_t0sjAFAloGYrwjLNA,9771242,new_entry,original,,,"Mauritania is imposing a curfew effective 21st March ""from 8 p.m. to 6 a.m. Only medical personnel and goods transport trucks are allowed to circulate during this period.""",2020-03-19,2020-03-21,,Mauritania,MRT,MR,National,1,,,,Curfew,,,,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Military",53.0272420871985,52.091513742967,51.116671906259,107,http://www.lecalame.info/?q=node/10020 ; http://lecalame.info/?q=node/10037,2020-04-01,2020-04-01T17:21:11Z
R_24McuN8HQI0N7IZBn,6325060,new_entry,correction,,,"Mauritania has implemented two checkpoints at the port of Nouakchott for incoming travelers starting January 29, 2020. 
",2020-01-29,2020-01-29,,Mauritania,MRT,MR,National,1,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Seaports,Mandatory (Unspecified/Implied),Ministry/Department of Health,52.3574143746085,47.4918652802742,42.6318772582143,108,http://www.ami.mr/Depeche-61109.html,2020-07-09,2020-07-09T22:45:11Z
R_3nNlohOKrrYB2gdBn,5512748,new_entry,correction,,,"Mauritania has implemented two checkpoints at the Nouakchott International Airport to monitor the health of incoming travelers starting January 29, 2020.",2020-01-29,2020-01-29,,Mauritania,MRT,MR,National,1,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Flights,Mandatory (Unspecified/Implied),Ministry/Department of Health,52.3574143746085,47.4918652802742,42.6318772582143,108,http://www.ami.mr/Depeche-61109.html,2020-07-09,2020-07-09T22:46:46Z
R_2dvarWcpTSI3WaLFl,9631884,new_entry,original,,,On March 13 the Mauritanian government banned the travel of all tourists into the country.,2020-03-13,2020-03-13,,Mauritania,MRT,MR,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,,All countries,All countries,,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,52.0193496524172,50.3457440752068,48.1089835572187,84,http://www.ami.mr/Depeche-61844.html,2020-07-16,2020-07-16T01:10:24Z
R_3PH2xvc8plryZyqNA,2500070,new_entry,original,,,"The Mauritanian government announced the stopping of all flights to Mauritania from Tuesday, March 17.",2020-03-16,2020-03-17,,Mauritania,MRT,MR,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,Flights,Mandatory (Unspecified/Implied),National Government,52.6703846006732,51.6360497181417,50.8264404010835,105,http://www.lecalame.info/?q=node/9990,2020-04-05,2020-04-05T11:04:58Z
R_2ty4gpTaEjeZ7fHFl,9540024,new_entry,original,,,On March 17 the Mauritanian Ministry of Fisheries and Maine Economy placed restrictions on the procedures of ships. Foreign fishing and commercial ship crews are forbidden to disembark in Mauritanian ports.,2020-03-17,2020-03-17,,Mauritania,MRT,MR,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,,All countries,All countries,,,,,Foreign Travelers,Inbound,Seaports,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.6703846006732,51.6360497181417,50.8264404010835,105,http://www.ami.mr/Depeche-61885.html,2020-07-22,2020-07-22T23:22:33Z
R_3nNJ9GhU0mCtWWwFb,8810994,new_entry,original,,,"On March 17 the Mauritanian Ministry of Fisheries and Maine Economy placed restrictions on the procedures of ships. Mauritanian fishing ships are not to dock in a foreign port or beach. 
",2020-03-17,2020-03-17,,Mauritania,MRT,MR,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,All countries,All countries,,,,,Citizen Travelers,Outbound,Seaports,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.6703846006732,51.6360497181417,50.8264404010835,105,http://www.ami.mr/Depeche-61885.html,2020-07-22,2020-07-22T23:23:10Z
R_rjXmPcevAZPQpQ5NA,8835307,new_entry,original,,,"""The border between the Islamic Republic of Mauritania and Senegal is closed until further notice."" It is effective March 21st.",2020-03-21,2020-03-21,,Mauritania,MRT,MR,National,0,,,,External Border Restrictions,,,,Senegal,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound/Outbound,Ferries,Mandatory (Unspecified/Implied),"National Government,Military",53.0272420871985,52.091513742967,51.116671906259,107,http://www.lecalame.info/?q=node/10030,2020-04-01,2020-04-01T17:47:33Z
R_qQJ5mz5yVlSzXj3NA,4828859,new_entry,original,,,On March 16 the Mauritanian state of Tiris Zemmour established three health monitoring posts at transit posts in the state.,2020-03-16,2020-03-16,,Mauritania,MRT,MR,Provincial,1,Tiris Zemmour,,,Health Monitoring,,,,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),Provincial/State Government,52.2265846306198,51.3263455478002,50.4072442400258,96,http://www.ami.mr/Depeche-61876.html,2020-07-21,2020-07-21T03:38:58Z
R_24N39o8srq14dzWNA,2622456,new_entry,original,,,On March 17 the Mauritanian Ministry of Fisheries and Maine Economy placed regulations on commercial ships. Ship captains for commercial ships are required to provide health clearances to port captains 72 hours before docking.,2020-03-17,2020-03-17,,Mauritania,MRT,MR,National,1,,,,Health Monitoring,,,,Mauritania,,,,,,,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.6703846006732,51.6360497181417,50.8264404010835,105,http://www.ami.mr/Depeche-61885.html,2020-07-22,2020-07-22T23:22:41Z
R_3KOCLjtP8rk1I0HEv,684290,new_entry,correction,,,"Mauritania, 16th March 2020. ""The Minister of Equipment and Transport said that the government has reserved hotels for the containment of all those who come from countries where the coronavirus is propagated.""",2020-03-15,2020-03-15,,Mauritania,MRT,MR,National,1,,,,Health Resources,Temporary Quarantine Centers,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.6119597388661,50.4995549473494,49.1736463142232,73,http://www.lecalame.info/?q=node/9996,2020-06-14,2020-06-14T15:13:30Z
R_3Pb5hp1SbHO2hDWFd,3812102,new_entry,original,,,"Mauritania ""announced the creation of a national solidarity fund for the fight against the coronavirus pandemic (COVID-19) in which the State will contribute 2.5 billion MRU, intended to the purchase of medicines and equipment""",2020-03-25,2020-03-25,,Mauritania,MRT,MR,National,1,,,,Health Resources,Unspecified Health Materials,,,Mauritania,One or more cities within a country,,,Unspecified,,All Residents (Citizen Residents +Foreign Residents),,Not Applicable,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,53.8093418758743,52.7545161641099,51.9094422266716,121,http://www.lecalame.info/?q=node/10061,2020-04-05,2020-04-05T09:05:37Z
R_3Pb5hp1SbHO2hDWFc,3812102,new_entry,original,,,"Mauritania ""announced the creation of a national solidarity fund for the fight against the coronavirus pandemic (COVID-19) in which the State will contribute 2.5 billion MRU, intended to the purchase of medicines and equipment""",2020-03-25,2020-03-25,,Mauritania,MRT,MR,National,1,,,,Health Resources,Unspecified Health Infrastructure,,,Mauritania,One or more cities within a country,,,Unspecified,,All Residents (Citizen Residents +Foreign Residents),,Not Applicable,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,53.8093418758743,52.7545161641099,51.9094422266716,121,http://www.lecalame.info/?q=node/10061,2020-04-05,2020-04-05T09:05:37Z
R_3Pb5hp1SbHO2hDWFe,3812102,new_entry,original,,,"Mauritania ""announced the creation of a national solidarity fund for the fight against the coronavirus pandemic (COVID-19) in which the State will contribute 2.5 billion MRU, intended to the purchase of medicines and equipment""",2020-03-25,2020-03-25,,Mauritania,MRT,MR,National,1,,,,Health Resources,Unspecified Health Staff,,,Mauritania,One or more cities within a country,,,Unspecified,,All Residents (Citizen Residents +Foreign Residents),,Not Applicable,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,53.8093418758743,52.7545161641099,51.9094422266716,121,http://www.lecalame.info/?q=node/10061,2020-04-05,2020-04-05T09:05:37Z
R_1dyLHsMCw8eIUhwCf,3022845,new_entry,original,,,"On April 22nd, the Mauritanian Ministry of Social Affairs, Childhood, and Family created a workshop to produce 12,000 masks to be given to low-income families.",2020-04-22,2020-04-22,,Mauritania,MRT,MR,National,1,,,,Health Resources,Masks,,,Mauritania,,,,,,,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),60.65088161255,53.8576131996325,48.0561596937586,139,http://www.ami.mr/Depeche-62358.html,2020-12-02,2020-12-02T01:20:31Z
R_1lp2ACTks89DcSzEv,8667746,new_entry,original,,,"On June 13th, the Mauritanian military opened three health centers in 
the Nouakchott districts of Toujounine, Tevragh Zeina, and El Mina to provide testing and to receive Covid-19 patients and people who were in contact with Covid-19 positive individuals.",2020-06-13,2020-06-13,,Mauritania,MRT,MR,National,1,,,,Health Resources,Temporary Quarantine Centers,,,Mauritania,,,,,,,,,Voluntary/Recommended but No Penalties,Military,,,,,http://www.ami.mr/Depeche-62986.html,2020-12-02,2020-12-02T01:39:26Z
