record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_cUuN0jXCkjRMYRXDo,7190595,new_entry,original,,,"On March 17th, the government of Nuevo Leon suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mexico,One or more provinces within a country,,Nuevo Leon,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.0830631694908,50.0083123740356,48.7037750691692,53,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,2020-09-10,2020-09-10T04:32:26Z,93,0,4,716,15123,0.117,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_cUuN0jXCkjRMYRXDq,7190595,new_entry,original,,,"On March 17th, the government of Nuevo Leon suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mexico,One or more provinces within a country,,Nuevo Leon,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.0830631694908,50.0083123740356,48.7037750691692,53,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,2020-09-10,2020-09-10T04:32:26Z,93,0,4,716,15123,0.117,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_cUuN0jXCkjRMYRXEr,7190595,new_entry,original,,,"On March 17th, the government of Nuevo Leon suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mexico,One or more provinces within a country,,Nuevo Leon,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.0830631694908,50.0083123740356,48.7037750691692,53,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,2020-09-10,2020-09-10T04:32:26Z,93,0,4,716,15123,0.117,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_cUuN0jXCkjRMYRXBu,7190595,new_entry,original,,,"On March 17th, the government of Nuevo Leon suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mexico,One or more provinces within a country,,Nuevo Leon,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.0830631694908,50.0083123740356,48.7037750691692,53,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,2020-09-10,2020-09-10T04:32:26Z,93,0,4,716,15123,0.117,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_2RRnJ7yjR3F8wvGDo,4233904,new_entry,original,,,"Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mexico,One or more provinces within a country,,Baja California,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.3200694776482,50.1369410971597,48.956613779268,50,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,2020-08-05,2020-08-05T21:31:09Z,118,0,4,773,15896,0.123,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_2RRnJ7yjR3F8wvGDq,4233904,new_entry,original,,,"Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mexico,One or more provinces within a country,,Baja California,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.3200694776482,50.1369410971597,48.956613779268,50,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,2020-08-05,2020-08-05T21:31:09Z,118,0,4,773,15896,0.123,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_2RRnJ7yjR3F8wvGEr,4233904,new_entry,original,,,"Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mexico,One or more provinces within a country,,Baja California,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.3200694776482,50.1369410971597,48.956613779268,50,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,2020-08-05,2020-08-05T21:31:09Z,118,0,4,773,15896,0.123,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_2RRnJ7yjR3F8wvGBu,4233904,new_entry,original,,,"Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mexico,One or more provinces within a country,,Baja California,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.3200694776482,50.1369410971597,48.956613779268,50,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,2020-08-05,2020-08-05T21:31:09Z,118,0,4,773,15896,0.123,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_337sKzArq5hONAWDo,9610949,new_entry,original,,,"On March 14, 2020, the Mexican health and education ministries announced to extend the school break and close schools from March 23rd to April 17th, with classes resuming on Monday, April 20th. The measure affects all educational levels. This coming year, schools will remain closed and students will learn from home with the ""aprende en casa"" program until states enter the ""green"" level of the stoplight system.",2020-03-14,2020-03-23,,Mexico,MEX,MX,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mexico,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.2440557949232,51.1335372460146,49.9979146480732,52,https://mx.usembassy.gov/health-alert-mexico-covid-19-update-07-29-2020/,2020-09-16,2020-09-16T14:53:54Z,367,4,4,1083,19481,0.151,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
R_337sKzArq5hONAWDq,9610949,new_entry,original,,,"On March 14, 2020, the Mexican health and education ministries announced to extend the school break and close schools from March 23rd to April 17th, with classes resuming on Monday, April 20th. The measure affects all educational levels. This coming year, schools will remain closed and students will learn from home with the ""aprende en casa"" program until states enter the ""green"" level of the stoplight system.",2020-03-14,2020-03-23,,Mexico,MEX,MX,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mexico,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.2440557949232,51.1335372460146,49.9979146480732,52,https://mx.usembassy.gov/health-alert-mexico-covid-19-update-07-29-2020/,2020-09-16,2020-09-16T14:53:54Z,367,4,4,1083,19481,0.151,,,,,,147,4897,2,2,1.956452727,0.463496715,-0.20141026,5,30,127017224,1.20801e+12,9510.59625,2.464955925,18.6598332,27.8199951,9.16016185,0,1,-0.96732533,2.840180176,13212419,0.67139388
