"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1inGzzoPyQt03UONA","4914205","new_entry","original",NA,NA,"On March 20 the Security and Intelligence Service of the Republic of Moldova decided executive measures for eliminating COVID-19 related misinformation. Internet providers will cease the access to fake news websites during the state of emergency.",2020-03-20,2020-03-20,NA,"Moldova","MDA","MD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Fines","National Government,Other (Please specify in the text box)",55.0382765617875,53.0743328056522,51.0518413804496,154,"https://www.sis.md/en/content/executive-measures-eliminating-causes-and-conditions-contribute-threats-national-security",2020-05-01,2020-05-01 13:35:11
"2","R_3k0WHkpE7Kk4rsFNA","3350012","new_entry","original",NA,NA,"From March 27, the providers of media services in Moldova will be obliged to broadcast information about COVID-19 exclusively from mandatorily verified sources, by mandatorily presenting the position of the competent pubic authorities.",2020-03-27,2020-03-27,NA,"Moldova","MDA","MD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.7515640301887,52.9987602795108,50.2781920704279,127,"https://www.ipn.md/en/print/new-decision-concerning-media-coverage-of-covid-19--7967_1072508.html",2020-05-15,2020-05-15 20:15:05
"3","R_1ghW8M922mVEc7fNA","5226036","new_entry","original",NA,NA,"Moldova's Ministry of Health, Labor and Social Protection (in partnership with the Office of the World Health Organization of the Republic of Moldova and the UN Office for Human Rights), has launched a campaign to help combat the social stigmatization of people who are infected with, have recovered from or work with those who have COVID-19.",2020-09-17,2020-09-17,NA,"Moldova","MDA","MD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.jurnaltv.md/news/643b9f10ff0a5a84/in-r-moldova-a-inceput-campania-de-informare-reducerea-stigmei-asociate-cu-covid-19.html",2020-09-22,2020-09-22 07:31:00
"4","R_1Kfrg9GIJcO49HrDf","4563050","new_entry","original",NA,NA,"On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,NA,"Moldova","MDA","MD","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Moldova",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",52.8035795203018,51.4591188778672,50.4033218251476,152,"https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP",2020-04-02,2020-04-02 13:07:46
"5","R_1Kfrg9GIJcO49HrDh","4563050","new_entry","original",NA,NA,"On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,NA,"Moldova","MDA","MD","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Moldova",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",52.8035795203018,51.4591188778672,50.4033218251476,152,"https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP",2020-04-02,2020-04-02 13:07:46
"6","R_1Kfrg9GIJcO49HrEd","4563050","new_entry","original",NA,NA,"On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,NA,"Moldova","MDA","MD","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Moldova",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",52.8035795203018,51.4591188778672,50.4033218251476,152,"https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP",2020-04-02,2020-04-02 13:07:46
"7","R_1Kfrg9GIJcO49HrBo","4563050","new_entry","original",NA,NA,"On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,NA,"Moldova","MDA","MD","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Moldova",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government,Municipal Government",52.8035795203018,51.4591188778672,50.4033218251476,152,"https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP",2020-04-02,2020-04-02 13:07:46
"8","R_1qa3cCotzNC2s2WNA","967704","new_entry","original",NA,NA,"The movement of citizens through the town of Sângerei, Moldova, will be restricted, in particular after 10pm between March 21 and April 1.",2020-03-21,2020-03-21,2020-04-01,"Moldova","MDA","MD","Municipal",1,"Singerei","Singerei","Curfew",NA,NA,"","Moldova",NA,NA,"Singerei","Singerei",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Military,Municipal Government,Police",55.2127386238189,53.089880783901,50.9496249008773,153,"https://www.ipn.md/en/print/sangerei-town-placed-under-quarantine--7967_1072353.html",2020-05-15,2020-05-15 19:34:54
"9","R_Qi7SWLtt39fvsNbNA","2911622","new_entry","original",NA,NA,"On March 16, The Parliament of Moldova declared a State of Emergency allowing the government to impose additional border controls, limit movement, prohibit large gatherings, manage food supplies, and coordinate media messaging about the pandemic. It will end in 60 days.
",2020-03-16,2020-03-16,2020-05-15,"Moldova","MDA","MD","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Moldova",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",53.8797550669483,53.0455862272764,52.2350943957165,168,"https://md.usembassy.gov/moldovan-government-has-declared-a-state-of-emergency-in-response-to-the-covid-19/",2020-04-01,2020-04-01 15:03:44
"10","R_29ssZVWyAoE9AxqNA","2431564","new_entry","original",NA,NA,"A state of emergency was declared in the Transnistrian region of Moldova. It will last from March 17 until April 5.",2020-03-17,2020-03-17,2020-05-15,"Moldova","MDA","MD","Provincial",1,"Transnistria",NA,"Declaration of Emergency",NA,NA,"","Moldova",NA,NA,"Transnistria",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.6459974338456,53.0804162844046,51.7670127544444,165,"https://www.ipn.md/en/print/state-of-emergency-amid-covid-19-pandemic-declared-in-transnistria--7967_1072252.html",2020-05-15,2020-05-15 18:53:43
