record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2uBxjaJaq1C98iTDp,8288816,update,correction,,Strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,51.5012001439849,50.5310790623739,49.380790255818,192,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_2uBxjaJaq1C98iTDr,8288816,update,correction,,Strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,51.5012001439849,50.5310790623739,49.380790255818,192,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_2uBxjaJaq1C98iTEs,8288816,update,correction,,Strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,51.5012001439849,50.5310790623739,49.380790255818,192,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_2uBxjaJaq1C98iTBu,8288816,update,correction,,Strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,51.5012001439849,50.5310790623739,49.380790255818,192,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_1H8qjxdLsL8GvpnDp,8288816,new_entry,original,,,"On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",51.9151632762669,50.9964247748248,50.2367917426097,192,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_1H8qjxdLsL8GvpnDr,8288816,new_entry,original,,,"On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",51.9151632762669,50.9964247748248,50.2367917426097,192,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_1H8qjxdLsL8GvpnEs,8288816,new_entry,original,,,"On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",51.9151632762669,50.9964247748248,50.2367917426097,192,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_1H8qjxdLsL8GvpnBu,8288816,new_entry,original,,,"On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",51.9151632762669,50.9964247748248,50.2367917426097,192,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_3fivgQIwvGCymq5Dp,8288816,update,original,,,"The Mongolian government decided to extend the closure of schools from the original end date, March 2, to March 30. UPDATE: The original school closure from January 27 to March 2 has been extended to March 30.",2020-02-19,2020-02-19,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://montsame.mn/en/read/216394,2020-03-31,2020-03-31T05:52:26Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_3fivgQIwvGCymq5Dr,8288816,update,original,,,"The Mongolian government decided to extend the closure of schools from the original end date, March 2, to March 30. UPDATE: The original school closure from January 27 to March 2 has been extended to March 30.",2020-02-19,2020-02-19,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://montsame.mn/en/read/216394,2020-03-31,2020-03-31T05:52:26Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_3fivgQIwvGCymq5Es,8288816,update,original,,,"The Mongolian government decided to extend the closure of schools from the original end date, March 2, to March 30. UPDATE: The original school closure from January 27 to March 2 has been extended to March 30.",2020-02-19,2020-02-19,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://montsame.mn/en/read/216394,2020-03-31,2020-03-31T05:52:26Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_3fivgQIwvGCymq5Bu,8288816,update,original,,,"The Mongolian government decided to extend the closure of schools from the original end date, March 2, to March 30. UPDATE: The original school closure from January 27 to March 2 has been extended to March 30.",2020-02-19,2020-02-19,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://montsame.mn/en/read/216394,2020-03-31,2020-03-31T05:52:26Z,0,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_WAiSjGUK1aIFoU9Dp,8288816,update,correction,,Strengthening,"On March 20, 2020, the National Emergency Commission of Mongolia decided to extend the closure of school and universities from the original end date, March 30 to April 30.",2020-03-20,2020-03-20,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,53.8883917580035,52.5440883087957,51.2055060990397,134,NA ; https://news.mn/en/791399/,2020-06-29,2020-06-29T11:15:48Z,6,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_WAiSjGUK1aIFoU9Dr,8288816,update,correction,,Strengthening,"On March 20, 2020, the National Emergency Commission of Mongolia decided to extend the closure of school and universities from the original end date, March 30 to April 30.",2020-03-20,2020-03-20,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,53.8883917580035,52.5440883087957,51.2055060990397,134,NA ; https://news.mn/en/791399/,2020-06-29,2020-06-29T11:15:48Z,6,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
R_WAiSjGUK1aIFoU9Es,8288816,update,correction,,Strengthening,"On March 20, 2020, the National Emergency Commission of Mongolia decided to extend the closure of school and universities from the original end date, March 30 to April 30.",2020-03-20,2020-03-20,2020-09-01,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mongolia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,53.8883917580035,52.5440883087957,51.2055060990397,134,NA ; https://news.mn/en/791399/,2020-06-29,2020-06-29T11:15:48Z,6,0,0,,,,,,,,,69,2895,1,1,0.045363374,-0.16432999,-0.20141026,7,38,2959134,11677573630,3946.28078,2.357171189,14.9004072,23.180936,8.28052884,2,2,1.160791993,-0.029415,65654,0.67733323
