"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_x8XDMJodYY1QzHbCv","4834338","new_entry","original",NA,NA,"Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.",2020-03-13,2020-03-16,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.0939321730519,53.252559554239,52.3081739265403,176,"https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/",2020-04-03,2020-04-03 22:13:18
"2","R_x8XDMJodYY1QzHbCw","4834338","new_entry","original",NA,NA,"Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.",2020-03-13,2020-03-16,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.0939321730519,53.252559554239,52.3081739265403,176,"https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/",2020-04-03,2020-04-03 22:13:18
"3","R_x8XDMJodYY1QzHbDr","4834338","new_entry","original",NA,NA,"Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.",2020-03-13,2020-03-16,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.0939321730519,53.252559554239,52.3081739265403,176,"https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/",2020-04-03,2020-04-03 22:13:18
"4","R_x8XDMJodYY1QzHbBg","4834338","new_entry","original",NA,NA,"Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.",2020-03-13,2020-03-16,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.0939321730519,53.252559554239,52.3081739265403,176,"https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/",2020-04-03,2020-04-03 22:13:18
"5","R_27OtRxjJ8M8Bwx6Cv","8143229","new_entry","original",NA,NA,"On September 7th, the new academic year started in Morocco. 
Schools are re-opening under a hybrid alternating model. Parents decide whether their children will be attending school online or in-person. For the children whose parents decided on in-person schooling, class time goes from the usual 30 hours a week to 15 hours a week, the other 15 hours to be completed at home under the supervision of their teachers.
Only students under 11 are allowed not to wear masks.",2020-08-26,2020-09-07,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities allowed to open with conditions","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://telquel.ma/2020/08/27/du-prescolaire-a-luniversite-saaid-amzazi-livre-quelques-details-sur-la-rentree_1694206 ; https://2m.ma/fr/news/saaid-amzazi-annonce-une-rentree-scolaire-sous-le-signe-du-rattrapage-et-de-la-vigilance-confidence-de-presse-20200903/ ; https://www.men.gov.ma/Ar/Documents/note3920.pdf",2020-09-26,2020-09-26 16:50:30
"6","R_27OtRxjJ8M8Bwx6Cw","8143229","new_entry","original",NA,NA,"On September 7th, the new academic year started in Morocco. 
Schools are re-opening under a hybrid alternating model. Parents decide whether their children will be attending school online or in-person. For the children whose parents decided on in-person schooling, class time goes from the usual 30 hours a week to 15 hours a week, the other 15 hours to be completed at home under the supervision of their teachers.
Only students under 11 are allowed not to wear masks.",2020-08-26,2020-09-07,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://telquel.ma/2020/08/27/du-prescolaire-a-luniversite-saaid-amzazi-livre-quelques-details-sur-la-rentree_1694206 ; https://2m.ma/fr/news/saaid-amzazi-annonce-une-rentree-scolaire-sous-le-signe-du-rattrapage-et-de-la-vigilance-confidence-de-presse-20200903/ ; https://www.men.gov.ma/Ar/Documents/note3920.pdf",2020-09-26,2020-09-26 16:50:30
"7","R_27OtRxjJ8M8Bwx6Dr","8143229","new_entry","original",NA,NA,"On September 7th, the new academic year started in Morocco. 
Schools are re-opening under a hybrid alternating model. Parents decide whether their children will be attending school online or in-person. For the children whose parents decided on in-person schooling, class time goes from the usual 30 hours a week to 15 hours a week, the other 15 hours to be completed at home under the supervision of their teachers.
Only students under 11 are allowed not to wear masks.",2020-08-26,2020-09-07,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://telquel.ma/2020/08/27/du-prescolaire-a-luniversite-saaid-amzazi-livre-quelques-details-sur-la-rentree_1694206 ; https://2m.ma/fr/news/saaid-amzazi-annonce-une-rentree-scolaire-sous-le-signe-du-rattrapage-et-de-la-vigilance-confidence-de-presse-20200903/ ; https://www.men.gov.ma/Ar/Documents/note3920.pdf",2020-09-26,2020-09-26 16:50:30
"8","R_10xvUmSmviZdgtlNA","9807937","new_entry","original",NA,NA,"On July 12th, Moroccan authorities re-imposed a set of restrictions on the city of Tangier including a curfew.",2020-07-12,2020-07-13,NA,"Morocco","MAR","MA","Municipal",1,"Tanger-Tetouan-Al Hoceima","Tangier","Curfew",NA,NA,"","Morocco",NA,NA,"Tanger-Tetouan-Al Hoceima","Tangier",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Military,Police",NA,NA,NA,NA,"https://blogs.mediapart.fr/rachid-barbouch/blog/070820/maroc-l-armee-dans-les-rues-de-tanger ; https://www.voaafrique.com/a/virus-maroc-interdiction-de-quitter-tanger-pendant-l-a%C3%AFd-al-adha-/5514759.html ; https://lnt.ma/covid-19-reconfinement-partiel-pour-la-ville-de-tanger/",2020-10-05,2020-10-05 14:50:26
"9","R_spbUk6PNmaXCB6FNA","5634059","new_entry","original",NA,NA,"Moroccan authorities reimpose COVID-19 restrictions in Casablanca as of September 7th. These include a 10pm to 5am curfew.",2020-09-06,2020-09-07,NA,"Morocco","MAR","MA","Municipal",1,"Casablanca-Settat","Casablanca","Curfew",NA,NA,"","Morocco",NA,NA,"Casablanca-Settat","Casablanca",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Police",NA,NA,NA,NA,"https://www.garda.com/crisis24/news-alerts/376486/morocco-authorities-reimpose-covid-19-restrictions-in-casablanca-september-7-update-28 ; https://www.challenge.ma/covid-19-nouvelles-restrictions-a-casablanca-a-compter-de-ce-lundi-7-septembre-155366/",2020-09-27,2020-09-27 17:51:44
"10","R_2X4K0Cv2eivFzO6NA","6770346","new_entry","original",NA,NA,"Moroccan authorities have imposed a curfew on the cities of Kenitra and Mehdia.",2020-09-12,2020-09-13,NA,"Morocco","MAR","MA","Municipal",1,"Rabat-Sale-Kenitra","Kenitra, Mehdya","Curfew",NA,NA,"","Morocco",NA,NA,"Rabat-Sale-Kenitra","Kenitra, Mehdya",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Police",NA,NA,NA,NA,"https://www.yabiladi.com/articles/details/98877/kenitra-couvre-feu-pour-lutter-contre.html ; https://www.challenge.ma/coronavirus-kenitra-et-mehdia-retournent-en-confinement-156507/",2020-09-27,2020-09-27 18:10:58
