record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2Cw9l8g4zBIpqSeEe,2361636,new_entry,correction,,,"Namibia announced on 03-14-2020 the ""Lockdown of Windhoek Gymnasium with immediate effect for a period of two weeks""",2020-03-14,2020-03-14,2020-03-28,Namibia,NAM,NA,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Namibia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.9024701427614,51.4022708934636,49.7190379272564,120,https://www.namibiafavorites.de/wp-content/uploads/2020/03/Namibia-Corona-Virus-Präsidialerlass-Hage-Geingob-14-Maerz-2020.pdf,2020-08-02,2020-08-02T08:58:53Z
R_2TnG0wlXm4IgfYTDg,3232832,new_entry,original,,,"March 15th, Namibia closes all public and private schools from March 16 to April 14.",2020-03-15,2020-03-16,2020-04-14,Namibia,NAM,NA,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Namibia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.4449227913898,51.5275864475959,50.6301293711008,105,http://www.china.org.cn/world/Off_the_Wire/2020-03/16/content_75817626.htm,2020-04-03,2020-04-03T08:55:44Z
R_2TnG0wlXm4IgfYTDi,3232832,new_entry,original,,,"March 15th, Namibia closes all public and private schools from March 16 to April 14.",2020-03-15,2020-03-16,2020-04-14,Namibia,NAM,NA,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Namibia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.4449227913898,51.5275864475959,50.6301293711008,105,http://www.china.org.cn/world/Off_the_Wire/2020-03/16/content_75817626.htm,2020-04-03,2020-04-03T08:55:44Z
R_2TnG0wlXm4IgfYTEe,3232832,new_entry,original,,,"March 15th, Namibia closes all public and private schools from March 16 to April 14.",2020-03-15,2020-03-16,2020-04-14,Namibia,NAM,NA,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Namibia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.4449227913898,51.5275864475959,50.6301293711008,105,http://www.china.org.cn/world/Off_the_Wire/2020-03/16/content_75817626.htm,2020-04-03,2020-04-03T08:55:44Z
R_2TnG0wlXm4IgfYTBo,3232832,new_entry,original,,,"March 15th, Namibia closes all public and private schools from March 16 to April 14.",2020-03-15,2020-03-16,2020-04-14,Namibia,NAM,NA,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Namibia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.4449227913898,51.5275864475959,50.6301293711008,105,http://www.china.org.cn/world/Off_the_Wire/2020-03/16/content_75817626.htm,2020-04-03,2020-04-03T08:55:44Z
R_1LZJQ4iBfQ8YZEHNA,4999159,new_entry,original,,,"On March 17th Namibia declared the State Of Emergency, with immediate effect.",2020-03-17,2020-03-17,2020-09-17,Namibia,NAM,NA,National,1,,,Declaration of Emergency,,,"",Namibia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5463976674509,51.7490365598042,50.6868653550224,111,http://www.namibia-botschaft.de/images/President_Statement_SOE_COVID19.pdf,2020-03-31,2020-03-31T11:37:28Z
R_1f9plf0GE4lMGqZNA,4999159,update,original,,Strengthening,"On March 17th Namibia declared the State Of Emergency, with immediate effect. The national emergency has been in effect for up to six months since March 17, 2020",2020-03-17,2020-03-17,2020-09-17,Namibia,NAM,NA,National,0,,,Declaration of Emergency,,,"",Namibia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5463976674509,51.7490365598042,50.6868653550224,111,http://www.namibia-botschaft.de/images/President_Statement_SOE_COVID19.pdf ; https://www.auswaertiges-amt.de/de/aussenpolitik/laender/namibia-node/namibiasicherheit/208314,2020-04-27,2020-04-27T11:40:53Z
R_3oU624GOOar30jVNA,5649545,new_entry,correction,,,"The Namibian Government is suspending inbound and outbound travel to and from Qatar, Ethiopia, and Germany for 30 days.",2020-03-14,2020-03-14,2020-04-13,Namibia,NAM,NA,National,0,,,External Border Restrictions,,,"","Ethiopia,Germany,Qatar","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,52.9024701427614,51.4022708934636,49.7190379272564,120,https://www.namibiafavorites.de/wp-content/uploads/2020/03/Namibia-Corona-Virus-Präsidialerlass-Hage-Geingob-14-Maerz-2020.pdf ; https://www.eturbonews.com/567070/flights-to-namibia-on-qatar-airways-ethiopian-airlines-and-lufthansa-suspended/,2020-08-09,2020-08-09T08:57:03Z
R_1n2tSiinJhXK0KXNA,5123250,new_entry,original,,,On March 17th Namibia suspended a temporary travel suspension for 30 days for Namibians or Permanent Residents functionaries.,2020-03-17,2020-03-17,2020-04-23,Namibia,NAM,NA,National,0,,,External Border Restrictions,,,"",Namibia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents +Foreign Residents),Inbound/Outbound,"Flights,Other (please specify)",,"National Government,Ministry/Department of Health",52.5463976674509,51.7490365598042,50.6868653550224,111,https://www.namibian.com.na/89346/read/Govt-raises-Covid-19-surveillance,2020-03-31,2020-03-31T12:37:45Z
R_2PoiA3Yvf39dlIqEz,7013156,new_entry,original,,,"Namibia has suspended on March 17th the issuance of visas on arrival at the Hosea Kutako International Airport (HKIA) and implemented travel bans of foreign nationals (by air and sea) from affected countries.
countries: Schengen states, China, Iran, Korea, United Kingdom, United States of America and Japan",2020-03-17,2020-03-17,,Namibia,NAM,NA,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"","Austria,Belgium,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Iran,Italy,Japan,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Netherlands,Norway,Poland,Portugal,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.5463976674509,51.7490365598042,50.6868653550224,111,https://www.namibian.com.na/89346/read/Govt-raises-Covid-19-surveillance,2020-03-31,2020-03-31T12:19:59Z
