"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2TuEUx9hunN7qCDCv","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"2","R_2TuEUx9hunN7qCDCw","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"3","R_2TuEUx9hunN7qCDDr","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"4","R_2TuEUx9hunN7qCDBg","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"5","R_w617uJ3j2iWbIfnCv","5846320","update","original","Change of Policy","Strengthening","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30",2020-03-18,2020-04-12,2020-04-30,"Nepal","NPL","NP","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",54.3925346733311,51.1752194003766,48.3687368772665,35,"NA",2020-06-10,2020-06-10 16:38:08
"6","R_w617uJ3j2iWbIfnCw","5846320","update","original","Change of Policy","Strengthening","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30",2020-03-18,2020-04-12,2020-04-30,"Nepal","NPL","NP","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",54.3925346733311,51.1752194003766,48.3687368772665,35,"NA",2020-06-10,2020-06-10 16:38:08
"7","R_w617uJ3j2iWbIfnDr","5846320","update","original","Change of Policy","Strengthening","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30",2020-03-18,2020-04-12,2020-04-30,"Nepal","NPL","NP","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",54.3925346733311,51.1752194003766,48.3687368772665,35,"NA",2020-06-10,2020-06-10 16:38:08
"8","R_w617uJ3j2iWbIfnBg","5846320","update","original","Change of Policy","Strengthening","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30",2020-03-18,2020-04-12,2020-04-30,"Nepal","NPL","NP","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",54.3925346733311,51.1752194003766,48.3687368772665,35,"NA",2020-06-10,2020-06-10 16:38:08
"9","R_qCJGhrTtpkFOp3jNA","1939741","update","original",NA,NA,"April 6, 2020, Nepal government on March 29  decided to extend the nationwide lockdown by another week, until April 7.",2020-03-29,2020-03-29,2020-04-27,"Nepal","NPL","NP","National",1,NA,NA,"Curfew",NA,NA,"","Nepal","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police",52.2747921403682,51.1449006478598,50.1367892961315,40,"https://myrepublica.nagariknetwork.com/news/government-extends-nationwide-lockdown-by-another-week-until-april-15/",2020-04-06,2020-04-06 18:57:16
"10","R_3ni40b7dBYgtSPgNA","1939741","update","original",NA,NA,"KATHMANDU, April 6: The government has decided to extend nationwide lockdown until midnight April 15.

A cabinet meeting held on Monday afternoon made the decision to this effect to prevent the spread of novel coronavirus. This the second time the government extended the lockdown.",2020-04-06,2020-04-07,2020-04-27,"Nepal","NPL","NP","National",1,NA,NA,"Curfew",NA,NA,"","Nepal","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police",53.8759652247015,51.1035685704281,48.5453551674681,35,"https://myrepublica.nagariknetwork.com/news/government-extends-nationwide-lockdown-by-another-week-until-april-15/",2020-04-06,2020-04-06 19:01:55
"11","R_3MAawYmXfYkM5dyNA","1939741","update","original",NA,NA,"Kathmandu: april 14The Nepal government on Tuesday decided to extend the lockdown period till April 27 as the Himalayan nation continued to witness increase in the number of coronavirus cases, according to an official statement.

",2020-04-14,2020-04-16,2020-04-27,"Nepal","NPL","NP","National",0,NA,NA,"Curfew",NA,NA,"","Nepal","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",54.5983875743885,51.0983298495927,47.5612458770883,34,"https://economictimes.indiatimes.com/news/international/world-news/nepal-government-extends-lockdown-till-april-27-as-coronavirus-cases-rise/articleshow/75140058.cms",2020-04-23,2020-04-23 08:03:39
"12","R_3002mek8IdjGaK6NA","1064698","new_entry","original",NA,NA,"With the ease of the lockdown on June 15, the government decided on Friday to tighten restrictions again with a night-time curfew in all 77 districts. 

No car or pedestrian allowed at 10pm to 5am 

Those violating the new curfew rules will be punished as per existing laws",2020-06-19,2020-06-19,NA,"Nepal","NPL","NP","National",1,NA,NA,"Curfew",NA,NA,"","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",NA,NA,NA,NA,"https://www.nepalitimes.com/latest/nepal-announces-night-curfew-during-lockdown/",2020-06-29,2020-06-29 23:22:05
"13","R_3J3H7wSrewssHbyNA","8938594","new_entry","correction",NA,NA,"Nepal's trade with China has been halted completely following the closure of the Rasuwagadi border and the Tatopani border — the major trade point between the two nations — due to the coronavirus outbreak.

The government shut Rasuwagadi border on January 28 to prevent the spread of coronavirus after the number of infections in China soared. As a result, Nepal-China trade has been completely halted.

Trade with China will resume only after the coronavirus outbreak is brought under control, but nobody knows when that will happen",2020-01-28,2020-01-28,NA,"Nepal","NPL","NP","National",0,NA,NA,"External Border Restrictions",NA,NA,"","China","One or more countries, but not all countries",NA,NA,NA,NA,"Other","Inbound","Land Border,Other (please specify)","Mandatory with Legal Penalties (Jail Time)","National Government",49.5380952936922,47.8044333929731,45.2399097781565,140,"NA",2020-07-01,2020-07-01 22:44:23
"14","R_2Sce6uTL2sgbdqbBe","3274216","new_entry","correction",NA,NA,"Feb 4 Nepal: In order to check possible outbreak of coronavirus infection, health desks have been set up in 11 different places in Mahottari along the Indian border.

Mahottari District Health Office, people entering through the border checkpoints would be screened to confirm whether the entrants have coronavirus infection.

Health desks have come into operation districts. This is in line with the directive of the Ministry of Health and Population, health desks were set up in the areas in coordination with the concerned district administration office.",2020-02-04,2020-02-04,NA,"Nepal","NPL","NP","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","India","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Land Border","Mandatory (Unspecified/Implied)","Ministry/Department of Health,Municipal Government",49.7927441585142,48.2167268297942,46.072727600235,132,"NA",2020-11-08,2020-11-08 07:10:50
"15","R_W2JJSGjTOnEjTeFNA","1248141","new_entry","original",NA,NA,"On Monday March 2, 2020, the Supreme Court issued an interim order to the government asking it to stop flights to and from countries affected by the coronavirus outbreak for a few days or a month, if needed, in order to protect public health. The court ruling came in response to a public interest litigation filed by advocate Purna Rajbansi.

The government issued the travel advisory in order to prevent and control the outbreak and take precautions.

According to the advisory, Nepali nationals are advised to refrain from non-essential travel to countries affected by Covid-19 or in high risk of the virus including China, South Korea, Iran, Japan and Italy.

",2020-03-02,2020-03-02,NA,"Nepal","NPL","NP","National",0,NA,NA,"External Border Restrictions",NA,NA,"","China,Iran,Italy,Japan,South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",51.547894492887,49.3232034585225,47.4361879590341,95,"https://kathmandupost.com/national/2020/03/03/aviation-authority-urges-government-to-implement-stringent-travel-restrictions",2020-04-04,2020-04-04 15:49:52
"16","R_2YhQxfh2g3BqfkZBb","3763146","new_entry","correction",NA,NA,"March 2, 2020 Nepal. Nationals of the People's Republic of China, the Republic of Korea, Islamic Republic of Iran, Japan and Italy and the people transiting via those countries will have to submit their health certificates stating that they are not infected by COVID- 19, at immigration points in Nepal.",2020-03-02,2020-03-02,NA,"Nepal","NPL","NP","National",0,NA,NA,"External Border Restrictions","Health Certificates",NA,"","China,Iran,Italy,Japan,South Korea,Other (please specify below)","One or more countries, but not all countries",NA,NA,NA,NA,"All Foreign Nationals (Foreign Residents + Foreign Travelers)","Inbound","Flights","Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.547894492887,49.3232034585225,47.4361879590341,95,"https://twitter.com/khpushkar/status/1234824889745338368/photo/1",2020-11-10,2020-11-10 08:18:06
"17","R_Rfvm0cwDF4Tj11nEm","3771495","new_entry","original",NA,NA,"02/march 2020 Nepal. The visa-on-arrival facilities extended to the nationals of the People's Republic of China, the Republic of Korea, Islamic Republic of Iran, Japan and Italy, countries highly affected by COVID-19, has been suspended to be effective from 10 March 2020 until further notice. Nationals of the above-mentioned countries may acquire visa from Nepali diplomatic missions abroad after fulfilling required procedures. In this regard, it is requested to follow the notice issues by the Department of Immigration of Nepal on 2 March 2020.",2020-03-02,2020-03-10,NA,"Nepal","NPL","NP","National",0,NA,NA,"External Border Restrictions","Visa restrictions (e.g. suspend issuance of visa)",NA,"","China,Iran,Italy,Japan,South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"Other","Inbound","","Mandatory (Unspecified/Implied)","Ministry/Department of Health",50.7853353369125,49.7122817486004,48.3333383051373,79,"https://twitter.com/khpushkar/status/1234824889745338368",2020-04-05,2020-04-05 13:50:26
"18","R_9HSdyVKAI0jO4fvEm","9429563","new_entry","original",NA,NA,"Nepali Government has announced on March 10 that it will suspend all visas upon nationals arriving from countries like China, Iran, Italy, Japan, South Korea, France, Germany, and Spain. This policy then extended to the 21st of March: Visas of foreign nationals is valid until the 21st of March. 
",2020-03-10,2020-03-10,2020-04-30,"Nepal","NPL","NP","National",0,NA,NA,"External Border Restrictions","Visa restrictions (e.g. suspend issuance of visa)",NA,"","China,France,Germany,Iran,Italy,Japan,Spain","One or more countries and one or more regional groupings",NA,NA,NA,NA,"All Foreign Nationals (Foreign Residents + Foreign Travelers)","Inbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",50.7853353369125,49.7122817486004,48.3333383051373,79,"https://www.osac.gov/Country/Nepal/Content/Detail/Report/b954e2d7-7e75-47b1-bfbc-18304218f807 ; http://www.nepalimmigration.gov.np/",2020-06-21,2020-06-21 20:17:15
"19","R_9HSdyVKAI0jO4fvEl","9429563","new_entry","original",NA,NA,"Nepali Government has announced on March 10 that it will suspend all visas upon nationals arriving from countries like China, Iran, Italy, Japan, South Korea, France, Germany, and Spain. This policy then extended to the 21st of March: Visas of foreign nationals is valid until the 21st of March. 
",2020-03-10,2020-03-10,2020-04-30,"Nepal","NPL","NP","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,France,Germany,Iran,Italy,Japan,Spain","One or more countries and one or more regional groupings",NA,NA,NA,NA,"All Foreign Nationals (Foreign Residents + Foreign Travelers)","Inbound","Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",50.7853353369125,49.7122817486004,48.3333383051373,79,"https://www.osac.gov/Country/Nepal/Content/Detail/Report/b954e2d7-7e75-47b1-bfbc-18304218f807 ; http://www.nepalimmigration.gov.np/",2020-06-21,2020-06-21 20:17:15
