"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1ImDnDrDO1r7qfnCv",2837392,"new_entry","original","NA",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-04-03,"2020-04-03 09:32:41"
"2","R_1ImDnDrDO1r7qfnCw",2837392,"new_entry","original","NA",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-04-03,"2020-04-03 09:32:41"
"3","R_1ImDnDrDO1r7qfnDr",2837392,"new_entry","original","NA",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-04-03,"2020-04-03 09:32:41"
"4","R_1ImDnDrDO1r7qfnBg",2837392,"new_entry","original","NA",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-04-03,"2020-04-03 09:32:41"
"5","R_2Su9mcPstGNyZHnCv",2837392,"update","original","End of Policy",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22. This policy ended on Mach 26.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-05-23,"2020-05-23 02:51:35"
"6","R_2Su9mcPstGNyZHnCw",2837392,"update","original","End of Policy",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22. This policy ended on Mach 26.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-05-23,"2020-05-23 02:51:35"
"7","R_2Su9mcPstGNyZHnDr",2837392,"update","original","End of Policy",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22. This policy ended on Mach 26.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-05-23,"2020-05-23 02:51:35"
"8","R_2Su9mcPstGNyZHnBg",2837392,"update","original","End of Policy",NA,"NZ announces that """"affected educational facilities"""" are closed at March 22. This policy ended on Mach 26.",2020-03-22,2020-03-22,2020-03-26,"New Zealand","NZL","NZ","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7694273326766,52.7811017872281,51.6194701955374,137,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-05-23,"2020-05-23 02:51:35"
"9","R_2axcTTo9vSyrPf1Cv",5324941,"new_entry","original","NA",NA,"NZ: Educational facilities closed.",2020-03-23,2020-03-23,2020-04-20,"New Zealand","NZL","NZ","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",55.4996752172438,52.5728838508235,50.0393240742984,119,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-04-02,"2020-04-02 11:03:15"
"10","R_2axcTTo9vSyrPf1Cw",5324941,"new_entry","original","NA",NA,"NZ: Educational facilities closed.",2020-03-23,2020-03-23,2020-04-20,"New Zealand","NZL","NZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","New Zealand",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",55.4996752172438,52.5728838508235,50.0393240742984,119,"https://covid19.govt.nz/assets/COVID_Alert-levels_v2.pdf",2020-04-02,"2020-04-02 11:03:15"
