"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3fPEv3U7VviQZonNA","9950598","new_entry","original",NA,NA,"North Korea calling on Ministry of State Security to crack down on mobile phone contact with the outside world and information leaks about the coronavirus in the country’s “border areas,” including North Hamgyong Province, Ryanggang Province, North Pyongan Province, and Rajin-Sonbong.",2020-02-11,2020-02-11,NA,"North Korea","PRK","KP","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",50.4150765519021,48.1471326300439,45.5780577335688,95,"https://www.dailynk.com/english/north-koreans-nabbed-sending-mobile-texts-about-coronavirus/",2020-05-17,2020-05-17 15:55:09
"2","R_3Oz70HMfiQbbPbzCv","3500715","new_entry","original",NA,NA,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-06-01,"North Korea","PRK","KP","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"https://kcnawatch.org/newstream/1589722006-308772021/educational-institutions-open/ ; https://en.yna.co.kr/view/AEN20200420011000325?section=nk/nk ; https://www.dailynk.com/english/north-korean-schools-gradually-reopening/",2020-06-01,2020-06-01 14:49:35
"3","R_3Oz70HMfiQbbPbzCw","3500715","new_entry","original",NA,NA,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-06-01,"North Korea","PRK","KP","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"https://kcnawatch.org/newstream/1589722006-308772021/educational-institutions-open/ ; https://en.yna.co.kr/view/AEN20200420011000325?section=nk/nk ; https://www.dailynk.com/english/north-korean-schools-gradually-reopening/",2020-06-01,2020-06-01 14:49:35
"4","R_3Oz70HMfiQbbPbzDr","3500715","new_entry","original",NA,NA,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-06-01,"North Korea","PRK","KP","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"https://kcnawatch.org/newstream/1589722006-308772021/educational-institutions-open/ ; https://en.yna.co.kr/view/AEN20200420011000325?section=nk/nk ; https://www.dailynk.com/english/north-korean-schools-gradually-reopening/",2020-06-01,2020-06-01 14:49:35
"5","R_1Nq1XMeiYDcUYQwCv","7807956","new_entry","original",NA,NA,"North Korea made the decision to close all of its schools for one month starting Feb. 20",2020-02-20,2020-02-20,2020-04-17,"North Korea","PRK","KP","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/",2020-05-24,2020-05-24 14:05:50
"6","R_1Nq1XMeiYDcUYQwCw","7807956","new_entry","original",NA,NA,"North Korea made the decision to close all of its schools for one month starting Feb. 20",2020-02-20,2020-02-20,2020-04-17,"North Korea","PRK","KP","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/",2020-05-24,2020-05-24 14:05:50
"7","R_1Nq1XMeiYDcUYQwDr","7807956","new_entry","original",NA,NA,"North Korea made the decision to close all of its schools for one month starting Feb. 20",2020-02-20,2020-02-20,2020-04-17,"North Korea","PRK","KP","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/",2020-05-24,2020-05-24 14:05:50
"8","R_1Nq1XMeiYDcUYQwBg","7807956","new_entry","original",NA,NA,"North Korea made the decision to close all of its schools for one month starting Feb. 20",2020-02-20,2020-02-20,2020-04-17,"North Korea","PRK","KP","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/",2020-05-24,2020-05-24 14:05:50
"9","R_3QMMeZNyd9e857gCv","3500715","update","original","End of Policy",NA,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-06-01,"North Korea","PRK","KP","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"NA ; https://www.nknews.org/2020/06/north-korea-to-resume-school-early-june-after-a-two-months-delay-report/K Newsorth Korean schools to reopen this month after two-month delay: state media",2020-06-01,2020-06-01 15:20:59
"10","R_3QMMeZNyd9e857gCw","3500715","update","original","End of Policy",NA,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-06-01,"North Korea","PRK","KP","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","North Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.4890706206491,48.3520898453028,45.4746142165177,83,"NA ; https://www.nknews.org/2020/06/north-korea-to-resume-school-early-june-after-a-two-months-delay-report/K Newsorth Korean schools to reopen this month after two-month delay: state media",2020-06-01,2020-06-01 15:20:59
