"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2qeLzuxUAQU8EVyCv",1722483,"new_entry","original","NA",NA,"North Macedonia closed schools for two weeks.",2020-03-10,2020-03-10,2020-03-24,"North Macedonia","MKD","MK","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.0686597783035,52.1590409142862,51.0548358642132,178,"https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/",2020-04-02,"2020-04-02 09:59:18"
"2","R_2qeLzuxUAQU8EVyCw",1722483,"new_entry","original","NA",NA,"North Macedonia closed schools for two weeks.",2020-03-10,2020-03-10,2020-03-24,"North Macedonia","MKD","MK","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.0686597783035,52.1590409142862,51.0548358642132,178,"https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/",2020-04-02,"2020-04-02 09:59:18"
"3","R_2qeLzuxUAQU8EVyDr",1722483,"new_entry","original","NA",NA,"North Macedonia closed schools for two weeks.",2020-03-10,2020-03-10,2020-03-24,"North Macedonia","MKD","MK","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.0686597783035,52.1590409142862,51.0548358642132,178,"https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/",2020-04-02,"2020-04-02 09:59:18"
"4","R_2qeLzuxUAQU8EVyBg",1722483,"new_entry","original","NA",NA,"North Macedonia closed schools for two weeks.",2020-03-10,2020-03-10,2020-03-24,"North Macedonia","MKD","MK","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",53.0686597783035,52.1590409142862,51.0548358642132,178,"https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/",2020-04-02,"2020-04-02 09:59:18"
"5","R_2v1tWelxMU9RqMdNA",5751313,"new_entry","correction","NA",NA,"North Macedonia implemented a nationwide curfew from 9PM to 6AM  starting on March 21st.",2020-03-21,2020-03-22,2020-05-03,"North Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,"","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.2212844611344,53.2293069467457,52.2702790502776,156,"https://www.osac.gov/Content/Report/87da8322-dec8-4e0f-ae75-18429b1297b4",2020-09-11,"2020-09-11 21:02:33"
"6","R_1mlO6jeGT5W5NgsNA",5751313,"new_entry","original","NA",NA,"North Macedonia implemented a nationwide curfew from 9PM to 6AM  starting on March 21st.",2020-03-21,2020-03-22,2020-05-03,"North Macedonia","MKD","MK","National",1,NA,NA,"Curfew",NA,NA,"","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.2212844611344,53.2293069467457,52.2702790502776,156,"https://www.osac.gov/Content/Report/87da8322-dec8-4e0f-ae75-18429b1297b4",2020-04-02,"2020-04-02 17:24:00"
"7","R_3JD8u9Q0FxDtZRbNA",5751313,"new_entry","correction","NA",NA,"North Macedonia changed the hours of curfew for different segments of society. Adults over age 67 are allowed out between 5AM and 11AM. Individuals under 18 years old are allowed out from 12PM to 8PM. Everyone is restricted from movement outside their homes from 9PM to 5AM starting on March 24th.",2020-03-24,2020-03-24,2020-05-03,"North Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,"","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0630629124655,53.3216795575724,51.8565093258179,155,"https://mk.usembassy.gov/covid-19-information/",2020-09-11,"2020-09-11 21:05:14"
"8","R_WDxt0FmeS0BnVyVNA",5751313,"update","original","NA",NA,"North Macedonia changed the hours of curfew for different segments of society. Adults over age 67 are allowed out between 5AM and 11AM. Individuals under 18 years old are allowed out from 12PM to 8PM. Everyone is restricted from movement outside their homes from 9PM to 5AM starting on March 24th.",2020-03-24,2020-03-24,2020-05-03,"North Macedonia","MKD","MK","National",1,NA,NA,"Curfew",NA,NA,"","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","Police",55.0630629124655,53.3216795575724,51.8565093258179,155,"https://mk.usembassy.gov/covid-19-information/",2020-04-02,"2020-04-02 17:32:21"
"9","R_3Jgsy3qRZVB88LXNA",5751313,"new_entry","correction","NA",NA,"North Macedonia changed curfew times for Saturday and Sunday from 9PM to 5AM to 4PM to 5AM starting on March 28th.",2020-03-25,2020-03-28,2020-05-03,"North Macedonia","MKD","MK","National",0,NA,NA,"Curfew",NA,NA,"","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","Police",55.8028707459342,53.5049829940655,51.2390669751737,152,"https://mk.usembassy.gov/covid-19-information/",2020-09-11,"2020-09-11 21:17:13"
"10","R_2UXkUtwjZbgoQbtNA",5751313,"update","original","NA",NA,"North Macedonia changed curfew times for Saturday and Sunday from 9PM to 5AM to 4PM to 5AM starting on March 28th.",2020-03-25,2020-03-28,2020-05-03,"North Macedonia","MKD","MK","National",1,NA,NA,"Curfew",NA,NA,"","North Macedonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","Police",55.8028707459342,53.5049829940655,51.2390669751737,152,"https://mk.usembassy.gov/covid-19-information/",2020-04-02,"2020-04-02 17:41:13"
