record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3KQ3LIthdQl8bCZDr,1471037,new_entry,original,,,Oslo’s 730 kindergartens will be gradually re-opened during the period 20-27 April,2020-04-08,2020-04-20,,Norway,NOR,NO,Municipal,1,Oslo,NO-03,olso,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Norway,,,,olso,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.2837927194409,49.8486182261622,48.1860426060463,21,https://www.oslo.kommune.no/english/coronavirus/status-reports-on-coronavirus-measures/17-april-the-kindergartens-will-open-again,2020-04-23,2020-04-23T21:01:04Z,7156,181,32,3776,131014,24.167,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_1OVSgbnN1UkT3XSDr,431112,update,correction,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions.
Now, on April 8, the Norwegian Government announced to re-open child day care from 20 April, the latest 27 April.",2020-04-08,2020-04-20,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,51.2837927194409,49.8486182261622,48.1860426060463,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/norway-to-lift-covid-19-restrictions-gradually-and-cautiously/id2697060/,2020-04-14,2020-04-14T09:39:53Z,7156,181,32,3776,131014,24.167,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_1OVSgbnN1UkT3XSDt,431112,update,correction,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions.
Now, on April 8, the Norwegian Government announced to re-open child day care from 20 April, the latest 27 April.",2020-04-08,2020-04-20,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,51.2837927194409,49.8486182261622,48.1860426060463,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/norway-to-lift-covid-19-restrictions-gradually-and-cautiously/id2697060/,2020-04-14,2020-04-14T09:39:53Z,7156,181,32,3776,131014,24.167,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_1OVSgbnN1UkT3XSEu,431112,update,correction,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions.
Now, on April 8, the Norwegian Government announced to re-open child day care from 20 April, the latest 27 April.",2020-04-08,2020-04-20,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,51.2837927194409,49.8486182261622,48.1860426060463,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/norway-to-lift-covid-19-restrictions-gradually-and-cautiously/id2697060/,2020-04-14,2020-04-14T09:39:53Z,7156,181,32,3776,131014,24.167,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_1OVSgbnN1UkT3XSBu,431112,update,correction,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions.
Now, on April 8, the Norwegian Government announced to re-open child day care from 20 April, the latest 27 April.",2020-04-08,2020-04-20,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,51.2837927194409,49.8486182261622,48.1860426060463,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/norway-to-lift-covid-19-restrictions-gradually-and-cautiously/id2697060/,2020-04-14,2020-04-14T09:39:53Z,7156,181,32,3776,131014,24.167,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_9FDyDMOvPc68eT7Eu,7457866,new_entry,original,,,"Viken has decided that all oral, oral-practical and practical exams for students in upper secondary school will be canceled this spring.",2020-04-21,2020-04-21,,Norway,NOR,NO,Municipal,1,Innlandet,NO-34,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,51.4340192501929,49.8112680587837,48.1605173869359,21,https://innlandetfylke.no/nyheter-forsiden/nyheter-om-korona/avlyser-muntlig-eksamen.20248.aspx,2020-04-24,2020-04-24T22:41:07Z,7191,182,32,3581,134595,24.827,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_273sWhmL5Li8jOfDr,431112,update,original,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions. This policy is extended to April 13.

On April 21, the Norwegian Government has decided that all oral, oral-practical and practical exams in upper secondary school will be canceled in the spring of 2020. UPDATE: The emergency measures are extended by the Prime Minister of Norway, Erna Solberg, until the 13 April. This includes the closure of schools.

On April 21, the Norwegian Government has decided that all oral, oral-practical and practical exams in upper secondary school will be canceled in the spring of 2020.",2020-04-21,2020-04-21,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,51.4340192501929,49.8112680587837,48.1605173869359,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/coronavirus-measures-to-continue/id2694682/ ; https://www.lifeinnorway.net/norway-is-closed-coronavirus/ ; https://www.regjeringen.no/no/aktuelt/avlyser-muntlig-eksamen-i-videregaende-skole/id2698415/,2020-04-27,2020-04-27T10:47:21Z,7191,182,32,3581,134595,24.827,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_273sWhmL5Li8jOfDt,431112,update,original,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions. This policy is extended to April 13.

On April 21, the Norwegian Government has decided that all oral, oral-practical and practical exams in upper secondary school will be canceled in the spring of 2020. UPDATE: The emergency measures are extended by the Prime Minister of Norway, Erna Solberg, until the 13 April. This includes the closure of schools.

On April 21, the Norwegian Government has decided that all oral, oral-practical and practical exams in upper secondary school will be canceled in the spring of 2020.",2020-04-21,2020-04-21,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,51.4340192501929,49.8112680587837,48.1605173869359,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/coronavirus-measures-to-continue/id2694682/ ; https://www.lifeinnorway.net/norway-is-closed-coronavirus/ ; https://www.regjeringen.no/no/aktuelt/avlyser-muntlig-eksamen-i-videregaende-skole/id2698415/,2020-04-27,2020-04-27T10:47:21Z,7191,182,32,3581,134595,24.827,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_273sWhmL5Li8jOfBu,431112,update,original,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions. This policy is extended to April 13.

On April 21, the Norwegian Government has decided that all oral, oral-practical and practical exams in upper secondary school will be canceled in the spring of 2020. UPDATE: The emergency measures are extended by the Prime Minister of Norway, Erna Solberg, until the 13 April. This includes the closure of schools.

On April 21, the Norwegian Government has decided that all oral, oral-practical and practical exams in upper secondary school will be canceled in the spring of 2020.",2020-04-21,2020-04-21,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,51.4340192501929,49.8112680587837,48.1605173869359,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/coronavirus-measures-to-continue/id2694682/ ; https://www.lifeinnorway.net/norway-is-closed-coronavirus/ ; https://www.regjeringen.no/no/aktuelt/avlyser-muntlig-eksamen-i-videregaende-skole/id2698415/,2020-04-27,2020-04-27T10:47:21Z,7191,182,32,3581,134595,24.827,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
R_2EhPWbyGXKok82TDr,431112,update,original,,Strengthening,"On 12 March, the Norwegian Directorate of Health has, according to the Infection Control Act, issued a decision to close schools and other educational institutions until 26 March. This includes: Childcare centres, primary schools, Lower secondary schools, Upper secondary schools, Universities and colleges, and other educational institutions.

Now, on April 8, the Norwegian Government announced to re-open primary school classes for years 1–4 and out-of-school care programmes from 27 April. UPDATE: The orginal policy closed schools and educational institutions until April 13. Now, on April 8, the Norwegian Government announced to re-open primary school classes for years 1–4 and out-of-school care programmes from 27 April.",2020-04-08,2020-04-27,2020-05-11,Norway,NOR,NO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Norway,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),Ministry/Department of Health,52.2573703689579,49.7608485744129,47.9885496203954,21,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-har-vedtatt-omfattende-tiltak-for-a-hindre-spredning-av-covid-19 ; https://www.regjeringen.no/en/aktuelt/norway-to-lift-covid-19-restrictions-gradually-and-cautiously/id2697060/,2020-04-14,2020-04-14T09:03:14Z,7599,205,32,4104,150406,27.744,,,,,,1,760,1,2,0.107444331,-0.43556976,-0.20141026,2,85,5190239,4.64998e+11,89590.8135,1.611027108,15.4622903,26.8652983,11.403008,2,2,3.89064455,2.423282199,197601,0.8916839
