"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3LYAcs0YrGbqFaSNA","2194196","new_entry","original",NA,NA,"Papua New Guinea, April 9, the Prime Minister has urged the public not to stigmatize people who are infected with Covid-19 or suspected of having the virus. Mr Marape said someone who tested positive to Covid-19 was not a threat to society, so people should remain calm and patient.",2020-04-09,2020-04-09,2020-04-09,"Papua New Guinea","PNG","PG","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.3539812160483,53.1922534675375,52.2880268879924,113,"https://www.rnz.co.nz/international/pacific-news/413924/png-pm-urges-public-not-to-stigmatise-over-covid-19",2020-05-11,2020-05-11 14:04:05
"2","R_2CJjIuoJAb2fEAMNA","8871947","new_entry","original",NA,NA,"""Minister for Information & Communication Technology, Hon. Timothy Masiu today urged Papua New Guineans not to believe unsubstantiated claims that the roll out of 5G technology is somehow responsible for the spread of COVID-19 in PNG and around the world.""",2020-04-09,2020-04-09,NA,"Papua New Guinea","PNG","PG","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",54.3539812160483,53.1922534675375,52.2880268879924,113,"https://covid19.info.gov.pg/index.php/2020/04/09/communications-minister-allays-fears-on-claims-of-5g-contributing-to-spread-of-covid-19/",2020-11-03,2020-11-03 23:06:35
"3","R_3NPvb9xjGi6spPwNA","5617999","new_entry","original",NA,NA,"Papua New Guinea “ Prime Minister will on Monday discuss in general ,the government’s approach to the COVID-19 pandemic and its efforts in addressing the effects of the pandemic.This program will go on during the SOE on TV and radio stations throughout the country ,”",2020-05-03,2020-05-04,NA,"Papua New Guinea","PNG","PG","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://covid19.info.gov.pg/index.php/2020/05/04/covid-19-tv-and-radio-show-aims-at-providing-facts/",2020-11-09,2020-11-09 22:59:09
"4","R_2Vwg63cRbHZuB8cNA","863174","new_entry","original",NA,NA,"Papua New Guinea states ""No person shall enter PNG who has
received a vaccine for COVID-19, that has not been approved by the Controller""",2020-09-03,2020-09-03,NA,"Papua New Guinea","PNG","PG","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","New (COVID-19 specific) Task Force",NA,NA,NA,NA,"https://www.health.gov.pg/covid19/PNGSR37PCOVID-19(2020-09-07).pdf",2020-11-18,2020-11-18 21:50:11
"5","R_3ExIrseMY32d32KCw","8387766","new_entry","original",NA,NA,"Papua New Guinea announces that all schools will be closed starting March 24",2020-03-23,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"https://www.rnz.co.nz/international/pacific-news/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens",2020-04-02,2020-04-02 10:46:51
"6","R_3ExIrseMY32d32KDr","8387766","new_entry","original",NA,NA,"Papua New Guinea announces that all schools will be closed starting March 24",2020-03-23,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"https://www.rnz.co.nz/international/pacific-news/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens",2020-04-02,2020-04-02 10:46:51
"7","R_3ExIrseMY32d32KBh","8387766","new_entry","original",NA,NA,"Papua New Guinea announces that all schools will be closed starting March 24",2020-03-23,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"https://www.rnz.co.nz/international/pacific-news/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens",2020-04-02,2020-04-02 10:46:51
"8","R_1MK9dHQ9ZDIoAwICw","8387766","update","original","End of Policy",NA,"Papua New Guinea announces that all schools will be closed starting March 24 until April 27.",2020-03-23,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"NA",2020-05-11,2020-05-11 14:03:56
"9","R_1MK9dHQ9ZDIoAwIDr","8387766","update","original","End of Policy",NA,"Papua New Guinea announces that all schools will be closed starting March 24 until April 27.",2020-03-23,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"NA",2020-05-11,2020-05-11 14:03:56
"10","R_1MK9dHQ9ZDIoAwIBh","8387766","update","original","End of Policy",NA,"Papua New Guinea announces that all schools will be closed starting March 24 until April 27.",2020-03-23,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"NA",2020-05-11,2020-05-11 14:03:56
"11","R_1Fn5kvsG9uNGY47Cw","8387766","update","original",NA,NA,"Papua New Guinea's Prime Minister announced that all schools will remain suspended for a further two weeks until April 24",2020-03-24,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"https://postcourier.com.pg/schools-out-for-two-more-weeks/",2020-04-06,2020-04-06 06:38:24
"12","R_1Fn5kvsG9uNGY47Dr","8387766","update","original",NA,NA,"Papua New Guinea's Prime Minister announced that all schools will remain suspended for a further two weeks until April 24",2020-03-24,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"https://postcourier.com.pg/schools-out-for-two-more-weeks/",2020-04-06,2020-04-06 06:38:24
"13","R_1Fn5kvsG9uNGY47Bh","8387766","update","original",NA,NA,"Papua New Guinea's Prime Minister announced that all schools will remain suspended for a further two weeks until April 24",2020-03-24,2020-03-24,2020-04-27,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.5530285806649,52.5467762637299,51.8216908282246,116,"https://postcourier.com.pg/schools-out-for-two-more-weeks/",2020-04-06,2020-04-06 06:38:24
"14","R_3gRUoiDqVyCXe9bCw","1951527","new_entry","original",NA,NA,"Papua New Guinea, Emergency controller has announced that primary and secondary schools will remain closed from April 27 until May 4.",2020-04-22,2020-04-27,2020-05-04,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.9090071460207,53.2726042931896,49.1750780453151,107,"https://www.rnz.co.nz/international/pacific-news/414833/png-looks-to-ease-restrictions-amid-new-normal",2020-05-11,2020-05-11 14:07:15
"15","R_3gRUoiDqVyCXe9bDr","1951527","new_entry","original",NA,NA,"Papua New Guinea, Emergency controller has announced that primary and secondary schools will remain closed from April 27 until May 4.",2020-04-22,2020-04-27,2020-05-04,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.9090071460207,53.2726042931896,49.1750780453151,107,"https://www.rnz.co.nz/international/pacific-news/414833/png-looks-to-ease-restrictions-amid-new-normal",2020-05-11,2020-05-11 14:07:15
"16","R_1C9qLQEj1PlMSKsCu","8513441","new_entry","original",NA,NA,"In Papua Guinea ""Ministerial Policy Statement No 5 of 2020 by the Ministry of Education (dated 05 June) orders for the resumption
of normal classes in the National Education System on 9 June. All schools are directed to comply with new normal COVID-19 prevention and control protocols issued by SOE Controller. The requirement for social distancing is relaxed but must be observed where applicable.""",2020-06-05,2020-06-09,NA,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities allowed to open with conditions","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",NA,NA,NA,NA,"https://www.health.gov.pg/covid19/PNGSR24PCOVID-19(2020-06-07).pdf",2020-11-14,2020-11-14 01:27:47
"17","R_1C9qLQEj1PlMSKsCw","8513441","new_entry","original",NA,NA,"In Papua Guinea ""Ministerial Policy Statement No 5 of 2020 by the Ministry of Education (dated 05 June) orders for the resumption
of normal classes in the National Education System on 9 June. All schools are directed to comply with new normal COVID-19 prevention and control protocols issued by SOE Controller. The requirement for social distancing is relaxed but must be observed where applicable.""",2020-06-05,2020-06-09,NA,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with no conditions","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",NA,NA,NA,NA,"https://www.health.gov.pg/covid19/PNGSR24PCOVID-19(2020-06-07).pdf",2020-11-14,2020-11-14 01:27:47
"18","R_1C9qLQEj1PlMSKsDr","8513441","new_entry","original",NA,NA,"In Papua Guinea ""Ministerial Policy Statement No 5 of 2020 by the Ministry of Education (dated 05 June) orders for the resumption
of normal classes in the National Education System on 9 June. All schools are directed to comply with new normal COVID-19 prevention and control protocols issued by SOE Controller. The requirement for social distancing is relaxed but must be observed where applicable.""",2020-06-05,2020-06-09,NA,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with no conditions","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",NA,NA,NA,NA,"https://www.health.gov.pg/covid19/PNGSR24PCOVID-19(2020-06-07).pdf",2020-11-14,2020-11-14 01:27:47
"19","R_1C9qLQEj1PlMSKsBh","8513441","new_entry","original",NA,NA,"In Papua Guinea ""Ministerial Policy Statement No 5 of 2020 by the Ministry of Education (dated 05 June) orders for the resumption
of normal classes in the National Education System on 9 June. All schools are directed to comply with new normal COVID-19 prevention and control protocols issued by SOE Controller. The requirement for social distancing is relaxed but must be observed where applicable.""",2020-06-05,2020-06-09,NA,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions allowed to open with no conditions","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Education",NA,NA,NA,NA,"https://www.health.gov.pg/covid19/PNGSR24PCOVID-19(2020-06-07).pdf",2020-11-14,2020-11-14 01:27:47
"20","R_3fjfCj9PGLpBlnZNA","6170663","new_entry","original",NA,NA,"Papua New Guinea ""SOUTH Fly district Covid-19 Task Force has imposed a 10-hour curfew on Daru Island, Western, ordering shops and markets to close business by 4pm""",2020-04-03,2020-04-03,NA,"Papua New Guinea","PNG","PG","Municipal",1,"Western Province","South FLY district","Curfew",NA,NA,"","Papua New Guinea",NA,NA,"Western Province","South FLY district",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","New (COVID-19 specific) Task Force",54.5500565742612,52.7257761682627,51.2408896468884,93,"https://www.thenational.com.pg/task-force-imposes-curfew-on-daru-island/",2020-11-20,2020-11-20 22:54:14
"21","R_1mPHN6lfHRn3yDoNA","2028167","new_entry","original",NA,NA,"Papua New Guinea, State of Emergency Controller David Manning has issued a curfew for the National Capital District, Central and Western Provinces. People are required to stay in their homes from 8 pm until 6 am daily unless they are to seek urgent medical attention or moving in an emergency. Effective April 16 until April 30, unless extended by the Emergency Controller.",2020-04-16,2020-04-16,2020-04-30,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Curfew",NA,NA,"","Papua New Guinea","One or more geographical or administrative units within one or more countries",NA,"National Capital District; Central Province; Western Province",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Other (Please specify in the text box)",55.4167034495024,53.2199205422044,50.6603528102413,109,"https://postcourier.com.pg/curfew-to-take-effect-tonight-in-port-moresby/",2020-05-12,2020-05-12 09:07:39
"22","R_2dlINpHWOYR9GUgNA","5765168","new_entry","original",NA,NA,"In Papua New Guinea ""The curfew is in place between 10 pm and 5 am
daily in NCD with exceptions for urgent medical
care, police assistance, emergencies""",2020-08-24,2020-07-24,NA,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Curfew",NA,NA,"","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.health.gov.pg/covid19/PNGSR33PCOVID-19(2020-08-09).pdf",2020-11-17,2020-11-17 21:47:06
"23","R_1pA30Fp0L1LO9JcNA","5765168","update","original","Change of Policy","Relaxing","In Papua New Guinea ""The curfew is in place between 10 pm and 5 am
daily in NCD with exceptions for urgent medical
care, police assistance, emergencies""",2020-08-24,2020-07-24,NA,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Curfew",NA,NA,"","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA",2020-11-20,2020-11-20 23:32:17
"24","R_3lzdjuK161Z6H7INA","6502025","new_entry","original",NA,NA,"Papua New Guinea, the autonomous Bougainville Government has declared a state of emergency across Bougainville in response to the COVID-19 outbreak. Effective March 23 for 21 days, until April 13.",2020-03-24,2020-03-23,2020-08-14,"Papua New Guinea","PNG","PG","Provincial",1,"Bougainville",NA,"Declaration of Emergency",NA,NA,"","Papua New Guinea",NA,NA,"Bougainville",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",52.9479466269415,52.1131095530295,50.9222909560179,93,"http://www.abg.gov.pg/index.php/news/read/autonomous-bougainville-government-declares-state-of-emergency",2020-05-11,2020-05-11 14:34:57
"25","R_3QYu5cFCtNQrZBfNA","7441289","new_entry","original",NA,NA,"On March 23, ""Papua New Guinea's Prime Minister James Marape declared a national state of emergency""",2020-03-23,2020-03-23,2020-06-17,"Papua New Guinea","PNG","PG","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Papua New Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.9479466269415,52.1131095530295,50.9222909560179,93,"https://www.rnz.co.nz/international/pacific-news/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens",2020-04-03,2020-04-03 08:06:08
